,open,high,low,close
2012-05-17 08:00:00,1547.59,1553.84,1545.63,1549.52
2012-05-17 12:00:00,1549.78,1558.06,1545.55,1555.72
2012-05-17 16:00:00,1555.95,1579.81,1548.97,1576.24
2012-05-17 20:00:00,1576.02,1578.48,1571.75,1573.6
2012-05-18 00:00:00,1574.09,1576.17,1573.18,1575.07
2012-05-18 04:00:00,1575.03,1576.68,1572.55,1573.96
2012-05-18 08:00:00,1573.98,1589.49,1567.94,1587.46
2012-05-18 12:00:00,1587.44,1594.19,1584.2,1588.86
2012-05-18 16:00:00,1588.88,1597.59,1585.86,1586.82
2012-05-18 20:00:00,1586.79,1594.14,1586.71,1592.18
2012-05-21 00:00:00,1592.76,1597.36,1590.97,1593.63
2012-05-21 04:00:00,1593.61,1599.13,1593.42,1597.39
2012-05-21 08:00:00,1597.51,1598.83,1591.33,1591.99
2012-05-21 12:00:00,1591.98,1594.03,1586.48,1589.18
2012-05-21 16:00:00,1589.23,1595.99,1584.79,1591.36
2012-05-21 20:00:00,1591.39,1594.56,1587.33,1593.42
2012-05-22 00:00:00,1593.14,1594.37,1592.01,1592.41
2012-05-22 04:00:00,1592.33,1592.94,1588.63,1588.74
2012-05-22 08:00:00,1588.76,1590.98,1576.44,1578.07
2012-05-22 12:00:00,1578.05,1582.29,1572.92,1578.66
2012-05-22 16:00:00,1579.02,1590.68,1577.48,1582.29
2012-05-22 20:00:00,1582.23,1582.93,1561.3,1568.14
2012-05-23 00:00:00,1567.0,1568.65,1555.78,1557.65
2012-05-23 04:00:00,1557.8,1562.57,1556.58,1560.14
2012-05-23 08:00:00,1560.15,1562.65,1551.5,1555.32
2012-05-23 12:00:00,1555.24,1563.0,1554.07,1561.91
2012-05-23 16:00:00,1561.91,1564.65,1533.14,1544.09
2012-05-23 20:00:00,1544.15,1563.7,1542.7,1561.07
2012-05-24 00:00:00,1561.84,1563.37,1558.03,1558.84
2012-05-24 04:00:00,1558.84,1562.87,1556.95,1557.41
2012-05-24 08:00:00,1557.26,1562.58,1552.28,1555.36
2012-05-24 12:00:00,1555.38,1576.22,1555.25,1575.69
2012-05-24 16:00:00,1575.66,1577.73,1563.43,1563.77
2012-05-24 20:00:00,1563.86,1565.9,1551.38,1558.73
2012-05-25 00:00:00,1557.86,1559.58,1554.7,1558.09
2012-05-25 04:00:00,1557.86,1558.09,1551.24,1552.89
2012-05-25 08:00:00,1552.9,1567.24,1552.69,1563.28
2012-05-25 12:00:00,1563.06,1564.76,1557.38,1562.95
2012-05-25 16:00:00,1562.97,1570.11,1561.91,1566.39
2012-05-25 20:00:00,1566.32,1574.07,1565.42,1572.56
2012-05-28 00:00:00,1575.45,1576.5,1571.44,1573.96
2012-05-28 04:00:00,1573.97,1577.9,1572.8,1577.42
2012-05-28 08:00:00,1577.42,1583.94,1576.26,1579.42
2012-05-28 12:00:00,1579.4,1582.77,1575.85,1577.14
2012-05-28 16:00:00,1577.16,1578.14,1572.41,1574.24
