entry_time,exit_time,side,entry,exit,pnl,result
2023-11-17 06:00:00,2023-11-21 02:00:00,short,149.588,147.65326665821544,47618.333544613764,win
2023-11-21 02:00:00,2023-11-22 06:00:00,short,147.756,148.89848442617776,-25794.657375910705,loss
2023-11-27 22:00:00,2023-12-03 22:00:00,short,148.173,146.3380385016544,48733.96045533099,win
2023-12-03 22:00:00,2023-12-07 14:00:00,short,146.613,144.1805664637281,48048.67072543803,win
2023-12-07 14:00:00,2023-12-10 22:00:00,short,143.248,145.2273019536267,-24111.623443520428,loss
2023-12-13 18:00:00,2023-12-19 06:00:00,short,142.865,144.52660471538636,-25374.070730795193,loss
2023-12-27 18:00:00,2024-01-03 06:00:00,short,141.795,142.67172359573277,-25388.260680517957,loss
2024-01-05 06:00:00,2024-01-05 14:00:00,long,145.216,144.21196326678884,-25850.918330279143,loss
2024-01-11 10:00:00,2024-01-11 22:00:00,long,146.282,145.18569919145807,-24778.61778792269,loss
2024-01-16 06:00:00,2024-01-17 14:00:00,long,146.568,148.34455672956793,48903.58842790161,win
2024-01-17 14:00:00,2024-01-23 06:00:00,long,148.257,147.29111384299793,-25893.040082053943,loss
2024-02-02 10:00:00,2024-02-13 14:00:00,long,147.996,150.55051592717166,47965.80261626135,win
2024-02-13 14:00:00,2024-02-15 06:00:00,long,150.812,150.0112965065017,-25751.808298447424,loss
2024-03-06 22:00:00,2024-03-08 06:00:00,short,148.588,146.89085563451985,48347.18659892411,win
2024-03-08 06:00:00,2024-03-14 13:00:00,short,147.107,148.18228794022224,-25421.6226251115,loss
2024-03-15 05:00:00,2024-03-19 09:00:00,long,148.742,150.555233453829,48147.30325338337,win
2024-03-19 09:00:00,2024-04-10 09:00:00,long,150.524,152.2356052259542,48766.551552671845,win
2024-04-10 09:00:00,2024-04-12 05:00:00,long,152.416,153.33113470538217,49567.54350140165,win
2024-04-14 21:00:00,2024-04-24 09:00:00,long,153.494,155.03697676697126,49928.233310051735,win
2024-04-24 09:00:00,2024-04-26 01:00:00,long,154.98,155.81766303609598,50075.10823795134,win
2024-04-26 01:00:00,2024-04-26 05:00:00,long,156.23,155.6125732952379,-27191.921600008027,loss
2024-04-26 05:00:00,2024-04-29 01:00:00,long,156.59,155.56049685587286,-26487.578603178692,loss
2024-05-03 01:00:00,2024-05-07 21:00:00,short,152.89,154.8147996326587,-25412.395224563155,loss
2024-05-08 01:00:00,2024-05-15 21:00:00,long,155.206,154.2598515547587,-26356.008021514495,loss
2024-05-15 21:00:00,2024-05-16 09:00:00,short,153.638,154.84466290978366,-25969.92110545685,loss
2024-05-21 01:00:00,2024-06-04 05:00:00,long,156.48,155.82614112159956,-26670.496257616676,loss
2024-06-04 05:00:00,2024-06-05 13:00:00,short,155.274,156.3094297874452,-25570.3148986847,loss
2024-06-07 13:00:00,2024-06-21 13:00:00,long,156.696,159.1989383745731,49458.767491461826,win
2024-06-21 13:00:00,2024-06-24 09:00:00,long,159.512,158.83162625536787,-26994.20229602113,loss
2024-06-26 09:00:00,2024-08-01 01:00:00,long,160.382,159.76761618557887,-26419.736391266393,loss
2024-08-02 09:00:00,2024-08-05 01:00:00,short,147.416,142.95490940047424,48741.99659478337,win
2024-08-05 01:00:00,2024-08-05 21:00:00,short,143.139,146.04902256407956,-23520.180512636434,loss
2024-08-23 17:00:00,2024-08-30 13:00:00,short,144.355,145.9622367178888,-26195.78748622096,loss
2024-10-02 21:00:00,2024-10-17 13:00:00,long,147.022,150.22416030900268,47582.404635040395,win
2024-10-21 17:00:00,2024-10-23 09:00:00,long,150.852,152.62488404644085,50543.637346784664,win
2024-10-23 09:00:00,2024-10-24 05:00:00,long,153.099,152.07885137635867,-26253.71559103297,loss
2024-10-27 21:00:00,2024-10-31 05:00:00,long,153.498,152.39231631521878,-26120.72474996788,loss
2024-11-06 02:00:00,2024-11-08 10:00:00,long,153.776,152.22794453826998,-25248.88738768048,loss
2024-11-12 14:00:00,2024-11-19 06:00:00,long,154.817,153.76359446431292,-26001.73285649018,loss
2024-11-27 02:00:00,2024-11-28 22:00:00,short,152.408,149.86430568553342,50273.88628933127,win
2024-11-28 22:00:00,2024-12-09 14:00:00,short,149.913,151.26727793416174,-26301.280749072852,loss
2024-12-10 10:00:00,2024-12-13 14:00:00,long,151.712,153.78391516433467,49005.9639440324,win
2024-12-13 14:00:00,2024-12-19 06:00:00,long,153.72,155.940657447688,50385.12129682428,win
2024-12-19 06:00:00,2025-01-16 02:00:00,long,157.072,155.47127181089755,-26091.651025639276,loss
2025-01-16 18:00:00,2025-01-19 22:00:00,short,155.092,156.4600171269405,-26562.325411869246,loss
2025-01-27 14:00:00,2025-01-28 02:00:00,short,154.264,155.89170947357155,-24865.642103573133,loss
2025-02-04 22:00:00,2025-02-06 22:00:00,short,153.569,151.09537106785695,48872.57864286087,win
2025-02-06 22:00:00,2025-02-11 22:00:00,short,151.548,152.85292355197447,-25363.5474875149,loss
2025-02-16 22:00:00,2025-02-20 10:00:00,short,151.868,149.73669997463088,50431.20060885875,win
2025-02-20 10:00:00,2025-03-03 10:00:00,short,150.054,151.06930269470573,-26132.567367643107,loss
2025-03-04 10:00:00,2025-03-04 18:00:00,short,148.181,149.77463276876938,-25978.124300309883,loss
2025-03-06 06:00:00,2025-03-17 21:00:00,short,147.858,149.30309896922267,-25076.682476785387,loss
2025-03-24 21:00:00,2025-03-25 09:00:00,long,150.967,150.05430615166776,-26395.427753303095,loss
2025-03-27 13:00:00,2025-03-28 13:00:00,long,151.042,150.11694543952126,-25786.473132926032,loss
2025-03-30 21:00:00,2025-04-02 17:00:00,short,149.27,150.32641408162382,-26073.937958971528,loss
2025-04-02 21:00:00,2025-04-04 09:00:00,short,147.85999999999999,144.68437241806214,47184.41372906769,win
2025-04-09 09:00:00,2025-04-09 17:00:00,short,144.292,146.54177134730728,-25077.484820380007,loss
2025-04-10 21:00:00,2025-05-08 17:00:00,short,143.329,145.93578580172792,-23731.072215551183,loss
2025-05-08 17:00:00,2025-05-20 05:00:00,long,145.939,144.50321240565668,-24918.38910383627,loss
2025-05-20 05:00:00,2025-05-27 01:00:00,short,144.456,142.19273384913168,49131.8553191027,win
2025-05-28 13:00:00,2025-05-29 21:00:00,long,144.948,143.8302084769502,-25251.41350709598,loss
2025-06-02 05:00:00,2025-06-03 13:00:00,short,142.901,144.05365952185596,-26018.509480830948,loss
2025-06-06 09:00:00,2025-06-12 09:00:00,long,144.655,143.56654967970715,-25724.35736673555,loss
2025-06-12 09:00:00,2025-06-13 09:00:00,short,143.262,144.34883798410738,-25687.27363446965,loss
2025-06-17 13:00:00,2025-06-23 05:00:00,long,145.254,147.55033893291017,47593.11759111367,win
2025-06-23 05:00:00,2025-06-23 13:00:00,long,147.638,146.64703074066884,-25524.231483279153,loss
2025-06-24 13:00:00,2025-06-25 09:00:00,short,144.672,145.80984830662567,-25692.662745764756,loss
2025-06-26 05:00:00,2025-08-01 01:00:00,short,143.899,145.0573761398324,-24955.89893648037,loss
2025-08-11 21:00:00,2025-08-12 13:00:00,long,148.437,147.71424845028025,-25593.552690471843,loss
2025-08-13 21:00:00,2025-08-14 13:00:00,short,146.662,147.56023301651408,-25062.291445879877,loss
2025-08-21 13:00:00,2025-08-22 13:00:00,long,148.318,147.47330445808194,-25366.170715624063,loss
2025-08-22 13:00:00,2025-08-25 17:00:00,short,146.678,147.8408659129758,-25050.184172491874,loss
2025-08-28 13:00:00,2025-10-01 01:00:00,short,146.818,147.63151518649093,-24461.94040823661,loss
2025-10-01 01:00:00,2025-10-05 21:00:00,short,147.524,148.32676950438258,-24983.085131477448,loss
2025-10-05 21:00:00,2025-10-07 21:00:00,long,149.738,152.36293465218435,46708.823739318315,win
2025-10-07 21:00:00,2025-10-10 17:00:00,long,152.336,151.207265520783,-24333.42406355704,loss
2025-10-21 09:00:00,2025-10-30 09:00:00,long,152.058,154.24961623691266,47555.55721207864,win
2025-10-30 09:00:00,2025-11-04 22:00:00,long,154.324,152.99918928457313,-24386.592877683805,loss
2025-11-12 06:00:00,2025-11-14 10:00:00,long,154.876,154.09329936154762,-25193.719792023865,loss
2025-11-17 14:00:00,2025-11-19 14:00:00,long,155.19,156.66178460688465,46137.10742030893,win
2025-11-19 14:00:00,2025-11-25 14:00:00,long,156.786,155.9526975197174,-25035.77192819574,loss
2025-12-09 02:00:00,2025-12-11 10:00:00,long,156.042,155.29631570411746,-24821.897468241295,loss
2025-12-16 14:00:00,2025-12-17 06:00:00,short,154.651,155.44279157371548,-24653.747211464146,loss
2025-12-19 06:00:00,2025-12-23 02:00:00,long,157.232,156.2245229732566,-23861.971615098246,loss
2025-12-31 14:00:00,2026-01-05 14:00:00,long,156.856,156.2728048264305,-25141.00211634921,loss
2026-01-09 02:00:00,2026-01-13 02:00:00,long,157.408,158.6160834675468,45945.25523432519,win
2026-01-13 02:00:00,2026-01-16 02:00:00,long,158.816,157.9757299264261,-24367.562060068933,loss
2026-01-22 02:00:00,2026-01-23 06:00:00,long,158.746,157.95116037757023,-24745.188672893302,loss
2026-01-23 14:00:00,2026-01-26 10:00:00,short,156.332,153.33111423858347,44563.2864212479,win
2026-01-27 10:00:00,2026-02-01 22:00:00,short,153.218,154.99868780458286,-23538.941459577287,loss
2026-02-03 22:00:00,2026-02-10 02:00:00,long,156.169,155.29202398254705,-24488.352471229944,loss
2026-02-10 02:00:00,2026-02-11 06:00:00,short,155.276,152.9833398128154,45253.203743692466,win
2026-02-11 06:00:00,2026-02-11 10:00:00,short,153.178,154.41718597544553,-24114.5335334652,loss
2026-02-19 02:00:00,2026-02-22 22:00:00,long,155.335,154.38625480394973,-24468.62990125706,loss
