symbol,variant,period,n_trades,win_rate,pf,mdd_jpy,monthly_pos_pct,tol_factor,neckline_break,ema_dist_min
EURUSD,v77,IS,163,22.7,1.364,163665,100.0,0.3,False,0.0
EURUSD,v77,OOS,1309,27.12,1.748,631558,100.0,0.3,False,0.0
EURUSD,v81A_tight,IS,66,25.76,1.551,110710,100.0,0.1,False,0.0
EURUSD,v81A_tight,OOS,548,27.74,1.827,264511,91.7,0.1,False,0.0
EURUSD,v81A_mid,IS,125,20.8,1.263,177859,100.0,0.2,False,0.0
EURUSD,v81A_mid,OOS,962,28.27,1.811,282202,100.0,0.2,False,0.0
EURUSD,v81B,IS,75,17.33,1.116,118361,100.0,0.3,True,0.0
EURUSD,v81B,OOS,665,23.91,1.39,314356,91.7,0.3,True,0.0
EURUSD,v81C,IS,75,24.0,1.615,115821,100.0,0.3,False,1.0
EURUSD,v81C,OOS,635,29.61,1.968,318760,100.0,0.3,False,1.0
EURUSD,v81AB,IS,48,14.58,1.021,115576,50.0,0.2,True,0.0
EURUSD,v81AB,OOS,462,24.24,1.368,409039,75.0,0.2,True,0.0
EURUSD,v81BC,IS,35,20.0,1.173,127184,100.0,0.3,True,1.0
EURUSD,v81BC,OOS,346,27.75,1.691,178131,91.7,0.3,True,1.0
EURUSD,v81ABC,IS,23,17.39,1.184,86636,100.0,0.2,True,1.0
EURUSD,v81ABC,OOS,242,30.17,1.731,193455,83.3,0.2,True,1.0
GBPUSD,v77,IS,170,31.18,2.34,410110,100.0,0.3,False,0.0
GBPUSD,v77,OOS,1260,28.89,1.878,1188981,100.0,0.3,False,0.0
GBPUSD,v81A_tight,IS,71,30.99,2.533,267878,100.0,0.1,False,0.0
GBPUSD,v81A_tight,OOS,523,29.25,1.947,227927,100.0,0.1,False,0.0
GBPUSD,v81A_mid,IS,127,31.5,2.296,377055,100.0,0.2,False,0.0
GBPUSD,v81A_mid,OOS,938,28.68,1.888,818408,100.0,0.2,False,0.0
GBPUSD,v81B,IS,87,26.44,2.125,129342,100.0,0.3,True,0.0
GBPUSD,v81B,OOS,603,26.53,1.592,412112,83.3,0.3,True,0.0
GBPUSD,v81C,IS,83,30.12,3.847,206568,100.0,0.3,False,1.0
GBPUSD,v81C,OOS,652,30.83,2.015,881606,91.7,0.3,False,1.0
GBPUSD,v81AB,IS,62,27.42,2.146,137033,100.0,0.2,True,0.0
GBPUSD,v81AB,OOS,423,26.48,1.641,217397,83.3,0.2,True,0.0
GBPUSD,v81BC,IS,46,26.09,3.359,74504,100.0,0.3,True,1.0
GBPUSD,v81BC,OOS,318,28.62,1.838,352473,75.0,0.3,True,1.0
GBPUSD,v81ABC,IS,34,26.47,3.076,34410,100.0,0.2,True,1.0
GBPUSD,v81ABC,OOS,219,29.68,2.03,214861,75.0,0.2,True,1.0
AUDUSD,v77,IS,183,27.32,2.405,229417,100.0,0.3,False,0.0
AUDUSD,v77,OOS,1213,27.54,1.777,319238,100.0,0.3,False,0.0
AUDUSD,v81A_tight,IS,72,29.17,2.129,119655,100.0,0.1,False,0.0
AUDUSD,v81A_tight,OOS,500,25.4,1.799,169835,100.0,0.1,False,0.0
AUDUSD,v81A_mid,IS,137,27.01,2.285,186139,100.0,0.2,False,0.0
AUDUSD,v81A_mid,OOS,883,26.61,1.775,208488,100.0,0.2,False,0.0
AUDUSD,v81B,IS,90,23.33,2.092,142906,100.0,0.3,True,0.0
AUDUSD,v81B,OOS,595,24.71,1.375,317810,75.0,0.3,True,0.0
AUDUSD,v81C,IS,93,22.58,2.356,99027,100.0,0.3,False,1.0
AUDUSD,v81C,OOS,593,28.67,1.983,243957,100.0,0.3,False,1.0
AUDUSD,v81AB,IS,58,22.41,2.064,109628,100.0,0.2,True,0.0
AUDUSD,v81AB,OOS,416,22.84,1.366,229414,83.3,0.2,True,0.0
AUDUSD,v81BC,IS,51,13.73,1.442,116976,100.0,0.3,True,1.0
AUDUSD,v81BC,OOS,296,24.66,1.457,250726,66.7,0.3,True,1.0
AUDUSD,v81ABC,IS,31,9.68,1.293,78275,50.0,0.2,True,1.0
AUDUSD,v81ABC,OOS,202,22.28,1.426,185811,75.0,0.2,True,1.0
XAUUSD,v77,IS,85,35.29,3.113,87476,100.0,0.3,False,0.0
XAUUSD,v77,OOS,615,31.71,1.987,207821,100.0,0.3,False,0.0
XAUUSD,v81A_tight,IS,31,35.48,3.089,62125,100.0,0.1,False,0.0
XAUUSD,v81A_tight,OOS,235,32.77,2.01,290612,100.0,0.1,False,0.0
XAUUSD,v81A_mid,IS,55,38.18,3.924,62125,100.0,0.2,False,0.0
XAUUSD,v81A_mid,OOS,443,32.96,2.035,281078,100.0,0.2,False,0.0
XAUUSD,v81B,IS,51,29.41,3.489,69528,100.0,0.3,True,0.0
XAUUSD,v81B,OOS,359,28.41,1.663,186700,91.7,0.3,True,0.0
XAUUSD,v81C,IS,48,29.17,2.247,87476,100.0,0.3,False,1.0
XAUUSD,v81C,OOS,359,31.48,2.112,207821,91.7,0.3,False,1.0
XAUUSD,v81AB,IS,31,35.48,4.283,70671,100.0,0.2,True,0.0
XAUUSD,v81AB,OOS,244,29.51,1.625,202430,75.0,0.2,True,0.0
XAUUSD,v81BC,IS,31,22.58,2.909,42998,100.0,0.3,True,1.0
XAUUSD,v81BC,OOS,221,28.51,1.636,239707,75.0,0.3,True,1.0
XAUUSD,v81ABC,IS,19,21.05,2.335,51841,100.0,0.2,True,1.0
XAUUSD,v81ABC,OOS,143,28.67,1.498,372323,66.7,0.2,True,1.0
