dir,entry,exit,entry_time,exit_time,pnl,reason,pyramids
long,161.437,161.77900000000005,2024-07-02 14:00:00+00:00,2024-07-03 05:00:00+00:00,3420.000000000414,TP,0
long,146.977,146.66532142857145,2024-08-02 15:00:00+00:00,2024-08-02 18:00:00+00:00,-3116.7857142855837,SL,0
long,145.129,144.741,2024-08-05 02:00:00+00:00,2024-08-05 03:00:00+00:00,-3879.999999999768,SL,0
short,146.677,146.85492857142856,2024-09-02 09:00:00+00:00,2024-09-02 11:00:00+00:00,-1779.2857142856633,SL,0
short,146.614,145.42800000000003,2024-09-03 01:00:00+00:00,2024-09-03 13:00:00+00:00,11859.999999999785,TP,0
long,144.303,143.994,2024-09-04 15:00:00+00:00,2024-09-04 17:00:00+00:00,-3089.999999999975,SL,0
long,143.716,143.17,2024-09-05 00:00:00+00:00,2024-09-05 06:00:00+00:00,-5460.000000000207,SL,0
short,144.261,144.42867857142858,2024-10-02 09:00:00+00:00,2024-10-02 10:00:00+00:00,-1676.7857142858134,SL,0
short,144.696,144.87689285714285,2024-10-02 11:00:00+00:00,2024-10-02 12:00:00+00:00,-1808.9285714285097,SL,0
short,146.044,146.263,2024-10-02 15:00:00+00:00,2024-10-02 18:00:00+00:00,-2189.999999999941,SL,0
short,146.856,146.5522857142857,2024-10-03 19:00:00+00:00,2024-10-04 01:00:00+00:00,3037.142857143067,TP,0
long,146.222,146.83600000000004,2024-10-04 06:00:00+00:00,2024-10-04 12:00:00+00:00,6140.000000000327,TP,0
short,148.789,149.001,2024-10-04 17:00:00+00:00,2024-10-06 22:00:00+00:00,-2120.000000000175,SL,0
short,148.27,148.616,2024-10-07 11:00:00+00:00,2024-11-03 22:00:00+00:00,-3460.0000000000364,SL,0
short,152.045,152.041,2024-11-05 13:00:00+00:00,2024-11-05 15:00:00+00:00,39.99999999990678,Signal,0
short,154.505,154.09499999999997,2024-11-07 01:00:00+00:00,2024-11-07 04:00:00+00:00,4100.00000000025,TP,0
short,151.069,150.73842857142856,2024-12-04 13:00:00+00:00,2024-12-04 15:00:00+00:00,3305.7142857143162,TP,0
long,150.534,150.362,2024-12-05 01:00:00+00:00,2024-12-05 02:00:00+00:00,-1719.9999999999704,SL,0
long,157.33,157.74800000000002,2025-01-05 22:00:00+00:00,2025-01-06 00:00:00+00:00,4180.000000000064,TP,0
short,157.198,157.765,2025-01-06 11:00:00+00:00,2025-01-06 23:00:00+00:00,-5669.999999999789,SL,0
short,158.277,157.94914285714287,2025-01-07 02:00:00+00:00,2025-01-07 05:00:00+00:00,3278.5714285711265,TP,0
long,152.333,152.11,2025-02-05 16:00:00+00:00,2025-02-06 01:00:00+00:00,-2229.9999999998477,SL,0
