pair,variant,period,n,wr,pf,mdd,kelly,monthly_plus
EURUSD,v77,IS,145,24.1,1.2,18.4,-0.389,1/2
EURUSD,v77,OOS,1126,27.7,1.78,22.7,-0.129,12/12
EURUSD,F1_body_ratio,IS,73,20.5,0.97,27.0,-0.61,1/2
EURUSD,F1_body_ratio,OOS,549,23.1,1.41,31.6,-0.313,10/12
EURUSD,F2_pin_bar,IS,20,45.0,1.79,5.9,0.142,2/2
EURUSD,F2_pin_bar,OOS,209,35.9,3.03,9.6,0.147,12/12
EURUSD,F3_no_shadow,IS,36,16.7,0.77,21.8,-0.909,1/2
EURUSD,F3_no_shadow,OOS,329,28.0,1.69,16.0,-0.147,10/12
EURUSD,F4_engulf,IS,101,21.8,1.29,11.1,-0.389,2/2
EURUSD,F4_engulf,OOS,716,25.6,1.48,24.7,-0.249,11/12
EURUSD,F5_low_reject,IS,145,24.1,1.2,18.4,-0.389,1/2
EURUSD,F5_low_reject,OOS,1126,27.7,1.78,22.7,-0.129,12/12
GBPUSD,v77,IS,151,32.5,2.18,9.7,0.014,2/2
GBPUSD,v77,OOS,1101,28.7,1.73,17.2,-0.125,12/12
GBPUSD,F1_body_ratio,IS,77,31.2,2.1,9.0,-0.017,2/2
GBPUSD,F1_body_ratio,OOS,537,25.5,1.42,18.5,-0.27,10/12
GBPUSD,F2_pin_bar,IS,20,35.0,2.63,4.0,0.103,2/2
GBPUSD,F2_pin_bar,OOS,205,35.1,2.79,10.3,0.119,11/12
GBPUSD,F3_no_shadow,IS,43,18.6,1.41,10.6,-0.391,2/2
GBPUSD,F3_no_shadow,OOS,315,25.1,1.45,13.3,-0.267,9/12
GBPUSD,F4_engulf,IS,104,27.9,2.02,13.3,-0.078,2/2
GBPUSD,F4_engulf,OOS,715,25.6,1.48,26.9,-0.247,10/12
GBPUSD,F5_low_reject,IS,151,32.5,2.18,9.7,0.014,2/2
GBPUSD,F5_low_reject,OOS,1101,28.7,1.73,17.2,-0.125,12/12
AUDUSD,v77,IS,159,29.6,2.71,14.1,0.036,2/2
AUDUSD,v77,OOS,1058,28.4,1.95,21.7,-0.082,12/12
AUDUSD,F1_body_ratio,IS,82,30.5,2.34,8.3,0.007,2/2
AUDUSD,F1_body_ratio,OOS,547,24.5,1.45,31.1,-0.277,10/12
AUDUSD,F2_pin_bar,IS,32,31.2,1.82,9.6,-0.066,2/2
AUDUSD,F2_pin_bar,OOS,168,37.5,3.59,5.9,0.201,12/12
AUDUSD,F3_no_shadow,IS,54,25.9,2.78,5.9,-0.008,2/2
AUDUSD,F3_no_shadow,OOS,331,24.2,1.46,26.6,-0.279,11/12
AUDUSD,F4_engulf,IS,100,28.0,2.34,6.9,-0.028,2/2
AUDUSD,F4_engulf,OOS,705,25.2,1.56,28.1,-0.227,10/12
AUDUSD,F5_low_reject,IS,159,29.6,2.71,14.1,0.036,2/2
AUDUSD,F5_low_reject,OOS,1058,28.4,1.95,21.7,-0.082,12/12
XAUUSD,v77,IS,75,38.7,3.09,6.9,0.188,2/2
XAUUSD,v77,OOS,555,32.3,2.03,15.6,-0.012,12/12
XAUUSD,F1_body_ratio,IS,47,34.0,2.87,4.0,0.11,2/2
XAUUSD,F1_body_ratio,OOS,303,29.4,1.99,14.7,-0.061,10/12
XAUUSD,F2_pin_bar,IS,13,53.8,3.13,4.0,0.391,2/2
XAUUSD,F2_pin_bar,OOS,111,36.0,1.9,9.7,0.024,9/12
XAUUSD,F3_no_shadow,IS,40,32.5,2.96,5.9,0.097,2/2
XAUUSD,F3_no_shadow,OOS,227,30.4,2.28,12.6,-0.001,9/12
XAUUSD,F4_engulf,IS,54,40.7,3.03,5.0,0.212,2/2
XAUUSD,F4_engulf,OOS,376,28.2,1.76,16.9,-0.127,11/12
XAUUSD,F5_low_reject,IS,75,38.7,3.09,6.9,0.188,2/2
XAUUSD,F5_low_reject,OOS,555,32.3,2.03,15.6,-0.012,12/12
US30,v77,IS,160,25.0,1.45,19.9,-0.269,1/2
US30,v77,OOS,720,20.4,0.93,71.6,-0.648,5/10
US30,F1_body_ratio,IS,78,26.9,1.59,17.2,-0.19,1/2
US30,F1_body_ratio,OOS,366,18.0,0.9,66.1,-0.735,5/10
US30,F2_pin_bar,IS,24,25.0,1.2,12.5,-0.376,1/2
US30,F2_pin_bar,OOS,121,23.1,0.87,27.5,-0.649,3/10
US30,F3_no_shadow,IS,48,27.1,2.3,7.9,-0.047,1/2
US30,F3_no_shadow,OOS,256,20.7,0.93,42.8,-0.648,5/10
US30,F4_engulf,IS,98,23.5,1.37,22.9,-0.323,1/2
US30,F4_engulf,OOS,464,22.0,1.07,45.3,-0.508,5/10
US30,F5_low_reject,IS,160,25.0,1.45,19.9,-0.269,1/2
US30,F5_low_reject,OOS,720,20.4,0.93,71.6,-0.648,5/10
SPX500,v77,IS,137,27.7,1.8,15.7,-0.123,2/2
SPX500,v77,OOS,746,18.4,0.92,79.5,-0.708,5/11
SPX500,F1_body_ratio,IS,69,26.1,1.85,8.4,-0.14,2/2
SPX500,F1_body_ratio,OOS,392,19.6,1.0,45.2,-0.609,4/11
SPX500,F2_pin_bar,IS,26,42.3,3.49,5.5,0.258,2/2
SPX500,F2_pin_bar,OOS,132,13.6,0.51,57.3,-1.553,3/11
SPX500,F3_no_shadow,IS,61,24.6,1.87,6.8,-0.157,1/2
SPX500,F3_no_shadow,OOS,298,17.1,0.85,58.5,-0.801,4/11
SPX500,F4_engulf,IS,81,28.4,1.97,12.0,-0.079,1/2
SPX500,F4_engulf,OOS,474,18.4,0.95,54.1,-0.676,6/11
SPX500,F5_low_reject,IS,137,27.7,1.8,15.7,-0.123,2/2
SPX500,F5_low_reject,OOS,746,18.4,0.92,79.5,-0.708,5/11
NAS100,v77,IS,124,20.2,0.79,41.3,-0.809,0/2
NAS100,v77,OOS,547,24.5,0.89,86.4,-0.601,4/11
NAS100,F1_body_ratio,IS,53,17.0,0.8,23.3,-0.871,0/2
NAS100,F1_body_ratio,OOS,263,25.9,0.95,46.3,-0.523,3/11
NAS100,F2_pin_bar,IS,29,27.6,1.15,11.2,-0.353,1/2
NAS100,F2_pin_bar,OOS,103,25.2,0.75,49.7,-0.739,5/11
NAS100,F3_no_shadow,IS,42,14.3,0.6,23.0,-1.289,0/2
NAS100,F3_no_shadow,OOS,198,27.8,1.08,29.1,-0.392,5/11
NAS100,F4_engulf,IS,67,16.4,0.78,28.3,-0.902,0/2
NAS100,F4_engulf,OOS,326,26.1,0.95,42.2,-0.516,4/11
NAS100,F5_low_reject,IS,124,20.2,0.79,41.3,-0.809,0/2
NAS100,F5_low_reject,OOS,547,24.5,0.89,86.4,-0.601,4/11
USDJPY,v77,IS,638,31.5,1.81,21.1,-0.063,8/8
USDJPY,v77,OOS,1001,31.0,1.83,16.3,-0.067,12/12
USDJPY,F1_body_ratio,IS,320,27.8,1.71,19.1,-0.143,7/8
USDJPY,F1_body_ratio,OOS,508,29.1,1.62,28.4,-0.145,11/12
USDJPY,F2_pin_bar,IS,102,38.2,2.55,8.7,0.14,8/8
USDJPY,F2_pin_bar,OOS,173,33.5,2.28,9.6,0.044,11/12
USDJPY,F3_no_shadow,IS,192,29.2,1.79,12.1,-0.104,6/8
USDJPY,F3_no_shadow,OOS,335,28.1,1.58,21.5,-0.176,11/12
USDJPY,F4_engulf,IS,407,27.5,1.62,21.0,-0.172,8/8
USDJPY,F4_engulf,OOS,665,28.4,1.62,16.2,-0.157,12/12
USDJPY,F5_low_reject,IS,638,31.5,1.81,21.1,-0.063,8/8
USDJPY,F5_low_reject,OOS,1001,31.0,1.83,16.3,-0.067,12/12
