date,long_pair,weak_currency,weak_strength,long_return_pct,short_pair,strong_currency,strong_strength,short_return_pct,xagusd_return_pct
2021-03-29,XAGNZD,NZD,-3.8111,-2.7471,XAGUSD,USD,2.1197,2.5296,-2.5296
2021-03-30,XAGNZD,NZD,-3.6358,1.8932,XAGUSD,USD,1.9664,-1.6417,1.6417
2021-03-31,XAGNZD,NZD,-4.1213,1.8337,XAGUSD,USD,2.4994,-1.7049,1.7049
2021-04-01,XAGNZD,NZD,-3.4338,0.0,XAGUSD,USD,2.067,0.0,0.0
2021-04-02,XAGNZD,NZD,-2.1355,0.0,XAGUSD,USD,1.1691,0.0,0.0
2021-04-05,XAGNZD,NZD,-2.0545,1.3006,XAGUSD,USD,1.0705,-1.8132,1.8132
2021-04-06,XAGJPY,JPY,-1.2724,-0.28,XAGGBP,GBP,1.1314,-0.6821,0.0833
2021-04-07,XAGNZD,NZD,-1.6141,2.0581,XAGCAD,CAD,0.5671,-1.6645,1.3316
2021-04-08,XAGNZD,NZD,-2.4855,-1.6832,XAGUSD,USD,1.001,1.009,-1.009
2021-04-09,XAGNZD,NZD,-2.2971,-1.5072,XAGUSD,USD,1.0383,1.8095,-1.8095
2021-04-12,XAGNZD,NZD,-2.0521,2.3773,XAGUSD,USD,0.9122,-2.2693,2.2693
2021-04-13,XAGNZD,NZD,-2.3755,-0.0239,XAGUSD,USD,0.77,-0.3856,0.3856
2021-04-14,XAGNZD,NZD,-1.8324,0.6057,XAGEUR,EUR,0.7504,-1.4572,1.7284
2021-04-15,XAGNZD,NZD,-1.5337,0.0505,XAGUSD,USD,0.7308,-0.5509,0.5509
2021-04-16,XAGGBP,GBP,-1.2282,-1.2629,XAGEUR,EUR,0.7037,1.0079,-1.0269
2021-04-19,XAGGBP,GBP,-0.3901,-1.238,XAGCHF,CHF,1.0204,0.6201,0.0155
2021-04-20,XAGUSD,USD,-0.6445,2.8256,XAGCHF,CHF,0.9207,-2.9605,2.8256
2021-04-21,XAGUSD,USD,-1.3419,-1.4719,XAGNZD,NZD,2.5072,2.0042,-1.4719
2021-04-22,XAGUSD,USD,-1.7897,-0.3706,XAGNZD,NZD,3.3702,-0.3272,-0.3706
2021-04-23,XAGUSD,USD,-1.5863,0.5139,XAGNZD,NZD,2.6764,0.009,0.5139
2021-04-26,XAGUSD,USD,-1.7945,0.7669,XAGNZD,NZD,2.8256,-0.232,0.7669
2021-04-27,XAGUSD,USD,-2.0498,-1.2532,XAGNZD,NZD,3.1436,0.8984,-1.2532
2021-04-28,XAGUSD,USD,-2.209,-0.1074,XAGNZD,NZD,3.0286,1.0524,-0.1074
2021-04-29,XAGUSD,USD,-2.7738,-0.7677,XAGNZD,NZD,4.1443,0.4168,-0.7677
2021-04-30,XAGUSD,USD,-2.3222,4.2161,XAGCHF,CHF,3.5145,-4.6633,4.2161
2021-05-03,XAGUSD,USD,-1.7216,-1.4995,XAGCHF,CHF,3.0892,1.6462,-1.4995
2021-05-04,XAGUSD,USD,-1.5261,-0.1394,XAGCHF,CHF,2.6174,-0.0644,-0.1394
2021-05-05,XAGUSD,USD,-1.1603,3.6224,XAGCAD,CAD,2.1573,-3.3435,3.6224
2021-05-06,XAGUSD,USD,-1.7337,0.0,XAGNZD,NZD,2.9354,0.1884,0.0
2021-05-07,XAGUSD,USD,-1.697,0.0619,XAGCAD,CAD,3.2494,0.2674,0.0619
