entry_time,exit_time,result,pnl,equity,tf,dir,pair
2025-04-03 06:00:00+00:00,2025-04-03 07:25:00+00:00,SL,10000.0,1010000.0,1h,1,EURUSD
2025-04-03 06:00:00+00:00,2025-04-03 10:12:00+00:00,TP,34373.395909616345,1034373.3959096164,1h,1,AUDUSD
2025-04-03 06:00:00+00:00,2025-04-03 10:00:00+00:00,TP,34394.60381278978,1034394.6038127898,1h,-1,USDCHF
2025-04-03 06:00:00+00:00,2025-04-03 09:12:00+00:00,TP,34355.61565152873,1034355.6156515287,1h,1,GBPUSD
2025-04-03 08:00:00+00:00,2025-04-03 08:30:00+00:00,TP,33525.52949543303,1033525.529495433,4h,1,EURGBP
2025-04-03 09:00:00+00:00,2025-04-03 10:00:00+00:00,TP,34133.696897760274,1067659.2263931932,1h,1,EURGBP
2025-04-03 09:00:00+00:00,2025-04-04 03:25:00+00:00,SL,-19434.79269036814,1014938.6032192482,4h,1,AUDUSD
2025-04-03 12:00:00+00:00,2025-04-03 16:00:00+00:00,SL,9989.835505654228,1044384.439318444,1h,-1,USDCHF
2025-04-03 12:00:00+00:00,2025-04-09 00:15:00+00:00,TP,34194.01120926826,1101853.2376024616,4h,1,EURGBP
2025-04-03 12:00:00+00:00,2025-04-03 17:12:00+00:00,SL,-19323.42500746442,990676.5749925356,1h,1,EURUSD
2025-04-03 12:00:00+00:00,2025-04-03 15:21:00+00:00,SL,9984.986683130925,1024923.5899023792,1h,1,AUDUSD
2025-04-03 14:00:00+00:00,2025-04-04 10:30:00+00:00,TP,33944.07378940391,1135797.3113918656,1h,1,EURGBP
2025-04-04 05:00:00+00:00,2025-04-04 05:18:00+00:00,SL,-19560.814023499508,1014794.8016280292,1h,-1,GBPUSD
2025-04-04 05:00:00+00:00,2025-04-04 07:39:00+00:00,SL,-19322.230700328437,971354.3442922072,4h,1,EURUSD
2025-04-04 05:00:00+00:00,2025-04-06 22:03:00+00:00,TP,34362.5715616061,1059286.1614639852,4h,-1,AUDUSD
2025-04-04 09:00:00+00:00,2025-04-06 22:45:00+00:00,TP,34136.92471670926,1169934.2361085748,1h,1,EURGBP
2025-04-04 09:00:00+00:00,2025-04-10 18:18:00+00:00,SL,9997.149351095508,1024791.9509791248,4h,-1,GBPUSD
2025-04-04 11:00:00+00:00,2025-04-06 22:03:00+00:00,TP,34356.69982639926,1093642.8612903845,1h,-1,AUDUSD
2025-04-04 11:00:00+00:00,2025-04-04 15:00:00+00:00,SL,-19316.17871453819,1025068.2606039058,1h,-1,USDCHF
2025-04-04 12:00:00+00:00,2025-04-09 06:45:00+00:00,TP,34002.09825688068,1203936.3343654554,4h,1,EURGBP
2025-04-04 13:00:00+00:00,2025-04-04 16:30:00+00:00,SL,-19322.933456594157,1005745.3271473116,4h,-1,USDCHF
2025-04-07 05:00:00+00:00,2025-04-07 13:44:00+00:00,TP,34284.628730495926,1059076.5797096207,4h,-1,GBPUSD
