symbol,entry_time,exit_time,dir,ep,sl,tp,exit_price,result,lot,eff_risk,half_pnl,equity_after,pnl_delta,month
EURGBP,2025-03-05 04:00:00+00:00,2025-03-05 07:09:00+00:00,1,0.8304600000000001,0.8300313214285714,0.8313916964285717,0.8304600000000001,BE,413075.4833845085,0.02,10000.0,1009752.1547099692,9752.154709969182,2025-03
AUDUSD,2025-03-05 06:00:00+00:00,2025-03-05 07:36:00+00:00,1,0.62547,0.6244939642857144,0.6278750892857141,0.6278750892857141,TP,138021.12216102384,0.02,10000.0,1034813.6714850825,34813.67148508248,2025-03
EURJPY,2025-03-05 13:00:00+00:00,2025-03-05 15:15:00+00:00,1,159.92000000000002,159.39839642857143,161.21700892857143,159.92000000000002,BE,38490.882472214085,0.02,10000.0,1009976.9054705166,9976.905470516649,2025-03
US30,2025-03-05 13:00:00+00:00,2025-03-05 16:29:00+00:00,-1,42759.5,42880.31017857143,42457.47455357142,42457.47455357142,TP,1.1036597653441689,0.02,10000.0,1034999.9993378044,34999.99933780439,2025-03
AUDUSD,2025-03-05 17:00:00+00:00,2025-03-05 19:55:00+00:00,1,0.6309899999999999,0.6298384285714286,0.6338339285714285,0.6338339285714285,TP,120864.23393644024,0.02,10348.136714850825,1070868.9832712465,36055.311786164064,2025-03
EURGBP,2025-03-05 20:00:00+00:00,2025-03-06 07:55:00+00:00,1,0.8367,0.8355293214285714,0.8394866964285714,0.8367,BE,148645.99646353233,0.02,10546.865570962478,1065144.2350693317,10457.677973084152,2025-03
EURJPY,2025-03-05 21:00:00+00:00,2025-03-06 07:00:00+00:00,1,160.678,160.36621428571428,161.45046428571425,160.678,BE,65854.7770969048,0.02,10200.434581045416,1030204.3798193288,10160.921714787255,2025-03
US30,2025-03-06 02:00:00+00:00,2025-03-06 10:12:00+00:00,-1,42999.8,43074.13589285714,42813.960267857154,42813.960267857154,TP,1.8564383181206767,0.02,10349.999993378044,1071224.9982007646,36224.99886296026,2025-03
USDJPY,2025-03-06 07:00:00+00:00,2025-03-06 13:24:00+00:00,-1,148.783,149.35055714285716,147.36760714285708,147.36760714285708,TP,36531.465518543104,0.02,10348.58136428539,1071037.9865914674,36179.85016292834,2025-03
EURGBP,2025-03-06 09:00:00+00:00,2025-03-06 12:32:00+00:00,1,0.83764,0.8363107857142856,0.840823035714286,0.83764,BE,131511.77528842702,0.02,10651.44235069332,1075716.770354852,10572.535285520367,2025-03
EURGBP,2025-03-06 14:00:00+00:00,2025-03-06 18:07:00+00:00,1,0.83942,0.8373726071428571,0.8443984821428573,0.8373726071428571,SL,88931.2041834459,0.02,0.0,1100919.3479838944,-22979.234153757803,2025-03
USDJPY,2025-03-06 14:00:00+00:00,2025-03-06 15:21:00+00:00,-1,147.421,148.1227267857143,145.67018303571427,148.1227267857143,SL,29956.309768747382,0.02,0.0,1028520.314054058,-21039.118751746253,2025-03
EURJPY,2025-03-06 20:00:00+00:00,2025-03-07 15:41:00+00:00,1,159.53900000000002,159.03580357142857,160.78999107142857,159.53900000000002,BE,40682.66921397256,0.02,10195.004257398012,1029671.0203956708,10170.594655869645,2025-03
EURGBP,2025-03-07 01:00:00+00:00,2025-03-07 04:37:00+00:00,1,0.8374600000000001,0.8368280714285714,0.8388998214285717,0.8388998214285717,TP,296115.3118260381,0.02,11009.193479838945,1138529.9017891088,37610.55380521435,2025-03
US30,2025-03-07 05:00:00+00:00,2025-03-07 11:03:00+00:00,-1,42667.0,42733.99589285714,42499.51026785714,42667.0,BE,2.260473414276275,0.02,11358.182600195547,1147176.4412634661,11358.181243911386,2025-03
USDJPY,2025-03-07 05:00:00+00:00,2025-03-07 14:53:00+00:00,-1,147.67499999999998,148.17878571428574,146.4190357142856,147.67499999999998,BE,41321.19854998917,0.02,10387.854164049799,1049148.4778498996,10363.061444919673,2025-03
US30,2025-03-07 13:00:00+00:00,2025-03-07 15:30:00+00:00,-1,42637.0,42697.55357142857,42485.616071428565,42637.0,BE,2.4754563275302854,0.02,11242.32911605626,1135475.2392364084,11242.327630782267,2025-03
USDJPY,2025-03-10 01:00:00+00:00,2025-03-12 00:13:00+00:00,-1,147.291,148.15150714285713,145.1432321428572,148.15150714285713,SL,24412.792530435025,0.02,0.0,1028126.4478248527,-21022.0300250469,2025-03
EURGBP,2025-03-10 05:00:00+00:00,2025-03-10 07:48:00+00:00,1,0.83913,0.8387454285714285,0.8399514285714287,0.83913,BE,525841.4084587721,0.02,11403.142652197675,1151401.90302689,11087.637807122432,2025-03
AUDUSD,2025-03-10 08:00:00+00:00,2025-03-10 08:52:00+00:00,1,0.63228,0.6313878214285714,0.6344754464285715,0.6313878214285714,SL,178500.9338222192,0.02,0.0,1157027.4342039307,-23995.306780718733,2025-03
US30,2025-03-10 08:00:00+00:00,2025-03-10 11:45:00+00:00,-1,42600.6,42679.10785714286,42404.33035714285,42404.33035714285,TP,1.8898587973535317,0.02,11127.657336210663,1151712.5331638881,38946.799542821944,2025-03
AUDUSD,2025-03-10 10:00:00+00:00,2025-03-10 14:17:00+00:00,1,0.63269,0.6308814285714286,0.6371764285714285,0.6308814285714286,SL,85773.81031959249,0.02,0.0,1133706.7605181814,-23320.673685749294,2025-03
AUDUSD,2025-03-10 16:00:00+00:00,2025-03-10 18:41:00+00:00,-1,0.63063,0.6318880357142858,0.6275199107142855,0.6275199107142855,TP,125344.05483352665,0.02,11732.53927542271,1214148.6005322263,40894.67298995517,2025-03
US30,2025-03-10 19:00:00+00:00,2025-03-10 22:04:00+00:00,-1,42295.65,42529.8,41710.274999999994,41710.274999999994,TP,0.7025372658705734,0.02,12337.432560269683,1276924.2695663902,43181.01353942184,2025-03
EURGBP,2025-03-10 22:00:00+00:00,2025-03-11 07:38:00+00:00,1,0.84136,0.8405966785714285,0.8431283035714285,0.8431283035714285,TP,183312.25180610167,0.015,8366.92638596031,1144301.745005946,28711.560211237753,2025-03
EURGBP,2025-03-11 12:00:00+00:00,2025-03-12 11:36:00+00:00,1,0.8437600000000001,0.8418580357142856,0.848374910714286,0.8418580357142856,SL,107428.21308091687,0.02,0.0,1239889.4016969018,-25924.598710410297,2025-03
US30,2025-03-11 13:00:00+00:00,2025-03-11 15:21:00+00:00,-1,42012.2,42084.75535714285,41830.81160714287,42012.2,BE,2.3465747531268026,0.02,12769.242695663903,1289693.5108541092,12769.241287718993,2025-03
US30,2025-03-11 16:00:00+00:00,2025-03-11 18:00:00+00:00,-1,41872.7,42102.626249999994,41297.88437500001,41297.88437500001,TP,0.7553671055289713,0.02,13025.904446072118,1348181.1097152436,45590.665108031826,2025-03
AUDUSD,2025-03-12 01:00:00+00:00,2025-03-12 06:08:00+00:00,-1,0.6293500000000001,0.6301683571428571,0.6273391071428573,0.6293500000000001,BE,202085.98781150946,0.02,12251.82387890744,1237312.9601769643,12130.572286220267,2025-03
US30,2025-03-12 06:00:00+00:00,2025-03-12 11:48:00+00:00,-1,41516.8,41600.74767857143,41306.930803571435,41600.74767857143,SL,2.1413037781910225,0.02,0.0,1321217.4862361564,-26963.62347908714,2025-03
EURJPY,2025-03-12 07:00:00+00:00,2025-03-12 17:54:00+00:00,1,161.596,161.27646785714285,162.38783035714286,161.596,BE,68737.82326166875,0.02,10913.234157806743,1102195.4072445242,10871.991463849787,2025-03
AUDUSD,2025-03-12 12:00:00+00:00,2025-03-12 12:30:00+00:00,-1,0.62866,0.6295818214285714,0.6263904464285712,0.6295818214285714,SL,180807.4504304689,0.02,0.0,1211371.4963010089,-25109.311808084836,2025-03
USDJPY,2025-03-12 13:00:00+00:00,2025-03-12 15:08:00+00:00,1,149.13,148.22280178571427,151.3944955357143,148.22280178571427,SL,23654.979385493076,0.02,0.0,1050331.0558598547,-21473.94804511615,2025-03
EURGBP,2025-03-12 16:00:00+00:00,2025-03-12 18:30:00+00:00,-1,0.84237,0.8433127857142857,0.8401530357142857,0.8401530357142857,TP,155472.91439649824,0.015,8867.54850631785,1212890.0397091543,30550.238866774365,2025-03
AUDUSD,2025-03-12 19:00:00+00:00,2025-03-13 03:58:00+00:00,1,0.63149,0.6304983928571428,0.6339340178571431,0.63149,BE,166179.84734837935,0.02,12234.249386706892,1235559.480148987,12134.541478297906,2025-03
EURGBP,2025-03-12 19:00:00+00:00,2025-03-13 15:12:00+00:00,-1,0.83934,0.8413758214285714,0.8343904464285716,0.83934,BE,96538.50398575899,0.02,12128.900397091544,1224961.0170038543,12070.977294699987,2025-03
US30,2025-03-12 23:00:00+00:00,2025-03-13 20:35:00+00:00,-1,41354.15,41607.29017857143,40721.299553571436,40721.299553571436,TP,0.681990056627315,0.02,12947.931353893162,1340110.8947187483,45317.75932943192,2025-03
USDJPY,2025-03-13 04:00:00+00:00,2025-03-13 09:23:00+00:00,-1,148.041,148.42019642857144,147.09650892857138,148.041,BE,55544.20806284501,0.02,10503.310558598547,1060801.0398936153,10469.984033760615,2025-03
AUDUSD,2025-03-13 11:00:00+00:00,2025-03-13 11:32:00+00:00,-1,0.6289100000000001,0.6294122142857143,0.6276894642857145,0.6289100000000001,BE,327672.7348148137,0.02,12096.390083617414,1221538.7948044701,11899.786442728713,2025-03
USDJPY,2025-03-13 12:00:00+00:00,2025-03-13 14:35:00+00:00,1,147.993,147.64817321428572,148.85156696428567,147.993,BE,60467.42063860364,0.02,10395.159439301915,1049874.8229171103,10358.878986918833,2025-03
EURGBP,2025-03-13 18:00:00+00:00,2025-03-14 10:18:00+00:00,-1,0.83878,0.8402492857142858,0.8352467857142856,0.8402492857142858,SL,97261.2420211085,0.015,0.0,1147984.3206921502,-18038.17894729972,2025-03
AUDUSD,2025-03-13 20:00:00+00:00,2025-03-14 01:40:00+00:00,-1,0.6283500000000001,0.6290389285714285,0.6266626785714289,0.6290389285714285,SL,176244.6726614796,0.015,0.0,1178256.692932011,-18318.745387378847,2025-03
USDJPY,2025-03-14 02:00:00+00:00,2025-03-17 22:59:00+00:00,1,148.175,147.71743392857144,149.3154151785714,149.3154151785714,TP,47596.75285274158,0.02,10865.531231366365,1124530.1260182804,37977.00288164383,2025-03
EURJPY,2025-03-14 11:00:00+00:00,2025-03-14 14:20:00+00:00,1,162.12800000000001,161.46996071428572,163.7660982142857,161.46996071428572,SL,39702.65995576362,0.02,0.0,1276175.5023225956,-26149.731594221666,2025-03
AUDUSD,2025-03-14 15:00:00+00:00,2025-03-17 05:22:00+00:00,1,0.6321899999999999,0.6310943928571429,0.6348940178571427,0.6321899999999999,BE,153662.45288033647,0.02,12511.279232687726,1263547.0050297321,12419.081760959467,2025-03
US30,2025-03-17 05:00:00+00:00,2025-03-17 13:17:00+00:00,-1,41293.4,41342.06607142857,41171.73482142858,41293.4,BE,3.9724208954432565,0.02,14499.158928148348,1464415.0493595307,14499.156544695841,2025-03
AUDUSD,2025-03-17 12:00:00+00:00,2025-03-17 12:30:00+00:00,1,0.6350899999999999,0.6345562142857143,0.6363894642857142,0.6345562142857143,SL,321309.1402592397,0.02,0.0,1236309.211703916,-25919.319825123064,2025-03
EURJPY,2025-03-17 13:00:00+00:00,2025-03-18 07:03:00+00:00,1,162.244,161.70751785714285,163.57820535714285,163.57820535714285,TP,53451.95190469749,0.02,14284.556896959846,1478366.1157122962,49910.42601631163,2025-03
US30,2025-03-17 14:00:00+00:00,2025-03-17 16:36:00+00:00,1,41338.4,41226.64464285714,41617.78839285715,41617.78839285715,TP,1.7466399547841382,0.02,14639.7278960165,1515211.836189724,51239.04658807395,2025-03
US30,2025-03-17 20:00:00+00:00,2025-03-18 07:41:00+00:00,1,41730.05,41583.40232142858,42096.66919642857,41730.05,BE,1.3776436612796243,0.02,15152.118361897239,1530363.9537250353,15152.117535311263,2025-03
USDJPY,2025-03-18 02:00:00+00:00,2025-03-18 15:52:00+00:00,1,149.429,149.08704821428572,150.28037946428572,149.429,BE,66595.12591033842,0.02,11352.863549498656,1146599.2614238178,11312.906473952346,2025-03
US30,2025-03-18 09:00:00+00:00,2025-03-18 11:33:00+00:00,1,41747.0,41707.110714285714,41846.72321428571,41846.72321428571,TP,5.115371797451424,0.02,15303.639537250352,1583926.6890361873,53562.73531115195,2025-03
EURGBP,2025-03-18 18:00:00+00:00,2025-03-19 00:40:00+00:00,1,0.84202,0.8411136785714286,0.8441458035714283,0.8411136785714286,SL,158607.04849437968,0.015,0.0,1138723.8372525559,-18251.08997941669,2025-03
EURJPY,2025-03-18 20:00:00+00:00,2025-03-19 07:00:00+00:00,1,163.42600000000002,163.128175,164.1635625,163.42600000000002,BE,122764.90848255962,0.02,18158.464525927076,1833931.2581735451,18084.805580837652,2025-03
US30,2025-03-18 21:00:00+00:00,2025-03-19 21:52:00+00:00,1,41565.55,41382.35535714286,42023.53660714287,42023.53660714287,TP,1.1759904366273388,0.02,16157.636103102373,1672315.3359655018,56551.725655264454,2025-03
USDJPY,2025-03-19 02:00:00+00:00,2025-03-19 07:01:00+00:00,1,149.46800000000002,149.15929642857142,150.2362589285715,149.46800000000002,BE,51012.34126595505,0.015,7848.339797234201,1054263.0386903684,7817.732392474893,2025-03
EURGBP,2025-03-19 07:00:00+00:00,2025-03-19 07:36:00+00:00,-1,0.84148,0.8421184285714286,0.8400239285714286,0.8400239285714286,TP,149043.0308828212,0.01,5628.971575806927,1145030.0396692979,19235.724507912528,2025-03
EURGBP,2025-03-19 12:00:00+00:00,2025-03-19 12:07:00+00:00,-1,0.84058,0.8410488928571428,0.8395477678571431,0.8410488928571428,SL,317606.23121953645,0.015,0.0,1126062.184660494,-18967.855008803774,2025-03
AUDUSD,2025-03-19 13:00:00+00:00,2025-03-19 14:19:00+00:00,-1,0.6333500000000001,0.6340942142857143,0.6315244642857143,0.6333500000000001,BE,231240.78708500453,0.02,12733.521698822122,1285946.947108783,12594.777226570994,2025-03
