threshold,seasonal,dynamic_cum,xagusd_cum,improvement,switch_count,total_trades
0.0,True,42.07,53.75,-11.68,413,987
0.0,False,56.24,63.45,-7.2,483,1196
0.1,True,44.86,53.75,-8.89,405,987
0.1,False,57.96,63.45,-5.49,470,1196
0.2,True,43.36,53.75,-10.38,394,987
0.2,False,56.4,63.45,-7.04,454,1196
0.3,True,43.22,53.75,-10.53,386,987
0.3,False,55.31,63.45,-8.14,444,1196
0.5,True,47.27,53.75,-6.48,373,987
0.5,False,59.68,63.45,-3.77,428,1196
0.7,True,48.47,53.75,-5.28,346,987
0.7,False,62.86,63.45,-0.59,398,1196
1.0,True,49.72,53.75,-4.03,321,987
1.0,False,60.52,63.45,-2.92,364,1196
1.5,True,52.5,53.75,-1.25,274,987
1.5,False,64.37,63.45,0.92,306,1196
