date,xagusd_signal,xagchf_signal,xagjpy_signal,active_pairs,xagusd_ret,xagchf_ret,xagjpy_ret,portfolio_ret,benchmark_ret
2022-01-11,0.0,0.0,0.0,0,1.7276,1.3217,1.7744,0.0,0.0
2022-01-12,0.0,0.0,0.0,0,-0.194,-1.2055,-0.7617,0.0,0.0
2022-01-13,0.0,0.0,0.0,0,-1.0538,-1.3893,-1.5344,0.0,0.0
2022-01-14,0.0,0.0,0.0,0,2.5141,2.837,2.921,0.0,0.0
2022-01-18,0.0,0.0,0.0,0,3.1464,3.5031,3.1311,0.0,0.0
2022-01-19,0.0,0.0,0.0,0,2.002,1.8385,1.8177,0.0,0.0
2022-01-20,1.0,0.0,0.0,1,-1.6066,-1.4733,-1.9112,-0.5355,-1.6066
2022-01-21,1.0,0.0,0.0,1,-2.1346,-2.5829,-2.3131,-0.7115,-2.1346
2022-01-24,0.0,0.0,0.0,0,0.4245,0.584,0.6239,0.0,0.0
2022-01-25,0.0,0.0,0.0,0,-0.3725,0.026,-0.4913,0.0,0.0
2022-01-26,0.0,0.0,0.0,0,-4.7633,-4.1196,-4.0558,0.0,0.0
2022-01-27,0.0,0.0,0.0,0,-1.6363,-0.8995,-1.0953,0.0,0.0
2022-01-28,0.0,0.0,0.0,0,0.417,0.4451,0.3387,0.0,0.0
2022-01-31,0.0,0.0,0.0,0,0.8975,0.4587,0.7741,0.0,0.0
2022-02-01,0.0,0.0,0.0,0,0.5089,-0.1567,0.1728,0.0,0.0
2022-02-02,0.0,0.0,0.0,0,-1.4795,-1.6913,-1.7834,0.0,0.0
2022-02-03,0.0,0.0,0.0,0,0.4469,0.601,0.9519,0.0,0.0
2022-02-04,0.0,0.0,0.0,0,2.6741,3.204,2.9126,0.0,0.0
2022-02-07,0.0,0.0,0.0,0,0.5157,0.2908,0.3752,0.0,0.0
2022-02-08,0.0,0.0,0.0,0,0.6079,0.8204,1.0171,0.0,0.0
2022-02-09,0.0,0.0,0.0,0,0.7842,0.6992,0.8461,0.0,0.0
2022-02-10,0.0,0.0,0.0,0,-0.6505,-0.4968,-0.2681,0.0,0.0
2022-02-11,0.0,0.0,0.0,0,2.05,1.9475,1.6428,0.0,0.0
2022-02-14,0.0,0.0,0.0,0,-2.1262,-2.1485,-2.1669,0.0,0.0
2022-02-15,0.0,0.0,0.0,0,1.1269,1.2286,1.2136,0.0,0.0
2022-02-16,0.0,0.0,0.0,0,1.1567,0.737,0.9398,0.0,0.0
2022-02-17,0.0,0.0,0.0,0,0.4901,0.272,0.0363,0.0,0.0
2022-02-18,0.0,0.0,0.0,0,1.3338,0.9052,1.1071,0.0,0.0
2022-02-22,1.0,0.0,0.0,1,1.0037,1.6489,1.4328,0.3346,1.0037
2022-02-23,1.0,0.0,0.0,1,0.5335,0.0819,0.3606,0.1778,0.5335
2022-02-24,1.0,0.0,0.0,1,-2.7911,-1.8989,-2.2217,-0.9304,-2.7911
2022-02-25,0.0,0.0,0.0,0,1.5169,1.5999,1.5292,0.0,0.0
2022-02-28,1.0,0.0,0.0,1,4.8151,3.786,4.3553,1.605,4.8151
2022-03-01,1.0,0.0,0.0,1,-1.3746,-1.2607,-1.5846,-0.4582,-1.3746
2022-03-02,1.0,0.0,0.0,1,0.0874,0.3009,0.6853,0.0291,0.0874
2022-03-03,1.0,0.0,0.0,1,2.2892,1.9981,2.2494,0.7631,2.2892
2022-03-04,1.0,0.0,0.0,1,-0.2676,-0.0221,-0.7202,-0.0892,-0.2676
2022-03-07,1.0,0.0,0.0,1,4.5697,5.1709,4.9545,1.5232,4.5697
2022-03-08,1.0,0.0,0.0,1,-4.2063,-3.7809,-3.9166,-1.4021,-4.2063
2022-03-09,1.0,0.0,0.0,1,1.7277,1.3917,1.8921,0.5759,1.7277
2022-03-10,1.0,0.0,0.0,1,-0.3664,-0.0556,-0.1343,-0.1221,-0.3664
2022-03-11,1.0,0.0,0.0,1,-3.3019,-2.7411,-2.1783,-1.1006,-3.3019
2022-03-14,1.0,0.0,0.0,1,-0.4793,-0.1035,0.1041,-0.1598,-0.4793
2022-03-15,1.0,1.0,0.0,2,-1.8031,-1.5436,-1.7417,-1.1156,-1.8031
2022-03-16,1.0,1.0,0.0,2,3.7049,3.7909,4.2116,2.4986,3.7049
2022-03-17,1.0,1.0,1.0,3,-2.0677,-2.6439,-2.3841,-2.3652,-2.0677
2022-03-18,1.0,1.0,1.0,3,0.906,0.5729,1.5677,1.0155,0.906
2022-03-21,1.0,1.0,1.0,3,-1.5703,-1.4701,-1.2971,-1.4458,-1.5703
2022-03-22,1.0,1.0,1.0,3,1.1453,1.0944,2.6219,1.6205,1.1453
2022-03-23,1.0,1.0,1.0,3,2.9003,2.6037,2.7196,2.7412,2.9003
2022-03-24,1.0,1.0,1.0,3,-1.1776,-1.3082,-0.1831,-0.8896,-1.1776
2022-03-25,1.0,0.0,1.0,2,-1.637,-1.4487,-1.6981,-1.1117,-1.637
2022-03-28,1.0,0.0,1.0,2,-1.8271,-1.5741,-0.7111,-0.8461,-1.8271
2022-03-29,1.0,1.0,1.0,3,1.5658,1.2917,1.1264,1.3279,1.5658
2022-03-30,1.0,1.0,1.0,3,0.0717,-0.8074,-0.8256,-0.5204,0.0717
2022-03-31,1.0,0.0,1.0,2,-1.9068,-1.8834,-2.1198,-1.3422,-1.9068
2022-04-01,1.0,0.0,1.0,2,-0.2354,0.0575,0.4644,0.0763,-0.2354
2022-04-04,1.0,0.0,1.0,2,-0.2278,-0.1955,-0.0659,-0.0979,-0.2278
2022-04-05,1.0,0.0,1.0,2,-0.2976,0.0684,0.39,0.0308,-0.2976
2022-04-06,1.0,0.0,1.0,2,1.1368,1.5121,1.1916,0.7761,1.1368
2022-04-07,1.0,0.0,1.0,2,0.3477,0.5015,0.6502,0.3327,0.3477
2022-04-08,1.0,0.0,1.0,2,0.6406,0.6148,0.875,0.5052,0.6406
2022-04-11,1.0,0.0,1.0,2,2.9906,2.6665,3.8907,2.2938,2.9906
2022-04-12,1.0,0.0,1.0,2,1.1467,1.2923,1.1016,0.7494,1.1467
2022-04-13,1.0,0.0,1.0,2,-1.2683,-1.1402,-1.299,-0.8557,-1.2683
2022-04-14,1.0,0.0,1.0,2,1.7516,2.6767,2.7588,1.5035,1.7516
2022-04-18,0.0,0.0,1.0,1,-2.8653,-2.6324,-2.4971,-0.8324,-2.8653
2022-04-19,0.0,0.0,1.0,1,-0.4765,0.3094,1.2736,0.4245,-0.4765
2022-04-20,0.0,1.0,1.0,2,-2.5683,-2.8814,-3.5627,-2.148,-2.5683
2022-04-21,0.0,1.0,1.0,2,-1.4784,-0.9905,-1.1744,-0.7216,-1.4784
2022-04-22,0.0,1.0,1.0,2,-2.4282,-2.2338,-2.2785,-1.5041,0.0
