name,direction,total_trades,win_rate_pct,profit_factor,max_drawdown_pct,total_return_pct,rr_ratio,passed
BASELINE,baseline,22,40.91,1.0304,0.28,0.02,1.49,False
A1_IB_only,A,8,25.0,0.5226,0.24,-0.13,1.57,False
A2_Vol_only,A,9,44.44,1.0603,0.22,0.02,1.33,False
A3_Sess_only,A,21,38.1,0.9209,0.28,-0.06,1.5,False
A4_IB_Vol,A,3,0.0,0.0,0.16,-0.16,0.0,False
A5_IB_Sess,A,8,25.0,0.5226,0.24,-0.13,1.57,False
A6_Vol_Sess,A,9,44.44,1.0603,0.22,0.02,1.33,False
A7_All,A,3,0.0,0.0,0.16,-0.16,0.0,False
A8_All_HighVol,A,1,0.0,0.0,0.05,-0.05,0.0,False
A9_LondonNY,A,3,0.0,0.0,0.16,-0.16,0.0,False
B1_EMA20_50_noSlope,B,3,100.0,99.9,0.0,0.27,4580.0,False
B2_EMA20_50_slope,B,3,100.0,99.9,0.0,0.27,4580.0,False
B3_EMA10_30_noSlope,B,4,100.0,99.9,0.0,0.39,4915.0,False
B4_EMA10_30_slope,B,4,100.0,99.9,0.0,0.39,4915.0,False
B5_EMA50_200_noSlope,B,3,100.0,99.9,0.0,0.22,3635.24,False
B6_EMA20_100_noSlope,B,3,100.0,99.9,0.0,0.27,4580.0,False
B7_EMA20_50_strongSlp,B,3,100.0,99.9,0.0,0.27,4580.0,False
B8_EMA10_50_noSlope,B,4,100.0,99.9,0.0,0.39,4915.0,False
B9_EMA30_100_noSlope,B,4,100.0,99.9,0.0,0.34,4261.43,False
