dir,entry,exit,entry_time,exit_time,pnl,reason,pyramids
short,161.45266666666666,161.034,2024-07-03 20:00:00+00:00,2024-07-04 11:00:00+00:00,66236.27150739335,TP,2
long,149.673,148.495,2024-08-01 04:00:00+00:00,2024-08-02 12:00:00+00:00,-11779.999999999973,SL,0
long,146.546,146.24360714285714,2024-08-02 20:00:00+00:00,2024-08-04 22:00:00+00:00,-3023.9285714284847,SL,0
long,142.36,143.72200000000004,2024-08-05 10:00:00+00:00,2024-08-05 14:00:00+00:00,13620.000000000233,TP,0
short,145.93,146.593,2024-09-02 04:00:00+00:00,2024-09-02 08:00:00+00:00,-6629.999999999825,SL,0
short,146.8485,146.948,2024-09-02 15:00:00+00:00,2024-09-03 00:00:00+00:00,-23629.71939540566,SL,1
short,146.648,146.849,2024-10-03 03:00:00+00:00,2024-10-03 09:00:00+00:00,-25523.160588439125,SL,1
short,146.78300000000002,146.411,2024-10-03 20:00:00+00:00,2024-10-04 02:00:00+00:00,27174.74678589238,TP,1
short,148.764,149.001,2024-10-06 21:00:00+00:00,2024-10-06 22:00:00+00:00,-2369.9999999999477,SL,0
short,151.738,152.519,2024-11-04 03:00:00+00:00,2024-11-05 05:00:00+00:00,-7810.000000000059,SL,0
short,153.992,154.39,2024-11-06 09:00:00+00:00,2024-11-06 12:00:00+00:00,-3979.9999999999613,SL,0
short,154.35,154.60160714285712,2024-11-06 15:00:00+00:00,2024-11-06 16:00:00+00:00,-2516.0714285712515,SL,0
long,149.861,149.49,2024-12-03 02:00:00+00:00,2024-12-03 13:00:00+00:00,-3709.999999999809,SL,0
short,149.612,149.7970357142857,2024-12-03 23:00:00+00:00,2024-12-04 00:00:00+00:00,-1850.3571428570353,SL,0
long,150.155,149.99117857142858,2024-12-05 18:00:00+00:00,2024-12-05 19:00:00+00:00,-1638.2142857142412,SL,0
long,150.072,149.91,2024-12-05 22:00:00+00:00,2024-12-06 00:00:00+00:00,-1620.0000000000614,SL,0
short,157.305,157.65607142857144,2025-01-03 03:00:00+00:00,2025-01-06 00:00:00+00:00,-3510.7142857143003,SL,0
short,157.507,157.68417857142856,2025-01-06 17:00:00+00:00,2025-01-06 23:00:00+00:00,-1771.7857142855564,SL,0
long,158.00733333333335,158.52000000000004,2025-01-07 12:00:00+00:00,2025-01-08 11:00:00+00:00,70280.75850231039,TP,2
short,155.14049999999997,154.792,2025-02-04 12:00:00+00:00,2025-02-04 15:00:00+00:00,25536.158130420168,TP,1
long,152.322,152.74599999999998,2025-02-05 18:00:00+00:00,2025-02-05 20:00:00+00:00,4239.999999999782,TP,0
