dir,entry,exit,entry_time,exit_time,pnl,reason,pyramids
long,1.5560833333333333,1.5658300000000003,2026-02-27 04:57:00,2026-03-01 23:33:00,178657.40171385952,TP,2
short,1.5716033333333332,1.57171,2026-03-02 08:31:00,2026-03-02 12:18:00,-7603.797774697724,SL,2
short,1.5739633333333334,1.57403,2026-03-02 14:07:00,2026-03-02 17:28:00,-6977.081100407744,SL,2
short,1.57376,1.57394,2026-03-02 17:32:00,2026-03-02 18:03:00,-774.6165401513127,SL,1
short,1.5733466666666667,1.57343,2026-03-02 21:12:00,2026-03-02 21:42:00,-7252.439613547565,SL,2
short,1.57333,1.57344,2026-03-02 21:56:00,2026-03-02 22:08:00,-482.601295390108,SL,1
short,1.573345,1.57352,2026-03-02 22:27:00,2026-03-02 22:45:00,-754.5679158329555,SL,1
short,1.57185,1.57217,2026-03-02 23:51:00,2026-03-03 07:12:00,-1298.910141271098,SL,1
short,1.5740566666666667,1.57409,2026-03-03 08:02:00,2026-03-03 08:12:00,-6212.258103589477,SL,2
short,1.57412,1.5793799999999998,2026-03-03 08:13:00,2026-03-03 11:15:00,-52.599999999998204,SL,0
short,1.57712,1.57742,2026-03-03 13:37:00,2026-03-03 13:43:00,-1224.820493838682,SL,1
short,1.57548,1.57561,2026-03-03 20:35:00,2026-03-03 20:38:00,-552.8129207255338,SL,1
short,1.57531,1.57546,2026-03-03 20:41:00,2026-03-03 22:08:00,-7853.562343191197,SL,2
short,1.575455,1.57566,2026-03-03 22:33:00,2026-03-03 22:50:00,-843.4414226460015,SL,1
short,1.5759733333333334,1.57601,2026-03-03 23:05:00,2026-03-03 23:13:00,-6778.456549059624,SL,2
short,1.576285,1.57655,2026-03-04 01:05:00,2026-03-04 01:15:00,-1058.1229343015011,SL,1
short,1.5722833333333333,1.57234,2026-03-04 08:11:00,2026-03-04 09:57:00,-6609.876174624431,SL,2
short,1.56891,1.56896,2026-03-04 17:32:00,2026-03-05 03:00:00,-6730.964618340847,SL,2
long,1.571765,1.57163,2026-03-05 05:04:00,2026-03-05 06:00:00,-557.7982358860988,SL,1
short,1.5715599999999998,1.56986,2026-03-05 06:28:00,2026-03-05 07:26:00,20905.388520619566,Signal,2
