entry_time,direction,entry_price,sl,status,exit_time,exit_price,pnl
2026-01-02 08:17:00,LONG,1.57957,1.5493999999999999,CLOSED,2026-01-02 12:17:00,1.56917,-103.99999999999964
2026-01-02 09:21:00,LONG,1.57791,1.5476699999999999,CLOSED,2026-01-02 13:21:00,1.56883,-90.79999999999977
2026-01-02 10:03:00,LONG,1.57907,1.54891,CLOSED,2026-01-02 14:03:00,1.56897,-100.99999999999997
2026-01-02 10:18:00,LONG,1.57888,1.54802,CLOSED,2026-01-02 14:18:00,1.569,-98.8000000000011
2026-01-02 10:34:00,LONG,1.5785500000000001,1.54824,CLOSED,2026-01-02 14:34:00,1.56868,-98.70000000000046
2026-01-02 10:53:00,LONG,1.57852,1.54814,CLOSED,2026-01-02 14:53:00,1.5686,-99.19999999999929
2026-01-04 22:17:00,LONG,1.57768,1.54737,CLOSED,2026-01-05 02:17:00,1.56987,-78.09999999999873
2026-01-04 23:47:00,LONG,1.57954,1.54914,CLOSED,2026-01-05 03:47:00,1.57202,-75.1999999999997
2026-01-05 00:22:00,LONG,1.5812,1.55066,CLOSED,2026-01-05 04:22:00,1.57269,-85.10000000000018
2026-01-05 01:16:00,LONG,1.58063,1.55026,CLOSED,2026-01-05 05:16:00,1.57227,-83.59999999999923
2026-01-05 01:47:00,LONG,1.57976,1.54939,CLOSED,2026-01-05 05:47:00,1.57145,-83.10000000000039
2026-01-05 02:51:00,LONG,1.58144,1.5511599999999999,CLOSED,2026-01-05 06:51:00,1.57062,-108.20000000000051
2026-01-05 04:19:00,LONG,1.58251,1.5524499999999999,CLOSED,2026-01-05 08:19:00,1.56821,-142.9999999999998
2026-01-05 04:39:00,LONG,1.58242,1.55222,CLOSED,2026-01-05 08:39:00,1.56839,-140.29999999999987
2026-01-05 06:02:00,LONG,1.58171,1.55143,CLOSED,2026-01-05 10:02:00,1.5692,-125.10000000000021
2026-01-05 07:41:00,LONG,1.58005,1.54977,CLOSED,2026-01-05 11:41:00,1.56617,-138.79999999999893
2026-01-05 13:40:00,SHORT,1.55955,1.5897700000000001,CLOSED,2026-01-05 17:40:00,1.56311,-35.60000000000008
2026-01-05 14:31:00,SHORT,1.55772,1.5885,CLOSED,2026-01-05 18:31:00,1.5632,-54.799999999999294
2026-01-05 14:46:00,SHORT,1.55773,1.58812,CLOSED,2026-01-05 18:46:00,1.56211,-43.80000000000051
2026-01-05 15:49:00,SHORT,1.55579,1.58675,CLOSED,2026-01-05 19:49:00,1.56161,-58.19999999999936
2026-01-05 16:55:00,SHORT,1.55347,1.58376,CLOSED,2026-01-05 20:55:00,1.56323,-97.59999999999991
2026-01-05 18:52:00,SHORT,1.55236,1.58261,CLOSED,2026-01-05 22:52:00,1.56464,-122.8000000000007
2026-01-05 19:17:00,SHORT,1.55165,1.58179,CLOSED,2026-01-05 23:17:00,1.56517,-135.19999999999976
2026-01-05 21:27:00,SHORT,1.55397,1.5841,CLOSED,2026-01-06 01:27:00,1.56587,-119.00000000000021
2026-01-05 21:42:00,SHORT,1.55394,1.58417,CLOSED,2026-01-06 01:42:00,1.56557,-116.29999999999808
2026-01-05 23:04:00,SHORT,1.55548,1.58573,CLOSED,2026-01-06 03:04:00,1.56345,-79.70000000000033
2026-01-06 01:17:00,SHORT,1.55648,1.58708,CLOSED,2026-01-06 05:17:00,1.56327,-67.89999999999851
2026-01-06 02:07:00,SHORT,1.55462,1.5849900000000001,CLOSED,2026-01-06 06:07:00,1.5645,-98.8000000000011
2026-01-06 02:23:00,SHORT,1.55447,1.5848,CLOSED,2026-01-06 06:23:00,1.56392,-94.49999999999959
2026-01-06 04:48:00,SHORT,1.55417,1.58437,CLOSED,2026-01-06 08:48:00,1.56316,-89.90000000000053
2026-01-06 06:32:00,SHORT,1.55442,1.58456,CLOSED,2026-01-06 10:32:00,1.56377,-93.50000000000192
2026-01-06 07:18:00,SHORT,1.5533,1.58371,CLOSED,2026-01-06 11:18:00,1.5652,-119.00000000000021
2026-01-06 09:31:00,SHORT,1.55388,1.58483,CLOSED,2026-01-06 13:31:00,1.56423,-103.50000000000081
2026-01-06 11:49:00,SHORT,1.55446,1.58473,CLOSED,2026-01-06 15:49:00,1.56614,-116.80000000000135
2026-01-06 13:01:00,SHORT,1.55523,1.5858,CLOSED,2026-01-06 17:01:00,1.56729,-120.60000000000181
