strategy,exit_time,equity,pnl
Union_4H_Base,2025-01-30,5495960.0,495960.0
Union_4H_Base,2025-03-13,6044583.0,548623.0
Union_4H_Base,2025-03-31,6647396.0,602813.0
Union_4H_Base,2025-04-04,6314179.0,-333217.0
Union_4H_Base,2025-04-10,6944484.0,630305.0
Union_4H_Base,2025-05-01,6596372.0,-348113.0
Union_4H_Base,2025-05-05,7253359.0,656988.0
Union_4H_Base,2025-05-11,6889299.0,-364060.0
Union_4H_Base,2025-06-12,7577293.0,687994.0
Union_4H_Base,2025-06-23,7195972.0,-381321.0
Union_4H_Base,2025-06-26,6833401.0,-362571.0
Union_4H_Base,2025-07-22,7515252.0,681851.0
Union_4H_Base,2025-09-02,8265568.0,750316.0
Union_4H_Base,2025-09-30,9091286.0,825718.0
Union_4H_Base,2025-10-14,9999523.0,908237.0
Union_4H_Base,2025-10-21,9499022.0,-500501.0
Union_4H_Base,2025-10-27,9022932.0,-476091.0
Union_4H_Base,2025-12-01,9924230.0,901298.0
Union_4H_Base,2025-12-26,10915664.0,991434.0
Union_4H_Base,2026-01-12,12005897.0,1090233.0
Union_4H_Base,2026-02-27,12258918.0,253021.0
MetaStrategy_v2_Best,2025-01-28,5494586.0,494586.0
MetaStrategy_v2_Best,2025-02-18,5598370.0,103785.0
MetaStrategy_v2_Best,2025-02-19,5313271.0,-285099.0
MetaStrategy_v2_Best,2025-03-28,5843345.0,530073.0
MetaStrategy_v2_Best,2025-04-03,5550187.0,-293158.0
MetaStrategy_v2_Best,2025-04-17,5668272.0,118086.0
MetaStrategy_v2_Best,2025-04-20,5382548.0,-285725.0
MetaStrategy_v2_Best,2025-04-23,5112603.0,-269945.0
MetaStrategy_v2_Best,2025-04-30,4856031.0,-256572.0
MetaStrategy_v2_Best,2025-05-28,5339532.0,483501.0
MetaStrategy_v2_Best,2025-06-02,5070828.0,-268704.0
MetaStrategy_v2_Best,2025-08-17,4812154.0,-258674.0
MetaStrategy_v2_Best,2025-08-18,4564692.0,-247462.0
MetaStrategy_v2_Best,2025-09-23,4863960.0,299268.0
MetaStrategy_v2_Best,2025-09-23,4619038.0,-244922.0
MetaStrategy_v2_Best,2025-09-29,5078842.0,459804.0
MetaStrategy_v2_Best,2025-10-14,5586216.0,507374.0
MetaStrategy_v2_Best,2025-10-28,5306551.0,-279665.0
MetaStrategy_v2_Best,2025-11-10,5835952.0,529401.0
MetaStrategy_v2_Best,2025-11-11,6413846.0,577894.0
MetaStrategy_v2_Best,2025-11-28,7054197.0,640351.0
MetaStrategy_v2_Best,2025-12-26,7758927.0,704730.0
MetaStrategy_v2_Best,2026-01-16,7369097.0,-389830.0
MetaStrategy_v2_Best,2026-01-27,8105481.0,736384.0
MetaStrategy_v2_Best,2026-01-30,7699799.0,-405682.0
MetaStrategy_v2_Best,2026-02-27,7862064.0,162266.0
MetaStrategy_v3_Best,2025-01-28,5494586.0,494586.0
MetaStrategy_v3_Best,2025-02-14,5371754.0,-122832.0
MetaStrategy_v3_Best,2025-02-17,5380347.0,8594.0
MetaStrategy_v3_Best,2025-02-18,5678789.0,298442.0
MetaStrategy_v3_Best,2025-02-19,5389596.0,-289194.0
MetaStrategy_v3_Best,2025-02-25,5925017.0,535422.0
MetaStrategy_v3_Best,2025-03-18,5624878.0,-300140.0
MetaStrategy_v3_Best,2025-04-22,6186447.0,561570.0
MetaStrategy_v3_Best,2025-06-20,5876148.0,-310299.0
MetaStrategy_v3_Best,2025-07-08,5579796.0,-296353.0
MetaStrategy_v3_Best,2025-08-17,5295158.0,-284638.0
MetaStrategy_v3_Best,2025-09-22,5822283.0,527125.0
MetaStrategy_v3_Best,2025-09-23,5529106.0,-293177.0
MetaStrategy_v3_Best,2025-09-29,6079508.0,550401.0
MetaStrategy_v3_Best,2025-12-22,6687010.0,607502.0
MetaStrategy_v3_Best,2025-12-29,6352135.0,-334875.0
MetaStrategy_v3_Best,2026-01-11,6986292.0,634157.0
MetaStrategy_v3_Best,2026-01-27,7684420.0,698127.0
MetaStrategy_v3_Best,2026-01-30,7299822.0,-384598.0
MetaStrategy_v3_Best,2026-02-27,7453657.0,153836.0
