entry_time,exit_time,dir,pnl,result,exit_type,month
2025-01-01 00:00:00+00:00,2025-01-02 01:30:00+00:00,-1,-22.63142857142668,loss,SL,2025-01
2025-01-02 04:00:00+00:00,2025-01-02 06:00:00+00:00,1,-42.92874999999867,loss,SL,2025-01
2025-01-02 09:00:00+00:00,2025-01-02 13:15:00+00:00,-1,-59.26499999999919,loss,SL,2025-01
2025-01-02 15:00:00+00:00,2025-01-02 15:30:00+00:00,-1,24.539464285717827,win,HALF+SL,2025-01
2025-01-02 17:00:00+00:00,2025-01-03 15:00:00+00:00,1,43.608214285717395,win,HALF+SL,2025-01
2025-01-03 16:00:00+00:00,2025-01-06 01:00:00+00:00,-1,-32.1671428571392,loss,SL,2025-01
2025-01-06 04:00:00+00:00,2025-01-06 14:00:00+00:00,1,-59.424821428569885,loss,SL,2025-01
2025-01-06 21:00:00+00:00,2025-01-07 02:00:00+00:00,1,53.3675000000045,win,HALF+TP,2025-01
2025-01-07 04:00:00+00:00,2025-01-10 17:15:00+00:00,1,-96.79982142857284,loss,SL,2025-01
2025-01-10 20:00:00+00:00,2025-01-10 20:30:00+00:00,-1,-26.604821428568926,loss,SL,2025-01
2025-01-10 22:00:00+00:00,2025-01-13 01:45:00+00:00,-1,16.522142857141375,win,HALF+SL,2025-01
2025-01-13 03:00:00+00:00,2025-01-13 11:30:00+00:00,-1,80.69500000001142,win,HALF+TP,2025-01
2025-01-13 12:00:00+00:00,2025-01-13 18:15:00+00:00,-1,-64.4649999999956,loss,SL,2025-01
2025-01-13 23:00:00+00:00,2025-01-14 01:30:00+00:00,-1,74.09125000001211,win,HALF+TP,2025-01
2025-01-14 02:00:00+00:00,2025-01-14 02:45:00+00:00,-1,-26.23160714285575,loss,SL,2025-01
2025-01-14 06:00:00+00:00,2025-01-14 10:30:00+00:00,-1,23.550178571431957,win,HALF+SL,2025-01
2025-01-14 11:00:00+00:00,2025-01-15 06:30:00+00:00,1,43.56696428571922,win,HALF+SL,2025-01
2025-01-15 07:00:00+00:00,2025-01-15 15:30:00+00:00,-1,131.57062500000052,win,HALF+TP,2025-01
2025-01-15 16:00:00+00:00,2025-01-20 01:15:00+00:00,-1,73.53999999999985,win,HALF+SL,2025-01
2025-01-20 08:00:00+00:00,2025-01-20 16:00:00+00:00,1,-44.205178571428405,loss,SL,2025-01
2025-01-21 02:00:00+00:00,2025-01-21 02:45:00+00:00,-1,-47.5717857142854,loss,SL,2025-01
2025-01-21 04:00:00+00:00,2025-01-21 08:45:00+00:00,-1,75.42642857143278,win,HALF+SL,2025-01
2025-01-21 14:00:00+00:00,2025-01-21 16:15:00+00:00,-1,70.29874999999208,win,HALF+TP,2025-01
2025-01-21 18:00:00+00:00,2025-01-22 01:00:00+00:00,-1,-44.925892857139615,loss,SL,2025-01
2025-01-22 03:00:00+00:00,2025-01-22 05:15:00+00:00,-1,-45.46982142856848,loss,SL,2025-01
2025-01-22 06:00:00+00:00,2025-01-22 10:30:00+00:00,1,-33.060357142858265,loss,SL,2025-01
2025-01-22 11:00:00+00:00,2025-01-22 16:30:00+00:00,-1,-43.80714285714191,loss,SL,2025-01
2025-01-22 17:00:00+00:00,2025-01-23 15:30:00+00:00,1,43.922500000002174,win,HALF+SL,2025-01
2025-01-23 16:00:00+00:00,2025-01-24 14:00:00+00:00,-1,57.47839285714633,win,HALF+SL,2025-01
2025-01-24 16:00:00+00:00,2025-01-24 17:00:00+00:00,-1,31.63321428571919,win,HALF+SL,2025-01
2025-01-24 18:00:00+00:00,2025-01-28 05:45:00+00:00,-1,82.65357142857113,win,HALF+SL,2025-01
2025-01-28 06:00:00+00:00,2025-01-28 11:30:00+00:00,1,-38.445535714285484,loss,SL,2025-01
2025-01-28 13:00:00+00:00,2025-01-28 16:45:00+00:00,1,-32.121964285713034,loss,SL,2025-01
2025-01-28 20:00:00+00:00,2025-01-30 02:15:00+00:00,1,-67.05249999999978,loss,SL,2025-01
2025-01-30 03:00:00+00:00,2025-01-31 07:30:00+00:00,-1,55.57428571428886,win,HALF+SL,2025-01
2025-01-31 09:00:00+00:00,2025-01-31 15:30:00+00:00,-1,-29.36035714285765,loss,SL,2025-01
2025-01-31 17:00:00+00:00,2025-01-31 20:15:00+00:00,-1,-44.40214285714035,loss,SL,2025-01
2025-02-03 04:00:00+00:00,2025-02-03 13:30:00+00:00,1,-104.40660714285457,loss,SL,2025-02
2025-02-03 17:00:00+00:00,2025-02-03 17:15:00+00:00,-1,36.135357142856606,win,HALF+SL,2025-02
2025-02-03 19:00:00+00:00,2025-02-03 20:30:00+00:00,-1,-23.67839285714126,loss,SL,2025-02
2025-02-03 22:00:00+00:00,2025-02-03 23:30:00+00:00,-1,16.078035714286898,win,HALF+SL,2025-02
2025-02-04 02:00:00+00:00,2025-02-04 17:00:00+00:00,1,-61.795178571426845,loss,SL,2025-02
2025-02-04 20:00:00+00:00,2025-02-07 01:00:00+00:00,-1,425.7768749999997,win,HALF+TP,2025-02
2025-02-07 02:00:00+00:00,2025-02-07 03:15:00+00:00,-1,-36.967499999997244,loss,SL,2025-02
2025-02-07 06:00:00+00:00,2025-02-07 07:45:00+00:00,-1,-20.64267857143136,loss,SL,2025-02
2025-02-07 10:00:00+00:00,2025-02-07 10:15:00+00:00,-1,9.329642857144904,win,HALF+SL,2025-02
2025-02-07 11:00:00+00:00,2025-02-07 12:00:00+00:00,-1,-18.915357142856237,loss,SL,2025-02
2025-02-07 15:00:00+00:00,2025-02-07 15:30:00+00:00,-1,27.287857142860616,win,HALF+SL,2025-02
2025-02-07 21:00:00+00:00,2025-02-10 02:45:00+00:00,-1,-53.639107142862485,loss,SL,2025-02
2025-02-10 03:00:00+00:00,2025-02-10 03:15:00+00:00,-1,-11.36124999999879,loss,SL,2025-02
2025-02-10 06:00:00+00:00,2025-02-10 10:00:00+00:00,-1,-34.54214285714272,loss,SL,2025-02
2025-02-10 15:00:00+00:00,2025-02-10 20:45:00+00:00,-1,20.712857142859775,win,HALF+SL,2025-02
2025-02-10 22:00:00+00:00,2025-02-11 03:15:00+00:00,-1,11.964821428571781,win,HALF+SL,2025-02
2025-02-11 05:00:00+00:00,2025-02-11 08:15:00+00:00,-1,10.773035714285584,win,HALF+SL,2025-02
2025-02-11 09:00:00+00:00,2025-02-11 09:45:00+00:00,-1,-11.160000000000991,loss,SL,2025-02
2025-02-11 18:00:00+00:00,2025-02-12 02:45:00+00:00,1,101.95874999998864,win,HALF+TP,2025-02
2025-02-12 04:00:00+00:00,2025-02-13 15:45:00+00:00,1,124.9841071428591,win,HALF+SL,2025-02
2025-02-13 20:00:00+00:00,2025-02-13 20:15:00+00:00,-1,-8.24392857142584,loss,SL,2025-02
2025-02-13 22:00:00+00:00,2025-02-14 05:00:00+00:00,-1,45.8117857142895,win,HALF+SL,2025-02
2025-02-14 09:00:00+00:00,2025-02-14 10:45:00+00:00,-1,-27.624642857139747,loss,SL,2025-02
2025-02-14 12:00:00+00:00,2025-02-20 02:30:00+00:00,-1,202.73437499999147,win,HALF+TP,2025-02
2025-02-20 06:00:00+00:00,2025-02-20 11:00:00+00:00,-1,35.65107142857187,win,HALF+SL,2025-02
2025-02-20 12:00:00+00:00,2025-02-20 15:15:00+00:00,-1,59.39687499999593,win,HALF+TP,2025-02
2025-02-20 16:00:00+00:00,2025-02-21 03:30:00+00:00,-1,42.018392857144704,win,HALF+SL,2025-02
2025-02-21 11:00:00+00:00,2025-02-21 16:45:00+00:00,-1,89.43000000000154,win,HALF+TP,2025-02
2025-02-21 17:00:00+00:00,2025-02-24 13:45:00+00:00,-1,76.88857142857444,win,HALF+SL,2025-02
2025-02-24 17:00:00+00:00,2025-02-25 01:00:00+00:00,-1,-59.56607142857138,loss,SL,2025-02
2025-02-25 16:00:00+00:00,2025-02-26 04:45:00+00:00,-1,60.10339285714679,win,HALF+SL,2025-02
2025-02-26 06:00:00+00:00,2025-02-26 07:00:00+00:00,-1,-17.199821428573614,loss,SL,2025-02
2025-02-26 10:00:00+00:00,2025-02-26 13:00:00+00:00,-1,13.398750000001769,win,HALF+SL,2025-02
2025-02-26 16:00:00+00:00,2025-02-26 16:45:00+00:00,-1,18.607500000004507,win,HALF+SL,2025-02
2025-02-27 02:00:00+00:00,2025-02-27 02:45:00+00:00,-1,-26.41142857142711,loss,SL,2025-02
2025-02-27 05:00:00+00:00,2025-02-27 07:15:00+00:00,-1,17.87964285714736,win,HALF+SL,2025-02
2025-02-27 08:00:00+00:00,2025-02-27 16:30:00+00:00,1,105.53187500000547,win,HALF+TP,2025-02
2025-02-27 20:00:00+00:00,2025-02-27 22:00:00+00:00,1,-25.52624999999864,loss,SL,2025-02
2025-02-28 00:00:00+00:00,2025-02-28 07:45:00+00:00,-1,43.035000000003265,win,HALF+SL,2025-02
2025-02-28 08:00:00+00:00,2025-03-03 22:00:00+00:00,1,81.71178571429039,win,HALF+SL,2025-02
2025-03-03 23:00:00+00:00,2025-03-04 22:15:00+00:00,-1,93.10428571428702,win,HALF+SL,2025-03
2025-03-05 00:00:00+00:00,2025-03-05 15:45:00+00:00,1,-79.96285714285705,loss,SL,2025-03
2025-03-05 16:00:00+00:00,2025-03-10 17:30:00+00:00,-1,322.1868750000027,win,HALF+TP,2025-03
2025-03-10 21:00:00+00:00,2025-03-10 21:15:00+00:00,-1,-18.59464285713841,loss,SL,2025-03
2025-03-11 01:00:00+00:00,2025-03-11 03:45:00+00:00,-1,86.12437499999999,win,HALF+TP,2025-03
2025-03-11 04:00:00+00:00,2025-03-11 13:15:00+00:00,-1,-82.4810714285718,loss,SL,2025-03
2025-03-11 15:00:00+00:00,2025-03-11 15:45:00+00:00,1,27.795892857145077,win,HALF+SL,2025-03
2025-03-11 18:00:00+00:00,2025-03-12 07:00:00+00:00,-1,-82.77321428571156,loss,SL,2025-03
2025-03-12 08:00:00+00:00,2025-03-12 15:30:00+00:00,1,59.39589285714533,win,HALF+SL,2025-03
2025-03-12 16:00:00+00:00,2025-03-13 07:30:00+00:00,1,-127.97928571428372,loss,SL,2025-03
2025-03-13 08:00:00+00:00,2025-03-14 07:15:00+00:00,-1,-62.27839285714083,loss,SL,2025-03
2025-03-14 10:00:00+00:00,2025-03-14 10:15:00+00:00,1,30.52267857142965,win,HALF+SL,2025-03
2025-03-14 17:00:00+00:00,2025-03-14 17:15:00+00:00,1,-20.31107142857138,loss,SL,2025-03
2025-03-14 19:00:00+00:00,2025-03-14 19:15:00+00:00,1,-21.195892857144827,loss,SL,2025-03
2025-03-14 21:00:00+00:00,2025-03-17 07:45:00+00:00,1,76.04312499999253,win,HALF+TP,2025-03
2025-03-17 08:00:00+00:00,2025-03-17 15:30:00+00:00,1,-65.51464285714133,loss,SL,2025-03
2025-03-17 20:00:00+00:00,2025-03-18 05:30:00+00:00,1,115.57874999999456,win,HALF+TP,2025-03
2025-03-18 06:00:00+00:00,2025-03-18 19:45:00+00:00,1,-34.34267857143141,loss,SL,2025-03
2025-03-18 23:00:00+00:00,2025-03-19 05:15:00+00:00,1,21.400178571428796,win,HALF+SL,2025-03
2025-03-19 08:00:00+00:00,2025-03-19 10:00:00+00:00,1,25.620357142858552,win,HALF+SL,2025-03
2025-03-19 12:00:00+00:00,2025-03-19 21:30:00+00:00,1,-56.53053571427904,loss,SL,2025-03
