entry_time,exit_time,dir,ep,sl,tp,pnl,result,exit_type,tf,pattern,month,period
2024-07-03 04:00:00+00:00,2024-07-03 17:00:00+00:00,1,161.568,161.56400000000002,162.11205803571437,21.12232142857522,win,HALF+SL,4h,double_bottom,2024-07,IS
2024-07-03 22:00:00+00:00,2024-07-04 03:54:00+00:00,1,161.667,161.4373982142857,162.22700446428576,-22.960178571429424,loss,SL,1h,double_bottom,2024-07,IS
2024-07-04 08:00:00+00:00,2024-07-04 11:05:00+00:00,-1,161.49450000000002,161.4985,161.25039285714286,33.93500000000245,win,HALF+TP,1h,double_top,2024-07,IS
2024-07-04 12:00:00+00:00,2024-07-05 16:52:00+00:00,-1,161.2425,161.2465,160.30187053571427,36.98517857143031,win,HALF+SL,4h,double_top,2024-07,IS
2024-07-05 18:00:00+00:00,2024-07-08 11:39:00+00:00,-1,160.958,160.962,159.92989732142854,40.484107142859216,win,HALF+SL,1h,double_top,2024-07,IS
2024-07-08 13:00:00+00:00,2024-07-08 14:45:00+00:00,-1,161.0345,161.0385,160.76740624999996,10.04375000000266,win,HALF+SL,1h,double_top,2024-07,IS
2024-07-08 16:00:00+00:00,2024-07-09 17:04:00+00:00,-1,160.69000000000003,161.18450178571428,159.46774553571436,-49.450178571424885,loss,SL,4h,double_top,2024-07,IS
2024-07-09 20:00:00+00:00,2024-07-11 15:30:00+00:00,1,161.32449999999997,161.32049999999998,162.53232589285707,47.67303571428556,win,HALF+SL,4h,double_bottom,2024-07,IS
2024-07-11 20:00:00+00:00,2024-07-11 20:02:00+00:00,-1,158.56700000000004,158.71508392857143,158.21079017857153,-14.808392857139552,loss,SL,1h,double_top,2024-07,IS
2024-07-11 22:00:00+00:00,2024-07-12 01:01:00+00:00,-1,158.7375,158.96818035714284,158.17479910714292,-23.06803571428304,loss,SL,1h,double_top,2024-07,IS
2024-07-12 03:00:00+00:00,2024-07-24 06:03:00+00:00,-1,158.2875,158.29149999999998,155.1319642857142,441.53500000001316,win,HALF+TP,1h,double_top,2024-07,IS
2024-07-24 08:00:00+00:00,2024-07-26 13:52:00+00:00,-1,154.60600000000002,154.61,150.94264732142864,145.8941071428569,win,HALF+SL,4h,double_top,2024-07,IS
2024-07-26 16:00:00+00:00,2024-07-29 03:02:00+00:00,-1,154.2135,154.2175,152.74500446428573,58.099821428572795,win,HALF+SL,1h,double_top,2024-07,IS
2024-07-29 08:00:00+00:00,2024-07-29 11:08:00+00:00,-1,153.41299999999998,153.74305714285717,152.601857142857,-33.00571428571857,loss,SL,1h,double_top,2024-07,IS
2024-07-29 18:00:00+00:00,2024-07-30 03:53:00+00:00,-1,154.042,154.046,153.50553571428566,20.818571428574728,win,HALF+SL,1h,double_top,2024-07,IS
