label,n,winrate,pf,return_pct,return_abs,mdd_pct,kelly,monthly_plus,pair,mode,period,spread
USDJPY_1H_IS,374,22.994652406417114,1.050624214564909,70.00000000000018,700000.0000000019,36.2934362934363,-0.5030020081136525,5/8,USDJPY,1H,IS,0.42
USDJPY_1H_OOS,547,26.87385740402194,1.4182526619216211,251.4999999999999,2514999.9999999986,15.83166332665327,-0.24686872612093713,9/12,USDJPY,1H,OOS,0.42
USDJPY_4H_IS,80,18.75,0.9007597312721132,3.500000000000023,35000.00000000023,12.389380530973394,-0.714516344416877,4/8,USDJPY,4H,IS,0.42
USDJPY_4H_OOS,110,17.272727272727273,0.7027892992833159,-4.5000000000000355,-45000.00000000035,25.110132158590332,-1.0044003928708745,6/12,USDJPY,4H,OOS,0.42
USDJPY_Hybrid_IS,445,22.696629213483146,1.0561618839129316,82.50000000000023,825000.0000000023,39.298245614035075,-0.5049610001105459,5/8,USDJPY,Hybrid,IS,0.42
USDJPY_Hybrid_OOS,650,25.23076923076923,1.1929474743240325,243.99999999999983,2439999.999999998,24.427480916030504,-0.37445276763290763,9/12,USDJPY,Hybrid,OOS,0.42
EURUSD_1H_IS,370,21.62162162162162,1.2091915992556062,84.00000000000057,840000.0000000056,17.169373549883858,-0.4319720314248451,4/8,EURUSD,1H,IS,0.04
EURUSD_1H_OOS,585,20.68376068376068,0.9687203017105119,120.49999999999888,1204999.9999999888,38.76651982378852,-0.611935770536514,7/12,EURUSD,1H,OOS,0.04
EURUSD_4H_IS,86,19.767441860465116,1.1089083617455606,11.500000000000023,115000.00000000023,22.0,-0.5258529792160198,3/8,EURUSD,4H,IS,0.04
EURUSD_4H_OOS,145,16.551724137931036,0.7477287473964557,-26.00000000000001,-260000.00000000012,39.35185185185179,-0.9505061314364412,3/12,EURUSD,4H,OOS,0.04
EURUSD_Hybrid_IS,450,21.11111111111111,1.1838769093017825,93.50000000000061,935000.000000006,27.946127946127987,-0.4552494561831302,4/8,EURUSD,Hybrid,IS,0.04
EURUSD_Hybrid_OOS,718,19.637883008356546,0.8751755963811458,81.4999999999989,814999.999999989,43.303571428571395,-0.7218610902700309,8/12,EURUSD,Hybrid,OOS,0.04
GBPUSD_1H_IS,383,27.676240208877285,1.594595452810638,174.00000000000028,1740000.0000000028,19.618055555555532,-0.17679313554708748,7/8,GBPUSD,1H,IS,0.13
GBPUSD_1H_OOS,623,21.990369181380416,0.9976736711510008,104.50000000000037,1045000.0000000037,26.48221343873512,-0.5620116084929692,8/12,GBPUSD,1H,OOS,0.13
GBPUSD_4H_IS,83,27.710843373493976,1.5592213806668593,38.50000000000002,385000.00000000023,11.510791366906451,-0.1865149973110664,7/8,GBPUSD,4H,IS,0.13
GBPUSD_4H_OOS,124,18.548387096774192,0.6642957572905874,-49.5,-495000.0,50.73170731707317,-1.040650904232935,4/12,GBPUSD,4H,OOS,0.13
GBPUSD_Hybrid_IS,454,27.312775330396477,1.5420663793517477,197.00000000000034,1970000.0000000033,20.516962843295595,-0.19823473564517957,7/8,GBPUSD,Hybrid,IS,0.13
GBPUSD_Hybrid_OOS,732,21.174863387978142,0.8893781994456561,39.500000000000185,395000.00000000186,39.27125506072869,-0.6745462703707734,5/12,GBPUSD,Hybrid,OOS,0.13
AUDUSD_1H_IS,350,25.71428571428571,1.4032589444997572,179.99999999999977,1799999.9999999977,8.962264150943406,-0.2722370878550787,7/8,AUDUSD,1H,IS,0.01
AUDUSD_1H_OOS,616,23.214285714285715,1.1892422421108109,182.50000000000043,1825000.0000000042,24.513618677042643,-0.4135263897670551,9/12,AUDUSD,1H,OOS,0.01
AUDUSD_4H_IS,83,24.096385542168676,1.0582262310852237,19.00000000000007,190000.0000000007,12.59842519685039,-0.4763082384668881,6/8,AUDUSD,4H,IS,0.01
AUDUSD_4H_OOS,124,16.129032258064516,0.7082292343460632,7.000000000000001,70000.0,29.50000000000001,-1.0229444375020411,5/12,AUDUSD,4H,OOS,0.01
AUDUSD_Hybrid_IS,427,24.824355971896956,1.2557752721865116,188.9999999999998,1889999.9999999981,10.536398467432956,-0.3503957485484233,6/8,AUDUSD,Hybrid,IS,0.01
AUDUSD_Hybrid_OOS,729,22.359396433470508,1.0656041589865624,193.5000000000003,1935000.0000000033,42.68774703557299,-0.5050124596526901,10/12,AUDUSD,Hybrid,OOS,0.01
USDCAD_1H_IS,408,27.450980392156865,1.4730073818026945,184.00000000000014,1840000.0000000014,23.00469483568065,-0.21801331920804023,5/8,USDCAD,1H,IS,0.1
USDCAD_1H_OOS,610,26.229508196721312,1.5060642451124358,293.9999999999994,2939999.999999994,13.043478260869563,-0.2275279255351748,11/12,USDCAD,1H,OOS,0.1
USDCAD_4H_IS,95,21.052631578947366,0.7671474495927769,-1.999999999999977,-19999.999999999767,20.64777327935224,-0.8185766091170756,3/8,USDCAD,4H,IS,0.1
USDCAD_4H_OOS,131,23.66412213740458,1.1138304494663385,26.49999999999979,264999.9999999979,12.785388127853887,-0.44870436151219756,6/12,USDCAD,4H,OOS,0.1
USDCAD_Hybrid_IS,492,26.01626016260163,1.1686715864907593,173.0,1730000.0,33.97129186602862,-0.3728958272141492,5/8,USDCAD,Hybrid,IS,0.1
USDCAD_Hybrid_OOS,728,25.961538461538463,1.375698398258163,314.49999999999915,3144999.9999999916,16.267942583732005,-0.2785727940741098,11/12,USDCAD,Hybrid,OOS,0.1
USDCHF_1H_IS,417,21.822541966426858,1.0359343137684167,132.49999999999957,1324999.9999999958,19.117647058823575,-0.5364310966276489,6/8,USDCHF,1H,IS,0.1
USDCHF_1H_OOS,566,21.37809187279152,1.016497042687251,116.49999999999925,1164999.9999999925,39.62264150943412,-0.5596783716145393,9/12,USDCHF,1H,OOS,0.1
USDCHF_4H_IS,89,15.730337078651685,0.8678345412080373,-1.0000000000000815,-10000.000000000815,18.0,-0.8137303795415562,4/8,USDCHF,4H,IS,0.1
USDCHF_4H_OOS,139,20.14388489208633,0.922136448234496,-5.999999999999918,-59999.999999999185,29.86425339366515,-0.6645513769378433,6/12,USDCHF,4H,OOS,0.1
USDCHF_Hybrid_IS,494,21.25506072874494,1.0172650253541258,137.49999999999955,1374999.9999999953,34.803921568627494,-0.561534191743587,7/8,USDCHF,Hybrid,IS,0.1
USDCHF_Hybrid_OOS,692,21.09826589595376,0.988175462976099,110.99999999999935,1109999.9999999935,46.948356807511956,-0.587476087085593,9/12,USDCHF,Hybrid,OOS,0.1
NZDUSD_1H_IS,407,29.72972972972973,1.515212568997191,211.5000000000009,2115000.0000000093,22.488038277511908,-0.16646779882236495,8/8,NZDUSD,1H,IS,0.1
NZDUSD_1H_OOS,616,22.88961038961039,1.126267145973733,141.5000000000006,1415000.000000006,34.854771784232355,-0.4557584195537703,10/12,NZDUSD,1H,OOS,0.1
NZDUSD_4H_IS,69,31.88405797101449,2.244606466013784,33.99999999999991,339999.99999999907,15.807560137457047,0.015375615760570283,4/8,NZDUSD,4H,IS,0.1
NZDUSD_4H_OOS,132,19.696969696969695,1.0352800689351511,2.00000000000014,20000.000000001397,24.05063291139234,-0.5786950986022577,5/12,NZDUSD,4H,OOS,0.1
NZDUSD_Hybrid_IS,468,30.128205128205128,1.6917188339280307,242.5000000000009,2425000.0000000093,20.095693779904305,-0.1117404526381679,8/8,NZDUSD,Hybrid,IS,0.1
NZDUSD_Hybrid_OOS,737,22.388059701492537,1.0935564094500152,139.50000000000074,1395000.0000000075,49.07063197026022,-0.48583990416654566,10/12,NZDUSD,Hybrid,OOS,0.1
EURJPY_1H_IS,351,24.216524216524217,1.4465541636373123,126.5000000000001,1265000.000000001,18.46689895470382,-0.281724410144221,6/8,EURJPY,1H,IS,0.21
EURJPY_1H_OOS,545,20.733944954128443,0.952134427884107,74.49999999999932,744999.9999999932,34.16666666666671,-0.6251696240148685,7/12,EURJPY,1H,OOS,0.21
EURJPY_4H_IS,75,28.000000000000004,2.019659568527259,43.499999999999886,434999.99999999884,9.448818897637818,-0.07649572394273646,6/8,EURJPY,4H,IS,0.21
EURJPY_4H_OOS,152,18.421052631578945,0.7425516697482619,-48.00000000000018,-480000.00000000175,65.23809523809524,-0.9144193831163413,3/12,EURJPY,4H,OOS,0.21
EURJPY_Hybrid_IS,418,24.16267942583732,1.5011661552119218,152.49999999999991,1524999.999999999,20.270270270270263,-0.2635625900803419,6/8,EURJPY,Hybrid,IS,0.21
