asset,pattern,trades,win_rate,pf,total_pips
EURUSD,double_bottom,853,40.4,2.54,9416.6
EURUSD,double_top,756,40.9,2.2,6608.0
GBPUSD,double_bottom,867,43.0,2.71,11805.7
GBPUSD,double_top,687,41.5,2.48,7985.7
AUDUSD,double_bottom,880,42.7,2.34,6228.4
AUDUSD,double_top,615,42.8,2.41,4740.7
XAUUSD,double_bottom,621,51.9,4.44,8528.1
XAUUSD,double_top,293,42.3,2.57,2216.6
SPX500,double_bottom,889,41.7,3.01,8482.2
SPX500,double_top,402,43.5,2.64,4676.3
US30,double_bottom,889,41.3,2.72,55289.1
US30,double_top,524,39.5,2.45,32936.4
NAS100,double_bottom,804,41.9,2.92,34577.7
NAS100,double_top,327,45.0,3.14,20180.2
