strategy,freq,trades,wins,losses,win_rate,pnl,profit_factor,avg_pnl
RSI(14),1h,14,8,6,57.1,1655888.0,2.108,118277.7
YagamiA_4h,4h,15,6,9,40.0,1625271.0,2.033,108351.4
Yagami_TrendRegime_4h,4h,27,12,15,44.4,2925455.0,1.907,108350.2
Yagami_FullFilter,1h,18,8,10,44.4,157934.0,1.09,8774.1
SMA(5/20),1h,39,11,28,28.2,-100206.0,0.976,-2569.4
Yagami_PrimeTime,1h,58,23,35,39.7,-505934.0,0.924,-8723.0
Yagami_TrendRegime,1h,80,27,53,33.8,-1945263.0,0.819,-24315.8
YagamiB,1h,223,76,147,34.1,-4070960.0,0.796,-18255.4
Yagami_VolRegime,1h,223,76,147,34.1,-4200606.0,0.796,-18836.8
Yagami_DblBottom,1h,34,9,25,26.5,-1485955.0,0.681,-43704.6
YagamiA,1h,71,19,52,26.8,-2569576.0,0.626,-36191.2
Yagami_PatternBrk,1h,59,12,47,20.3,-3147277.0,0.576,-53343.7
Yagami_LonNY,1h,149,43,106,28.9,-3421692.0,0.575,-22964.4
YagamiB_4h,4h,66,20,46,30.3,-2399802.0,0.555,-36360.6
Yagami_LonNY_4h,4h,46,11,35,23.9,-3167164.0,0.42,-68851.4
MACD(12/26),1h,67,11,56,16.4,-2161886.0,0.418,-32267.0
SMA(10/50),1h,18,6,12,33.3,-736389.0,0.365,-40910.5
MACD+RSI50,1h,48,7,41,14.6,-2001160.0,0.318,-41690.8
