strategy,entry_time,exit_time,direction,entry_price,exit_price,sl,tp,size,pnl,pnl_pct,exit_reason,duration_h
12H_DC30d_Confirm2,2020-01-03 12:00:00,2020-01-09 00:00:00,long,1564.46,1551.72,1551.72,1956.8899999999996,249.78,-31821.97,-0.9426,stop_loss,132.0
NY_8H_RSI_PB_45,2020-02-06 08:00:00,2020-02-24 00:00:00,long,1597.4075,1651.5699999999997,1626.2071428571428,1651.5699999999997,2752.04,1490573.66,37.0343,take_profit,424.0
12H_DC30d_Confirm2,2020-02-21 12:00:00,2020-02-25 00:00:00,long,1663.33,1644.01,1644.01,2125.629999999999,208.18,-40220.38,-1.2028,stop_loss,84.0
NY_8H_RSI_PB_45,2020-03-03 08:00:00,2020-03-12 08:00:00,long,1630.32,1605.56,1605.56,1894.9299999999992,571.26,-141443.98,-2.5645,stop_loss,216.0
NY_8H_RSI_PB_45,2020-03-23 08:00:00,2020-04-20 00:00:00,long,1601.07333,1675.7521428571426,1675.7521428571426,1914.78,625.86,467384.8,8.6972,stop_loss,664.0
NY_8H_RSI_PB_45,2020-04-21 16:00:00,2020-04-30 16:00:00,long,1707.08,1683.82,1683.82,2254.74,306.8,-71361.68,-1.2217,stop_loss,216.0
BearDiv_Short_8H,2020-04-23 16:00:00,2020-04-24 16:00:00,short,1730.03,1730.03,1730.03,1696.0699999999997,292.05,0.0,0.0,stop_loss,24.0
NY_8H_RSI_PB_45,2020-05-07 00:00:00,2020-05-18 16:00:00,long,1727.54667,1730.09,1730.09,1798.5299999999995,2431.17,61832.76,1.0716,stop_loss,280.0
NY_8H_RSI_PB_45,2020-05-28 00:00:00,2020-06-03 08:00:00,long,1728.985,1716.27,1716.27,1944.0899999999995,767.02,-97526.59,-1.6723,stop_loss,152.0
NY_8H_RSI_PB_45,2020-06-04 08:00:00,2020-06-05 08:00:00,long,1717.15,1693.59,1693.59,1833.2699999999998,738.96,-174098.98,-3.0361,stop_loss,24.0
NY_8H_RSI_PB_45,2020-06-09 08:00:00,2020-07-21 08:00:00,long,1775.7075,1829.2500000000007,1811.8142857142857,1829.2500000000007,2951.0,1580039.18,28.4169,take_profit,1008.0
12H_DC30d_Confirm2,2020-07-08 12:00:00,2020-08-06 12:00:00,long,1854.2275,2063.7,1989.8185714285714,2063.7,776.6,1626763.43,49.239,take_profit,696.0
NY_8H_RSI_PB_45,2020-08-13 16:00:00,2020-11-27 08:00:00,long,1953.92,1790.6000000000001,1790.6000000000001,2768.84,131.38,-214569.82,-3.0051,stop_loss,2536.0
NY_8H_RSI_PB_45,2020-12-01 08:00:00,2020-12-17 16:00:00,long,1854.67333,1892.9964285714286,1863.1299999999999,1892.9964285714286,3886.1400000000003,1489289.13,21.5039,take_profit,392.0
12H_DC30d_Confirm2,2021-01-05 00:00:00,2021-01-08 12:00:00,long,1945.89,1854.96,1854.96,2398.859999999999,163.17,-148370.48,-3.0092,stop_loss,84.0
NY_8H_RSI_PB_45,2021-01-20 00:00:00,2021-02-04 00:00:00,long,1851.59,1816.97,1816.97,2023.0099999999995,735.15,-254508.93,-3.0245,stop_loss,360.0
NY_8H_RSI_PB_45,2021-02-08 08:00:00,2021-02-12 08:00:00,long,1830.11,1814.022857142857,1814.022857142857,1908.8657142857141,1548.75,-249149.63,-3.0531,stop_loss,96.0
12H_DC30d_Confirm2,2021-05-07 12:00:00,2021-06-03 12:00:00,long,1868.12667,1870.5764285714286,1870.5764285714286,2204.2999999999993,576.24,14116.51,0.2952,stop_loss,648.0
NY_8H_RSI_PB_45,2021-06-04 08:00:00,2021-06-16 16:00:00,long,1884.89,1808.74,1808.74,2263.959999999999,312.82,-238212.43,-3.011,stop_loss,296.0
NY_8H_RSI_PB_45,2021-11-04 08:00:00,2021-11-22 16:00:00,long,1822.32,1833.6035714285715,1833.6035714285715,2045.0799999999995,1385.04,156281.98,2.0368,stop_loss,440.0
NY_8H_RSI_PB_45,2021-12-29 08:00:00,2021-12-30 16:00:00,short,1789.65,1814.31,1814.31,1668.0300000000007,963.42,-237579.37,-3.0345,stop_loss,32.0
NY_8H_RSI_PB_45,2022-01-10 16:00:00,2022-01-26 16:00:00,long,1825.28667,1826.17,1826.17,1862.94,5577.66,49269.33,0.649,stop_loss,384.0
NY_8H_RSI_PB_45,2022-02-02 16:00:00,2022-02-11 16:00:00,long,1833.01667,1832.8999999999999,1832.8999999999999,1939.8099999999995,2586.3,-3017.35,-0.0395,stop_loss,216.0
