datetime,open,high,low,close,volume
2024-03-01 00:00:00,150.07,150.415,150.056,150.326,32417
2024-03-01 04:00:00,150.325,150.499,150.319,150.494,26437
2024-03-01 08:00:00,150.497,150.69,150.3,150.388,40391
2024-03-01 12:00:00,150.39,150.72,150.08,150.124,50178
2024-03-01 16:00:00,150.123,150.268,150.047,150.113,39781
2024-03-01 20:00:00,150.114,150.16,150.056,150.12,11650
2024-03-03 20:00:00,149.948,150.15,149.948,150.127,2012
2024-03-04 00:00:00,150.114,150.21,149.833,150.161,22140
2024-03-04 04:00:00,150.158,150.399,150.135,150.309,23584
2024-03-04 08:00:00,150.31,150.466,150.17,150.424,36636
2024-03-04 12:00:00,150.423,150.569,150.308,150.485,39600
2024-03-04 16:00:00,150.486,150.563,150.426,150.55,29735
2024-03-04 20:00:00,150.55,150.558,150.379,150.45,16351
2024-03-05 00:00:00,150.453,150.538,150.35,150.5,25724
2024-03-05 04:00:00,150.499,150.545,150.345,150.419,25293
2024-03-05 08:00:00,150.42,150.486,150.33,150.414,29761
2024-03-05 12:00:00,150.413,150.441,149.7,149.98,45349
2024-03-05 16:00:00,149.982,150.227,149.92,149.933,37603
2024-03-05 20:00:00,149.932,150.083,149.81,150.051,18892
2024-03-06 00:00:00,150.049,150.084,149.889,149.976,24564
2024-03-06 04:00:00,149.977,150.019,149.323,149.531,27367
2024-03-06 08:00:00,149.535,149.864,149.52,149.712,34759
2024-03-06 12:00:00,149.711,149.744,149.26,149.367,48525
2024-03-06 16:00:00,149.368,149.448,149.09,149.342,41099
2024-03-06 20:00:00,149.342,149.47,149.192,149.261,18619
2024-03-07 00:00:00,149.259,149.265,148.554,148.666,40700
2024-03-07 04:00:00,148.667,148.68,147.93,147.938,36039
2024-03-07 08:00:00,147.937,148.107,147.765,147.836,39250
2024-03-07 12:00:00,147.833,148.299,147.577,148.138,51863
2024-03-07 16:00:00,148.136,148.233,147.885,148.001,38591
2024-03-07 20:00:00,148.002,148.107,147.659,147.864,17374
2024-03-08 00:00:00,147.857,148.115,147.516,147.81,35246
2024-03-08 04:00:00,147.809,148.043,147.77,147.878,31768
2024-03-08 08:00:00,147.881,147.967,146.867,147.096,39459
2024-03-08 12:00:00,147.094,147.481,146.479,147.028,51169
2024-03-08 16:00:00,147.029,147.255,146.98,147.046,44419
2024-03-08 20:00:00,147.048,147.114,147.026,147.05,12241
2024-03-10 20:00:00,146.993,147.126,146.704,146.794,4376
2024-03-11 00:00:00,146.795,147.087,146.533,146.933,26900
2024-03-11 04:00:00,146.932,147.081,146.725,146.747,28267
2024-03-11 08:00:00,146.746,146.858,146.483,146.642,35956
2024-03-11 12:00:00,146.647,147.146,146.618,146.857,41241
2024-03-11 16:00:00,146.859,147.053,146.739,146.966,31344
2024-03-11 20:00:00,146.966,146.982,146.71,146.732,16945
2024-03-12 00:00:00,146.731,147.433,146.61,147.388,33289
2024-03-12 04:00:00,147.388,147.592,147.205,147.335,32738
2024-03-12 08:00:00,147.33,147.565,147.277,147.436,31184
2024-03-12 12:00:00,147.437,148.171,147.059,147.693,49526
2024-03-12 16:00:00,147.69,147.795,147.63,147.676,30935
2024-03-12 20:00:00,147.675,147.689,147.525,147.62,14196
2024-03-13 00:00:00,147.619,147.634,147.228,147.375,29519
2024-03-13 04:00:00,147.375,147.79,147.369,147.676,29654
2024-03-13 08:00:00,147.676,148.043,147.63,147.969,33762
2024-03-13 12:00:00,147.968,148.012,147.64,147.731,38998
2024-03-13 16:00:00,147.733,147.858,147.453,147.84,33475
2024-03-13 20:00:00,147.838,147.848,147.566,147.589,13928
2024-03-14 00:00:00,147.587,147.922,147.525,147.853,27734
2024-03-14 04:00:00,147.85,147.97,147.809,147.865,25630
2024-03-14 08:00:00,147.863,147.915,147.667,147.696,30187
2024-03-14 12:00:00,147.698,148.318,147.423,148.188,56446
2024-03-14 16:00:00,148.189,148.354,148.099,148.231,32200
2024-03-14 20:00:00,148.23,148.346,148.196,148.301,12585
2024-03-15 00:00:00,148.3,148.654,148.264,148.373,30244
2024-03-15 04:00:00,148.372,148.598,148.025,148.567,32135
2024-03-15 08:00:00,148.572,148.831,148.572,148.648,34797
2024-03-15 12:00:00,148.648,149.141,148.618,149.134,41610
2024-03-15 16:00:00,149.135,149.163,148.973,149.075,29506
2024-03-15 20:00:00,149.073,149.098,149.002,149.041,4542
2024-03-17 20:00:00,149.049,149.086,148.932,148.954,3895
2024-03-18 00:00:00,148.951,149.327,148.905,149.089,23928
2024-03-18 04:00:00,149.087,149.301,149.062,149.119,25170
2024-03-18 08:00:00,149.118,149.242,149.014,149.026,28397
2024-03-18 12:00:00,149.026,149.3,149.0,149.133,34847
2024-03-18 16:00:00,149.132,149.208,148.908,149.188,26964
2024-03-18 20:00:00,149.188,149.19,149.027,149.154,12556
2024-03-19 00:00:00,149.144,149.916,148.99,149.697,29877
2024-03-19 04:00:00,149.699,150.482,149.666,150.256,41798
2024-03-19 08:00:00,150.256,150.699,150.193,150.385,38606
2024-03-19 12:00:00,150.386,150.85,150.338,150.726,37175
2024-03-19 16:00:00,150.727,150.96,150.707,150.889,24035
2024-03-19 20:00:00,150.891,151.068,150.739,151.021,13737
2024-03-20 00:00:00,151.018,151.34,150.99,151.315,28752
2024-03-20 04:00:00,151.313,151.581,151.308,151.48,29180
2024-03-20 08:00:00,151.486,151.79,151.41,151.705,31238
2024-03-20 12:00:00,151.703,151.85,151.52,151.659,32414
2024-03-20 16:00:00,151.66,151.695,150.712,151.202,47203
2024-03-20 20:00:00,151.213,151.401,150.67,150.736,24811
2024-03-21 00:00:00,150.739,150.863,150.258,150.486,38489
2024-03-21 04:00:00,150.483,151.224,150.44,151.219,32283
2024-03-21 08:00:00,151.221,151.454,150.866,151.107,42021
2024-03-21 12:00:00,151.103,151.7,151.0,151.591,47135
2024-03-21 16:00:00,151.59,151.78,151.568,151.684,24046
2024-03-21 20:00:00,151.688,151.699,151.54,151.634,12502
2024-03-22 00:00:00,151.63,151.861,151.416,151.567,33651
2024-03-22 04:00:00,151.565,151.603,151.25,151.417,29929
2024-03-22 08:00:00,151.419,151.649,151.301,151.47,32192
2024-03-22 12:00:00,151.469,151.495,151.003,151.347,45383
2024-03-22 16:00:00,151.346,151.485,151.32,151.425,26898
2024-03-22 20:00:00,151.423,151.456,151.064,151.413,4320
2024-03-24 20:00:00,151.383,151.432,151.08,151.31,3691
2024-03-25 00:00:00,151.308,151.423,151.048,151.229,29289
2024-03-25 04:00:00,151.226,151.385,151.16,151.319,24403
2024-03-25 08:00:00,151.322,151.439,151.219,151.293,29811
2024-03-25 12:00:00,151.293,151.43,151.123,151.419,30475
2024-03-25 16:00:00,151.419,151.541,151.41,151.443,20966
2024-03-25 20:00:00,151.443,151.466,151.349,151.378,11370
2024-03-26 00:00:00,151.377,151.44,151.214,151.403,26289
2024-03-26 04:00:00,151.402,151.423,151.259,151.318,22970
2024-03-26 08:00:00,151.316,151.388,151.204,151.386,28632
2024-03-26 12:00:00,151.387,151.6,151.295,151.578,33246
2024-03-26 16:00:00,151.579,151.583,151.43,151.578,24419
2024-03-26 20:00:00,151.579,151.582,151.46,151.522,11962
2024-03-27 00:00:00,151.523,151.969,151.448,151.694,29092
2024-03-27 04:00:00,151.698,151.802,151.589,151.704,25344
2024-03-27 08:00:00,151.703,151.838,151.02,151.228,41644
2024-03-27 12:00:00,151.229,151.378,151.159,151.345,34096
2024-03-27 16:00:00,151.338,151.421,151.272,151.321,23854
2024-03-27 20:00:00,151.314,151.401,151.202,151.292,16288
