strategy,engine,timeframe,total_return_pct,total_pnl,end_value,max_drawdown_pct,win_rate_pct,profit_factor,total_trades,wins,losses,avg_win,avg_loss,avg_duration_hours,avg_spread,avg_mfe_pips,avg_mae_pips,exit_reasons,passed
SMA(5/20)_1h,tick_fast_v2,1h,-17.93,-896484.85,4103515.0,20.95,14.29,0.3077,14,2,12,199251.07,-107915.58,1.1,0.606,17.2,16.8,"{'stop_loss': 12, 'take_profit': 2}",False
SMA(5/50)_1h,tick_fast_v2,1h,-3.1,-154918.25,4845082.0,12.25,30.0,0.7802,10,3,7,183299.46,-100688.09,1.2,0.6012,15.3,14.2,"{'stop_loss': 7, 'take_profit': 3}",False
SMA(5/100)_1h,tick_fast_v2,1h,-5.8,-289785.8,4710214.0,9.52,20.0,0.4154,5,1,4,205927.31,-123928.28,1.1,0.5904,15.5,16.3,"{'take_profit': 1, 'stop_loss': 4}",False
SMA(5/200)_1h,tick_fast_v2,1h,-3.52,-176078.97,4823921.0,3.52,0.0,0.0,1,0,1,0.0,-176078.97,1.1,0.5832,24.0,17.5,{'stop_loss': 1},False
SMA(10/20)_1h,tick_fast_v2,1h,-7.1,-354820.85,4645179.0,12.31,25.0,0.6027,12,3,9,179410.19,-99227.94,1.1,0.6125,12.7,15.9,"{'stop_loss': 9, 'take_profit': 3}",False
SMA(10/50)_1h,tick_fast_v2,1h,-5.98,-298959.79,4701040.0,7.46,20.0,0.3825,5,1,4,185153.76,-121028.39,1.1,0.5559,15.4,18.7,"{'stop_loss': 4, 'take_profit': 1}",False
SMA(10/100)_1h,tick_fast_v2,1h,-2.28,-113862.85,4886137.0,6.04,25.0,0.6227,4,1,3,187950.16,-100604.34,1.4,0.6107,18.5,17.8,"{'stop_loss': 3, 'take_profit': 1}",False
SMA(10/200)_1h,tick_fast_v2,1h,4.0,200024.01,5200024.0,0.0,100.0,200024.0126,1,1,0,200024.01,0.0,1.2,0.799,38.2,14.5,{'take_profit': 1},False
SMA(15/20)_1h,tick_fast_v2,1h,-17.95,-897491.94,4102508.0,19.55,13.33,0.2811,15,2,13,175496.84,-96037.36,1.2,0.6118,10.6,17.8,"{'stop_loss': 13, 'take_profit': 2}",False
SMA(15/50)_1h,tick_fast_v2,1h,1.63,81746.6,5081747.0,2.23,40.0,1.256,5,2,3,200519.13,-106430.55,1.2,0.5844,21.6,18.4,"{'stop_loss': 3, 'take_profit': 2}",False
SMA(15/100)_1h,tick_fast_v2,1h,4.08,204149.45,5204149.0,4.18,50.0,1.9375,4,2,2,210951.47,-108876.74,1.1,0.6281,23.1,14.9,"{'take_profit': 2, 'stop_loss': 2}",False
SMA(15/200)_1h,tick_fast_v2,1h,-2.02,-101004.21,4898996.0,2.02,0.0,0.0,1,0,1,0.0,-101004.21,1.1,0.6402,21.5,18.7,{'stop_loss': 1},False
SMA(20/50)_1h,tick_fast_v2,1h,-2.61,-130682.81,4869317.0,4.4,25.0,0.6019,4,1,3,197594.71,-109425.84,13.3,0.6413,22.2,19.1,"{'stop_loss': 3, 'take_profit': 1}",False
SMA(20/100)_1h,tick_fast_v2,1h,-0.03,-1619.04,4998381.0,3.99,33.33,0.9922,3,1,2,205995.86,-103807.45,1.5,0.5858,22.5,16.2,"{'take_profit': 1, 'stop_loss': 2}",False
SMA(20/200)_1h,tick_fast_v2,1h,-4.13,-206515.23,4793485.0,4.13,0.0,0.0,2,0,2,0.0,-103257.61,1.6,0.6138,3.3,19.3,{'stop_loss': 2},False
