variant,n,wr,pf,mdd_pct,monthly_plus,symbol,period,category
new_baseline,78,55.1,1.25,17.4,1/3,EURUSD,IS,FX
+ATR_expand,38,42.1,0.77,29.2,1/3,EURUSD,IS,FX
new_baseline,680,63.8,1.91,17.7,11/12,EURUSD,OOS,FX
+ATR_expand,274,60.6,1.73,11.5,11/12,EURUSD,OOS,FX
new_baseline,94,67.0,1.86,13.1,2/2,GBPUSD,IS,FX
+ATR_expand,28,57.1,1.22,15.2,1/2,GBPUSD,IS,FX
new_baseline,692,65.0,1.81,21.7,12/12,GBPUSD,OOS,FX
+ATR_expand,295,65.4,2.03,13.4,11/12,GBPUSD,OOS,FX
new_baseline,100,62.0,1.71,17.5,2/3,AUDUSD,IS,FX
+ATR_expand,39,59.0,1.31,15.9,2/3,AUDUSD,IS,FX
new_baseline,623,64.7,2.18,22.1,12/12,AUDUSD,OOS,FX
+ATR_expand,280,66.8,2.21,9.6,11/12,AUDUSD,OOS,FX
new_baseline,97,73.2,3.07,12.4,2/2,XAUUSD,IS,METALS
+ATR_expand,28,67.9,2.38,8.0,1/2,XAUUSD,IS,METALS
new_baseline,462,73.2,3.08,11.5,12/12,XAUUSD,OOS,METALS
+ATR_expand,198,76.3,3.81,10.6,10/12,XAUUSD,OOS,METALS
