symbol,method,n,wr,pf,mdd_pct,kelly,monthly_plus
EURUSD,E0,263,61.6,1.68,19.2,0.388,11/12
EURUSD,E1,254,62.2,1.84,21.3,0.417,10/12
EURUSD,E2,263,63.1,1.79,19.2,0.425,11/12
EURUSD,E3,252,61.5,1.81,21.3,0.403,10/12
GBPUSD,E0,245,63.7,1.86,17.8,0.442,10/12
GBPUSD,E1,236,62.7,1.82,17.8,0.422,10/12
GBPUSD,E2,244,64.3,1.87,16.1,0.453,11/12
GBPUSD,E3,233,62.7,1.78,17.8,0.417,10/12
AUDUSD,E0,255,58.0,1.66,20.7,0.328,7/12
AUDUSD,E1,241,59.3,1.76,20.2,0.362,7/12
AUDUSD,E2,255,58.0,1.63,20.7,0.323,7/12
AUDUSD,E3,238,58.4,1.66,24.6,0.333,7/12
XAUUSD,E0,456,68.2,2.33,13.3,0.545,12/12
XAUUSD,E1,459,65.6,2.28,19.9,0.505,12/12
XAUUSD,E2,455,67.9,2.34,13.4,0.542,12/12
XAUUSD,E3,454,65.4,2.26,19.9,0.501,12/12
