symbol,variant,n,wr,pf,mdd_pct,kelly,monthly_plus
EURUSD,lean_baseline,1017,65.5,1.94,17.7,0.477,12/12
EURUSD,+EMA_dist,674,63.6,1.91,17.7,0.446,11/12
EURUSD,+1H_slope,827,64.2,2.05,19.2,0.468,12/12
EURUSD,+tight_tol,575,63.1,1.73,21.4,0.418,12/12
EURUSD,+ATR_expand,379,62.3,1.91,14.1,0.425,12/12
EURUSD,+A1+A2,627,62.8,1.88,20.5,0.43,11/12
GBPUSD,lean_baseline,982,63.2,1.56,24.8,0.396,12/12
GBPUSD,+EMA_dist,688,64.8,1.81,21.7,0.454,11/12
GBPUSD,+1H_slope,797,63.0,1.5,25.1,0.383,12/12
GBPUSD,+tight_tol,598,63.4,1.67,20.8,0.415,12/12
GBPUSD,+ATR_expand,390,62.6,1.74,15.4,0.411,11/12
GBPUSD,+A1+A2,629,63.9,1.62,21.9,0.417,10/12
AUDUSD,lean_baseline,897,61.9,2.02,32.4,0.43,12/12
AUDUSD,+EMA_dist,620,64.5,2.18,22.1,0.482,12/12
AUDUSD,+1H_slope,729,61.3,1.74,22.1,0.391,12/12
AUDUSD,+tight_tol,478,62.1,1.84,16.3,0.415,12/12
AUDUSD,+ATR_expand,362,63.0,1.99,13.3,0.443,11/12
AUDUSD,+A1+A2,572,63.6,1.97,18.3,0.452,12/12
XAUUSD,lean_baseline,676,70.3,2.36,11.5,0.577,12/12
XAUUSD,+EMA_dist,462,73.4,3.08,11.5,0.647,12/12
XAUUSD,+1H_slope,542,70.7,2.49,13.4,0.589,12/12
XAUUSD,+tight_tol,364,67.6,2.14,17.7,0.524,12/12
XAUUSD,+ATR_expand,266,73.3,3.2,9.3,0.65,10/12
XAUUSD,+A1+A2,425,72.7,2.97,10.6,0.635,11/12
