sym,cat,best_logic,best_pf,pf_A,pf_B,pf_C,oos_wr,oos_mdd,plus_months,total_months,p_val,overfitting,monthly_check,verdict
EURUSD,FX_USD,C,1.8061356674098197,1.7287961128914908,1.6059877363392836,1.8061356674098197,0.6525821596244131,22.671082031148725,9,9,1.8935104605644002e-19,✅PASS,✅PASS,⚠️要検討
GBPUSD,FX_USD,A,1.8591568824994957,1.8591568824994957,1.6591014591693534,1.7320008622022185,0.6574468085106383,18.32297231607,9,9,4.052325390043287e-12,✅PASS,✅PASS,⚠️要検討
AUDUSD,FX_USD,B,2.0478838772430215,1.9759317175581028,2.0478838772430215,1.9202020440730816,0.6348039215686274,23.184746577748385,7,9,2.8474269109750374e-08,✅PASS,❌78%,⚠️要検討
NZDUSD,FX_USD,A,1.9827284772004106,1.9827284772004106,1.9776402245174316,1.788303293859443,0.6801909307875895,20.502012753950176,8,9,6.382718878713622e-14,✅PASS,✅PASS,⚠️要検討
USDCAD,FX_USD,A,2.0211262898459683,2.0211262898459683,1.8939898383455813,1.8871970299672298,0.680577849117175,25.823614625930723,9,9,5.704155300456341e-20,✅PASS,✅PASS,✅採用候補
USDCHF,FX_USD,A,1.7849136011475724,1.7849136011475724,1.6158301407426372,1.5776657629203281,0.6649076517150396,9.663026828135948,9,9,6.501575993556777e-11,✅PASS,✅PASS,⚠️要検討
USDJPY,FX_JPY,C,2.1501322480180316,1.8321324847275033,1.7880642405630052,2.1501322480180316,0.6506024096385542,21.599401493060537,9,9,7.389077707169829e-17,✅PASS,✅PASS,✅採用候補
EURJPY,FX_JPY,B,0.8429144757628247,0.8322391477958686,0.8429144757628247,0.8190006215656724,0.49,85.49100371495584,2,9,0.6736177011466657,✅PASS,❌22%,❌不採用
GBPJPY,FX_JPY,B,0.6331648390302396,0.5506599969792862,0.6331648390302396,0.5836872867756956,0.43859649122807015,75.41001073569899,1,9,0.9836063667972118,❌FAIL(0.61),❌11%,❌過学習
AUDJPY,FX_JPY,A,1.5217800917627633,1.5217800917627633,1.0178066827612735,1.2538167261283764,0.6124497991967871,41.68107322836273,6,9,2.95472350177634e-07,✅PASS,❌67%,⚠️要検討
CADJPY,FX_JPY,C,0.85470800933624,0.8063612189801639,0.6234910742792602,0.85470800933624,0.5287221570926143,87.78143725186787,2,9,0.05011269465081191,✅PASS,❌22%,❌不採用
EURGBP,FX_CROSS,A,1.564592962528009,1.564592962528009,1.3842243246692754,1.2768241423728994,0.6466809421841542,25.680843470125293,9,9,1.1632961611032714e-10,✅PASS,✅PASS,⚠️要検討
XAUUSD,METALS,A,3.0998038581986056,3.0998038581986056,2.981749995159893,2.262769715054977,0.7514792899408284,8.736159811544464,9,9,2.6962800163071257e-21,✅PASS,✅PASS,✅採用候補
XAGUSD,METALS,B,1.839967252826031,1.7203355195366004,1.839967252826031,1.7012456806601834,0.6939890710382514,13.283843369746902,6,9,8.082968917050059e-08,✅PASS,❌67%,⚠️要検討
SPX500,INDICES,B,2.0381732221988065,1.9404531539869674,2.0381732221988065,1.4525655192461109,0.6816720257234726,11.48578786351062,9,9,6.758787514392728e-11,✅PASS,✅PASS,✅採用候補
