sym,cat,logic,lname,is_n,is_wr,is_pf,is_plus_months,is_total_months,is_p_val,is_mdd,is_final_eq,oos_n,oos_wr,oos_pf,oos_plus_months,oos_total_months,oos_p_val,oos_mdd,oos_final_eq
EURUSD,FX_USD,A,GOLDYAGAMI,204,0.6372549019607843,2.0971329909082637,5,5,5.372665296673714e-05,13.596182956480233,4774780.24400285,454,0.6475770925110133,1.7287961128914908,8,9,1.6193026263670637e-10,13.187446675328001,12419016.193063213
EURUSD,FX_USD,B,ADX+Streak,170,0.6058823529411764,1.7675635162993089,4,5,0.0035441617124208633,13.962481303406262,3198940.0972038414,383,0.6135770234986945,1.6059877363392836,8,9,5.11558011749743e-06,23.686349505087577,6097174.037961976
EURUSD,FX_USD,C,オーパーツ,406,0.5812807881773399,1.460494964443597,4,5,0.0006142442889930018,21.265616766743836,5640768.080865444,852,0.6525821596244131,1.8061356674098197,9,9,1.8935104605644002e-19,22.671082031148725,235995280.78015313
GBPUSD,FX_USD,A,GOLDYAGAMI,243,0.6748971193415638,2.1124016412884696,5,5,2.622528900847113e-08,19.149872218364685,7163139.831824698,470,0.6574468085106383,1.8591568824994957,9,9,4.052325390043287e-12,18.32297231607,20311552.55233178
GBPUSD,FX_USD,B,ADX+Streak,217,0.6451612903225806,1.928529775248635,5,5,1.1342434750835752e-05,17.71242352482854,5515697.332966483,423,0.6453900709219859,1.6591014591693534,8,9,1.164314827109284e-09,23.497907736787596,10420747.983432414
GBPUSD,FX_USD,C,オーパーツ,406,0.645320197044335,1.8044584572373064,5,5,2.505198504580517e-09,17.65885212284508,16971496.0585496,850,0.6517647058823529,1.7320008622022185,9,9,3.2363768469556756e-19,17.212630278681257,175629132.4200773
AUDUSD,FX_USD,A,GOLDYAGAMI,178,0.6573033707865169,1.8728440055420679,5,5,1.6306294802819634e-05,11.06548743441302,3443141.9164173678,487,0.6468172484599589,1.9759317175581028,9,9,4.569473637591238e-11,16.650402969401327,28385204.929900356
AUDUSD,FX_USD,B,ADX+Streak,147,0.6462585034013606,1.7254424052832429,5,5,0.00024481787408422957,15.989947828648072,2524424.348326375,408,0.6348039215686274,2.0478838772430215,7,9,2.8474269109750374e-08,23.184746577748385,11382042.518979847
AUDUSD,FX_USD,C,オーパーツ,384,0.6458333333333334,1.5366002333847597,5,5,5.856133768510111e-09,15.458503731863784,10079668.928131796,822,0.6192214111922141,1.9202020440730816,9,9,4.150172185912143e-12,22.86360665947064,103224052.81984396
NZDUSD,FX_USD,A,GOLDYAGAMI,158,0.6518987341772152,1.8799905256556728,5,5,8.308364565393107e-05,12.820948989040213,2898011.655137537,419,0.6801909307875895,1.9827284772004106,8,9,6.382718878713622e-14,20.502012753950176,44851950.48540945
NZDUSD,FX_USD,B,ADX+Streak,141,0.6382978723404256,1.5357266416206488,4,5,0.0006451566899760008,15.36514935956971,1921365.0135095823,347,0.6772334293948127,1.9776402245174316,9,9,1.816358414547758e-11,20.503902403870168,15394572.540179694
NZDUSD,FX_USD,C,オーパーツ,349,0.670487106017192,1.8029837632716434,5,5,8.992394272030238e-11,16.941644448683128,11045310.79577567,715,0.6293706293706294,1.788303293859443,9,9,2.2693661534020285e-12,34.76043045462315,73228148.08738059
USDCAD,FX_USD,A,GOLDYAGAMI,217,0.6129032258064516,1.6391604874393557,5,5,0.0005364032339811991,17.947678011239244,2779757.4667029963,623,0.680577849117175,2.0211262898459683,9,9,5.704155300456341e-20,25.823614625930723,132954978.1884966
USDCAD,FX_USD,B,ADX+Streak,188,0.5957446808510638,1.5966193841110061,4,5,0.0052493873033634345,20.951085731475352,2174956.583669399,605,0.6776859504132231,1.8939898383455813,9,9,7.205937544580411e-19,14.369226398688301,144681300.75787815
USDCAD,FX_USD,C,オーパーツ,450,0.6222222222222222,1.5921613591079637,5,5,1.215059949590507e-07,20.10249821308418,11698370.97030664,925,0.6410810810810811,1.8871970299672298,9,9,3.785794713544084e-18,25.38560420870598,210672192.92601588
USDCHF,FX_USD,A,GOLDYAGAMI,205,0.5902439024390244,1.4912699225876698,4,5,0.005870303589854509,22.966995327146872,3088939.5051699597,379,0.6649076517150396,1.7849136011475724,9,9,6.501575993556777e-11,9.663026828135948,12919039.264555998
USDCHF,FX_USD,B,ADX+Streak,193,0.5595854922279793,1.267882844450439,3,5,0.05652561572299251,32.20621002842131,1777371.4929346673,323,0.653250773993808,1.6158301407426372,9,9,1.9568764334025066e-08,15.707287253722521,8676626.250222052
USDCHF,FX_USD,C,オーパーツ,417,0.6163069544364509,1.5545626860584882,5,5,1.171399026851044e-06,18.637344434981998,10264721.711526556,835,0.6095808383233533,1.5776657629203281,9,9,1.2818074198628585e-10,16.947354655524123,30880370.21462472
USDJPY,FX_JPY,A,GOLDYAGAMI,182,0.6483516483516484,1.6417843977173794,4,5,3.820086412900437e-05,13.187446675328,2281187.527214251,411,0.6496350364963503,1.8321324847275033,9,9,6.713014569353745e-10,29.556283965801754,15036152.420329126
USDJPY,FX_JPY,B,ADX+Streak,147,0.6870748299319728,2.0503895674110124,4,5,3.335932847004738e-06,12.398735849055683,2278643.917383152,380,0.631578947368421,1.7880642405630052,8,9,1.637384072998794e-07,24.107426589884927,8105574.150824296
USDJPY,FX_JPY,C,オーパーツ,341,0.6715542521994134,2.182668824038223,5,5,1.1236297954434231e-10,10.414911811127007,11483456.281609613,747,0.6506024096385542,2.1501322480180316,9,9,7.389077707169829e-17,21.599401493060537,154469962.24966076
EURJPY,FX_JPY,A,GOLDYAGAMI,180,0.4222222222222222,0.6587455215537269,1,5,0.9848152302765544,55.57730015340812,448669.2684505779,524,0.4866412213740458,0.8322391477958686,1,9,0.743836389451902,81.719691052102,240247.1489552594
EURJPY,FX_JPY,B,ADX+Streak,143,0.4125874125874126,0.5906889022294952,0,4,0.9853342027332669,57.64623767593731,453150.14949203364,400,0.49,0.8429144757628247,2,9,0.6736177011466657,85.49100371495584,258199.7178375278
EURJPY,FX_JPY,C,オーパーツ,333,0.4594594594594595,0.8008019647218595,1,5,0.9375971058448342,62.144938492531985,436792.78246893093,776,0.48711340206185566,0.8190006215656724,3,9,0.7745216340689585,88.89530298837491,183208.18855800506
GBPJPY,FX_JPY,A,GOLDYAGAMI,174,0.5057471264367817,1.0410326309718518,4,5,0.4697996859760727,36.21882064402684,1083044.3368294267,409,0.4400977995110024,0.5506599969792862,1,9,0.9933368720888027,87.86002295407152,180592.69888282308
GBPJPY,FX_JPY,B,ADX+Streak,141,0.5035460992907801,1.0295937637355799,3,5,0.4999999999999999,27.87747948742505,1052211.307956448,285,0.43859649122807015,0.6331648390302396,1,9,0.9836063667972118,75.41001073569899,301816.5833996654
GBPJPY,FX_JPY,C,オーパーツ,337,0.4688427299703264,0.8977519095421378,2,5,0.8846474894998689,56.776578675181035,660129.1653404689,744,0.4489247311827957,0.5836872867756956,2,9,0.9976372146594058,95.57335320572987,96559.09394415506
AUDJPY,FX_JPY,A,GOLDYAGAMI,218,0.6605504587155964,1.6833238057977977,5,5,1.2269793481775242e-06,17.601421420582202,4078147.8565615006,498,0.6124497991967871,1.5217800917627633,6,9,2.95472350177634e-07,41.68107322836273,4640182.8550973935
AUDJPY,FX_JPY,B,ADX+Streak,158,0.5759493670886076,1.1599274522111787,3,5,0.03347131963767558,16.334527339850165,1293821.6798040336,349,0.5587392550143266,1.0178066827612735,5,9,0.016056912696539864,59.31668848667123,1065545.3334916502
AUDJPY,FX_JPY,C,オーパーツ,380,0.6157894736842106,1.4642100122739046,5,5,3.6993817247198153e-06,25.67167485345668,5675421.567016318,826,0.5774818401937046,1.2538167261283764,8,9,4.772636736130845e-06,39.74115861491444,3793497.57147364
CADJPY,FX_JPY,A,GOLDYAGAMI,190,0.5526315789473685,0.8194886719972628,1,5,0.08395552800451728,41.34734489368754,676134.5912564767,460,0.5282608695652173,0.8063612189801639,2,9,0.12186661475842904,78.83101194312249,252379.53871090015
CADJPY,FX_JPY,B,ADX+Streak,123,0.5121951219512195,0.6342128838173797,1,5,0.4284921641248502,50.650325790658854,566803.6134341231,339,0.504424778761062,0.6234910742792602,0,9,0.4567604396748942,80.69129413539696,193087.0586460304
CADJPY,FX_JPY,C,オーパーツ,396,0.5782828282828283,1.1899764919118914,4,5,0.0010673310701505437,28.04579689905216,2032627.8286666432,853,0.5287221570926143,0.85470800933624,2,9,0.05011269465081191,87.78143725186787,232944.83970906067
EURGBP,FX_CROSS,A,GOLDYAGAMI,296,0.6621621621621622,1.6919816390547502,4,5,1.2780379429907e-08,29.134836685782766,6027091.891985319,467,0.6466809421841542,1.564592962528009,9,9,1.1632961611032714e-10,25.680843470125293,14950280.787140323
EURGBP,FX_CROSS,B,ADX+Streak,273,0.6483516483516484,1.605950795519612,4,5,5.41108929738154e-07,20.277516073363202,4756918.9068937125,335,0.6328358208955224,1.3842243246692754,7,9,6.654317174754301e-07,27.469415319214853,4170188.4160982007
EURGBP,FX_CROSS,C,オーパーツ,474,0.5949367088607594,1.3855809489346311,3,5,2.0716233049281194e-05,25.98918059393561,4815241.861254686,891,0.5948372615039281,1.2768241423728994,7,9,8.279684980014718e-09,37.830941605840124,15907366.284424849
XAUUSD,METALS,A,GOLDYAGAMI,221,0.7013574660633484,2.289573847058783,5,5,9.851191367904326e-10,12.394356574141854,9854612.915561885,338,0.7514792899408284,3.0998038581986056,9,9,2.6962800163071257e-21,8.736159811544464,71350943.70816265
