rank,sym,cat,logic,lname,risk_mode,risk_name,period,split,oos_n,oos_wr,oos_pf,oos_sharpe,oos_kelly,oos_mdd,oos_plus_m,oos_total_m,is_pf,oos_is_ratio,overfitting,verdict,full_pf,full_sharpe,full_mdd,note
1,EURUSD,FX_USD,C,オーパーツ,fixed2,固定2%,2025-01-01~2026-03-13,2025-06-24,824,0.6614077669902912,2.015417903776941,5.9324664482925265,0.33323376111746583,22.67108203114867,10,10,1.4682078413667858,1.372706129876507,✅1.37,✅採用,2.012004553989113,5.387072843682466,22.67108203114871,オーパーツ有効
2,USDJPY,FX_JPY,C,オーパーツ,fixed2,固定2%,2025-01-01~2026-03-13,2025-06-24,749,0.6595460614152203,1.7879699379293361,5.657834700173582,0.2906662232122098,20.406182711579156,10,10,2.173341644660463,0.822682408134993,✅0.82,⚠️要検討,1.7891635271714075,6.6159241776496485,20.406182711579145,オーパーツ最強・採用済
3,GBPUSD,FX_USD,A,GOLDYAGAMI,fixed2,固定2%,2025-01-01~2026-03-13,2025-06-24,449,0.6570155902004454,1.8446399711620345,5.240785579379654,0.3008400760232495,17.199367903385347,10,10,2.2902030942135685,0.8054482049311283,✅0.81,✅採用,1.8589709786089528,6.172252997969169,18.879886220393015,Sharpe1位
4,USDCHF,FX_USD,A,GOLDYAGAMI,fixed2,固定2%,2025-01-01~2026-02-27,2025-06-18,350,0.6542857142857142,1.7980935243508702,4.462409450883112,0.29040824883412264,11.551924279453399,8,9,1.5464025392378442,1.1627590350679802,✅1.16,⚠️要検討,1.7706543348701624,4.579998169268109,23.05221388065637,低MDD12%
5,EURGBP,FX_CROSS,A,GOLDYAGAMI,adaptive,適応2-3%,2024-01-01~2026-02-27,2024-11-11,907,0.6229327453142227,1.6862506742922214,4.369914551527706,0.25351391879503427,37.52737036502027,15,16,1.7669588327008194,0.9543236905608975,✅0.95,⚠️要検討,1.6866392458840156,2.541785467789864,43.1861845122555,適応リスク有効
6,NZDUSD,FX_USD,A,GOLDYAGAMI,fixed2,固定2%,2025-01-01~2026-03-13,2025-06-24,396,0.6414141414141414,1.9975050497231501,3.9928885947444943,0.3203064969037859,19.94286635913491,9,10,2.6673911426787096,0.7488609442247638,✅0.75,✅採用,2.018299135828029,4.031435452966084,21.381045409773204,
7,USDCAD,FX_USD,A,GOLDYAGAMI,fixed2,固定2%,2025-01-01~2026-03-13,2025-06-24,557,0.6552962298025135,1.948622766895523,3.7908170113258217,0.31900937072690677,22.01565597342619,9,10,1.7292691171964416,1.1268476071871947,✅1.13,✅採用,1.9438111094859747,3.9752462490698774,22.811096282497253,採用済
8,AUDUSD,FX_USD,B,ADX+Streak,fixed2,固定2%,2025-01-01~2026-03-13,2025-06-24,404,0.6262376237623762,2.017315038632158,3.5594181084609007,0.3158063764015292,23.184746577748435,8,10,1.9766360550086013,1.0205799057041787,✅1.02,✅採用,2.0142216581716155,4.185010734191921,23.184746577748374,月次安定要確認
9,AUDJPY,FX_JPY,A,GOLDYAGAMI,adaptive,適応2-3%,2024-01-01~2026-02-27,2024-11-11,745,0.6281879194630873,1.3505456852945197,3.5132922962493867,0.163051548066591,44.064350253681496,13,16,1.7609215648396173,0.7669539133717894,✅0.77,❌不採用,1.3546016674969437,3.1653029086572797,44.064350253681454,適応リスク有効・高MDD要注意
10,XAGUSD,METALS,B,ADX+Streak,fixed2,固定2%,2024-01-01~2026-02-27,2024-11-08,273,0.6776556776556777,2.2240528377369437,3.14065716804921,0.37296162265956645,13.270534813448053,13,16,2.134513462421927,1.0419483769446085,✅1.04,✅採用,2.2168188665104838,3.048886809294403,16.445636017990658,Sharpe低め
11,XAUUSD,METALS,A,GOLDYAGAMI,fixed2,固定2%,2025-01-01~2026-03-13,2025-06-25,307,0.749185667752443,3.060853858011106,3.062487656390642,0.504422048675493,8.726883707333508,10,10,2.662415796320629,1.1496528311772733,✅1.15,✅採用,3.0493620441198868,3.9935179418969287,12.280513558906545,Sharpe安定・採用済
