strategy,timeframe,trades,win_rate_pct,profit_factor,rr_ratio,max_dd_pct,total_return_pct,total_pnl,pyramid_rate_pct,passed
12H_DC30d_Confirm2,12h,16,56.25,2.2614,1.76,4.84,13.0,649916.31,75.0,True
4H_DC30d_Confirm2,4h,24,45.83,1.9903,2.35,8.77,11.13,556584.89,79.2,True
4H_DC15d_Confirm2,4h,30,43.33,1.9341,2.53,8.49,13.69,684637.6,80.0,True
4H_DC20d_Confirm2,4h,27,44.44,1.827,2.28,9.48,10.27,513470.85,81.5,True
D1_DC30_EMA200_Confirm,1d,26,30.77,1.8139,4.08,13.87,24.85,1242638.5,53.8,True
D1_DC30_EMA200,1d,42,33.33,0.9384,1.88,22.92,-2.64,-131960.44,54.8,False
12H_DC30d_Confirm1,12h,33,39.39,0.9278,1.43,21.09,-2.18,-109038.47,63.6,False
Maedai_DC10_4h,4h,244,31.56,0.7956,1.73,52.25,-43.52,-2175981.18,62.3,False
12H_DC20d_Confirm1,12h,40,37.5,0.7641,1.27,23.72,-8.87,-443537.23,60.0,False
Maedai_DC20_4h,4h,205,33.66,0.728,1.43,48.68,-42.65,-2132563.0,69.3,False
HTF_Pullback_20x5,1h,642,43.15,0.5698,0.75,80.43,-80.3,-4015084.96,81.0,False
Maedai_HTF_20x3,1h,651,42.09,0.5648,0.78,85.87,-85.51,-4275272.67,80.2,False
HTF_Pullback_20x8,1h,648,42.9,0.5468,0.73,82.2,-82.08,-4104218.94,81.0,False
4H_DC15d_Confirm1,4h,68,38.24,0.5322,0.86,20.47,-15.93,-796579.19,80.9,False
HTF_Pullback_10x5,1h,803,42.84,0.5239,0.7,91.74,-91.53,-4576737.96,78.7,False
HTF_Pullback_10x3,1h,823,43.38,0.5228,0.68,91.64,-91.43,-4571341.76,79.0,False
Maedai_HTF_10x5,1h,797,41.15,0.5057,0.72,95.06,-94.89,-4744690.33,77.8,False
v2_Retest_4h,4h,62,29.03,0.4767,1.17,35.11,-29.81,-1490474.63,66.1,False
8H_DC30d_Confirm1,8h,44,38.64,0.4205,0.67,17.84,-14.75,-737562.99,79.5,False
Maedai_HTF_5x3,1h,956,39.85,0.4129,0.62,98.61,-98.55,-4927374.53,74.3,False
v2_Retest_DC10,1h,308,32.79,0.4057,0.83,85.31,-85.2,-4260166.64,63.3,False
Maedai_DC50_1h,1h,705,37.02,0.3809,0.65,97.82,-97.73,-4886448.41,69.2,False
v2_Pullback_DC15,1h,893,35.72,0.3767,0.68,99.6,-99.61,-4980300.81,62.8,False
4H_DC30d_Confirm1,4h,53,37.74,0.3677,0.61,18.58,-15.45,-772462.48,84.9,False
v2_Retest_DC20,1h,160,36.88,0.3467,0.59,61.04,-58.11,-2905277.08,70.6,False
Maedai_DC30_1h,1h,840,36.19,0.3437,0.61,99.22,-99.2,-4960211.81,69.2,False
Maedai_DC10_1h,1h,1092,36.17,0.3426,0.6,99.85,-99.85,-4992726.31,63.7,False
8H_DC20d_Confirm1,8h,50,36.0,0.3424,0.61,22.38,-20.62,-1031057.06,76.0,False
4H_DC20d_Confirm1,4h,63,34.92,0.3389,0.63,25.86,-21.25,-1062593.18,81.0,False
v2_Retest_DC30,1h,140,34.29,0.3134,0.6,55.42,-52.58,-2628944.4,72.9,False
Maedai_DC20_ATR0.5,1h,770,35.71,0.3123,0.56,98.82,-98.82,-4941090.95,68.3,False
v2_NextBar_DC20,1h,379,34.56,0.3034,0.57,87.73,-87.73,-4386640.16,71.8,False
v2_Pullback_DC20,1h,546,35.71,0.3015,0.54,97.04,-96.9,-4845166.44,63.9,False
Maedai_DC20_ATR0.3,1h,862,34.92,0.2971,0.55,99.42,-99.42,-4970884.54,67.4,False
Maedai_DC20_1h,1h,947,34.95,0.2915,0.54,99.75,-99.75,-4987542.74,66.9,False
Maedai_DC20_AllSess,1h,954,36.16,0.2883,0.51,99.73,-99.74,-4986999.86,65.5,False
v2_Imm_DC20,1h,574,35.54,0.2552,0.46,97.18,-97.17,-4858619.03,67.2,False
Maedai_Best_1h,1h,33,33.33,0.2288,0.46,20.85,-19.51,-975622.87,66.7,False
