tol_factor,sym,logic,n,wr,pf,sharpe,kelly,mdd,plus_m,total_m
0.3,USDJPY,C,951,0.5352260778128286,1.1860089969533363,1.610948813787223,0.08394275771345577,50.94005699021184,9,14
0.3,GBPUSD,A,719,0.6662030598052852,1.938925978298932,5.724022198741528,0.32260920049263536,25.463800775886675,13,14
0.3,EURUSD,C,1277,0.6335160532498042,1.787502498233368,6.131286251738204,0.2791019733389098,22.6710820311487,13,14
0.3,USDCAD,A,844,0.6646919431279621,2.0193209002587467,5.066576612963252,0.33552586405514534,25.82361462593068,14,14
0.3,NZDUSD,A,579,0.6735751295336787,1.9826009752438456,5.115588552415988,0.33383196490074796,20.5020127539501,13,14
0.3,XAUUSD,A,464,0.6982758620689655,2.5761939794384183,3.9114808776794208,0.4272264505564125,20.4589526500309,13,14
0.3,AUDUSD,B,522,0.6494252873563219,2.189035638698301,4.848082130976436,0.3527534215010454,18.904384494754588,14,14
0.25,USDJPY,C,819,0.5323565323565324,1.150029988761115,1.602365341356298,0.06944987986999979,48.128019512855644,8,14
0.25,GBPUSD,A,623,0.6757624398073836,2.1323142805853985,6.321740967520957,0.35884741186794583,22.368466133232307,14,14
0.25,EURUSD,C,1120,0.6392857142857142,1.8737044843431239,5.690776340811675,0.2980975922378382,20.61775875200044,13,14
0.25,USDCAD,A,735,0.6557823129251701,1.8700869856954632,4.818396370489491,0.3051128959721975,24.879892256636307,14,14
0.25,NZDUSD,A,512,0.69140625,2.0760496706650833,5.578298392728465,0.3583668917564657,16.567815049889077,13,14
0.25,XAUUSD,A,386,0.694300518134715,2.581087589422881,3.937680090456364,0.42530518416003293,17.107900740851285,12,14
0.25,AUDUSD,B,448,0.6517857142857143,2.065396568322335,5.142601369160007,0.3362115895474604,16.295548249370103,13,14
0.2,USDJPY,C,685,0.5386861313868613,1.1977569779321393,1.585886091924987,0.08894036382984566,35.35240495643299,8,14
0.2,GBPUSD,A,524,0.6641221374045801,1.962845682165519,6.288212648408561,0.32577555038614264,22.684685695751657,13,14
0.2,EURUSD,C,938,0.6385927505330491,1.8850822109867438,5.123023813701334,0.29983153003499013,20.93041097674085,13,14
0.2,USDCAD,A,615,0.6585365853658537,1.864167507446117,4.978749356165332,0.3052761714087199,23.558720380192494,14,14
0.2,NZDUSD,A,421,0.6912114014251781,2.1404859911603396,5.8848907438280875,0.36828875475535416,12.820948989040238,14,14
0.2,XAUUSD,A,309,0.6893203883495146,2.4556080555327693,3.8693246737451776,0.4086076798224368,12.577201609011258,12,14
0.2,AUDUSD,B,367,0.6485013623978202,1.9885388306509266,4.424296162063053,0.32238182557915,16.295548249370093,13,14
0.15,USDJPY,C,541,0.5545286506469501,1.2701596089176816,1.7295115346195997,0.11794678585322499,33.81490489763891,9,14
0.15,GBPUSD,A,403,0.652605459057072,1.7523499645697844,4.618427452622925,0.28018814958584914,20.005794673121734,13,14
0.15,EURUSD,C,738,0.6463414634146342,1.9781393564843157,5.196356471876361,0.3195993351131396,19.634522244844327,13,14
0.15,USDCAD,A,483,0.6418219461697723,1.7500814621344345,5.047356809509828,0.2750836199509497,20.32364158357703,14,14
0.15,NZDUSD,A,322,0.7049689440993789,2.356525226677232,6.5409783554466125,0.4058128238428582,9.882069849035204,14,14
0.15,XAUUSD,A,230,0.6869565217391305,2.4532709353686757,3.8043882518919805,0.406939948014918,11.282814105996367,12,14
0.15,AUDUSD,B,279,0.6415770609318996,1.964508342732282,4.0523370107427645,0.31499302615015873,12.844177685724809,13,14
0.1,USDJPY,C,371,0.5579514824797843,1.22086601401852,1.8893097504123881,0.10093861122844272,22.975647105901555,11,14
0.1,GBPUSD,A,280,0.65,1.829216191780943,4.889646742181099,0.2946565458360865,13.297724071904168,14,14
0.1,EURUSD,C,538,0.6356877323420075,1.8048485791016848,4.4944198954088606,0.283476616294586,20.454250117947083,12,14
0.1,USDCAD,A,323,0.631578947368421,1.7777798450857945,3.6875469715955855,0.27631620259478934,14.866500421692416,13,14
0.1,NZDUSD,A,235,0.723404255319149,2.3596041495191686,4.910184449451158,0.4168256050542046,11.548869546317558,13,14
0.1,XAUUSD,A,158,0.7025316455696202,2.9197134029555993,3.1608275270533657,0.4619149998199196,15.125326815149817,11,14
0.1,AUDUSD,B,184,0.625,1.8806340954142167,3.374332077961774,0.29266528293621014,11.442514353502107,13,14
0.3,USDJPY,A,560,0.49642857142857144,0.9178957037300373,-0.6900335744169156,-0.04440473829413771,60.675185239017225,6,14
0.25,USDJPY,A,470,0.502127659574468,0.932834334515445,-0.5932010284315756,-0.036154049187136716,52.259475716725824,7,14
0.2,USDJPY,A,389,0.4987146529562982,0.9185073570723232,-0.4710600382646711,-0.044247413832056715,49.05793226490977,4,14
0.15,USDJPY,A,300,0.49666666666666665,0.8824420843347185,-0.5658628733562291,-0.0661653599145548,54.031527880525076,6,14
0.1,USDJPY,A,206,0.4854368932038835,0.8300960371660586,-0.9050363726728734,-0.09935916829902558,39.69525071051679,7,14
