sym,cat,logic,is_n,is_wr,is_pf,is_total,is_plus_months,is_total_months,is_mdd,is_final_eq,oos_n,oos_wr,oos_pf,oos_total,oos_plus_months,oos_total_months,oos_mdd,oos_final_eq
NZDUSD,FX,A,158,0.6518987341772152,1.8799905256556728,1898011.6551375368,5,5,12.820948989040213,2898011.655137537,419,0.6801909307875895,1.9827284772004106,43851950.48540949,8,9,20.502012753950176,44851950.48540945
NZDUSD,FX,B,141,0.6382978723404256,1.5357266416206488,921365.0135095816,4,5,15.36514935956971,1921365.0135095823,347,0.6772334293948127,1.9776402245174316,14394572.540179703,9,9,20.503902403870168,15394572.540179694
NZDUSD,FX,C,349,0.670487106017192,1.8029837632716434,10045310.795775663,5,5,16.941644448683128,11045310.79577567,715,0.6293706293706294,1.788303293859443,72228148.08738062,9,9,34.76043045462315,73228148.08738059
USDCAD,FX,A,217,0.6129032258064516,1.6391604874393557,1779757.4667029956,5,5,17.947678011239244,2779757.4667029963,623,0.680577849117175,2.0211262898459683,131954978.18849662,9,9,25.823614625930723,132954978.1884966
USDCAD,FX,B,188,0.5957446808510638,1.5966193841110061,1174956.5836693998,4,5,20.951085731475352,2174956.583669399,605,0.6776859504132231,1.8939898383455813,143681300.7578783,9,9,14.369226398688301,144681300.75787815
USDCAD,FX,C,450,0.6222222222222222,1.5921613591079637,10698370.970306635,5,5,20.10249821308418,11698370.97030664,925,0.6410810810810811,1.8871970299672298,209672192.92601588,9,9,25.38560420870598,210672192.92601588
USDCHF,FX,A,205,0.5902439024390244,1.4912699225876698,2088939.5051699607,4,5,22.966995327146872,3088939.5051699597,379,0.6649076517150396,1.7849136011475724,11919039.264556,9,9,9.663026828135948,12919039.264555998
USDCHF,FX,B,193,0.5595854922279793,1.267882844450439,777371.4929346688,3,5,32.20621002842131,1777371.4929346673,323,0.653250773993808,1.6158301407426372,7676626.250222053,9,9,15.707287253722521,8676626.250222052
USDCHF,FX,C,417,0.6163069544364509,1.5545626860584882,9264721.711526548,5,5,18.637344434981998,10264721.711526556,835,0.6095808383233533,1.5776657629203281,29880370.214624718,9,9,16.947354655524123,30880370.21462472
EURJPY,JPY,A,180,0.4222222222222222,0.6587455215537269,-551330.7315494217,1,5,55.57730015340812,448669.2684505779,524,0.4866412213740458,0.8322391477958686,-759752.8510447413,1,9,81.719691052102,240247.1489552594
EURJPY,JPY,B,143,0.4125874125874126,0.5906889022294952,-546849.8505079665,0,4,57.64623767593731,453150.14949203364,400,0.49,0.8429144757628247,-741800.2821624717,2,9,85.49100371495584,258199.7178375278
EURJPY,JPY,C,333,0.4594594594594595,0.8008019647218595,-563207.2175310705,1,5,62.144938492531985,436792.78246893093,776,0.48711340206185566,0.8190006215656724,-816791.8114419949,3,9,88.89530298837491,183208.18855800506
AUDJPY,JPY,A,218,0.6605504587155964,1.6833238057977977,3078147.8565615024,5,5,17.601421420582202,4078147.8565615006,498,0.6124497991967871,1.5217800917627633,3640182.855097398,6,9,41.68107322836273,4640182.8550973935
AUDJPY,JPY,B,158,0.5759493670886076,1.1599274522111787,293821.6798040339,3,5,16.334527339850165,1293821.6798040336,349,0.5587392550143266,1.0178066827612735,65545.33349165121,5,9,59.31668848667123,1065545.3334916502
AUDJPY,JPY,C,380,0.6157894736842106,1.4642100122739046,4675421.567016323,5,5,25.67167485345668,5675421.567016318,826,0.5774818401937046,1.2538167261283764,2793497.5714736404,8,9,39.74115861491444,3793497.57147364
CADJPY,JPY,A,190,0.5526315789473685,0.8194886719972628,-323865.4087435227,1,5,41.34734489368754,676134.5912564767,460,0.5282608695652173,0.8063612189801639,-747620.4612891005,2,9,78.83101194312249,252379.53871090015
