sym,result,pnl,equity,risk_pct,time,month,date
USDCAD,win,6500.0,656500.0,0.02,2026-01-02 12:00:00+00:00,2026-01,2026-01-02
AUDUSD,win,6565.0,663065.0,0.02,2026-01-02 12:00:00+00:00,2026-01,2026-01-02
NZDUSD,loss,-14196.959317123239,648868.0406828767,0.02,2026-01-02 12:00:00+00:00,2026-01,2026-01-02
NZDUSD,loss,-14003.311552085477,634864.7291307913,0.02,2026-01-02 13:00:00+00:00,2026-01,2026-01-02
USDCAD,loss,-12697.294582615823,622167.4345481754,0.02,2026-01-02 14:00:00+00:00,2026-01,2026-01-02
AUDUSD,loss,-12443.34869096351,609724.085857212,0.02,2026-01-02 14:00:00+00:00,2026-01,2026-01-02
USDCHF,win,6097.24085857212,615821.326715784,0.02,2026-01-02 19:00:00+00:00,2026-01,2026-01-02
AUDUSD,loss,-12316.42653431568,603504.9001814683,0.02,2026-01-02 20:00:00+00:00,2026-01,2026-01-02
USDCHF,win,6035.049001814684,609539.949183283,0.02,2026-01-02 20:00:00+00:00,2026-01,2026-01-02
EURUSD,win,24381.597967331327,633921.5471506143,0.02,2026-01-02 21:00:00+00:00,2026-01,2026-01-02
USDCHF,loss,-12866.120520258086,621055.4266303562,0.02,2026-01-02 21:00:00+00:00,2026-01,2026-01-02
USDJPY,loss,-12421.108532607124,608634.3180977491,0.02,2026-01-02 21:00:00+00:00,2026-01,2026-01-02
EURUSD,win,24345.372723909964,632979.6908216592,0.02,2026-01-04 23:00:00+00:00,2026-01,2026-01-04
GBPUSD,loss,-12659.593816433184,620320.097005226,0.02,2026-01-05 00:00:00+00:00,2026-01,2026-01-05
USDJPY,loss,-12406.401940104519,607913.6950651214,0.02,2026-01-05 00:00:00+00:00,2026-01,2026-01-05
EURUSD,win,24316.547802604855,632230.2428677263,0.02,2026-01-05 01:00:00+00:00,2026-01,2026-01-05
USDCHF,win,25205.73910550396,657435.9819732301,0.02,2026-01-05 01:00:00+00:00,2026-01,2026-01-05
EURUSD,win,26297.439278929203,683733.4212521593,0.02,2026-01-05 02:00:00+00:00,2026-01,2026-01-05
GBPUSD,win,6837.334212521593,690570.7554646808,0.02,2026-01-05 02:00:00+00:00,2026-01,2026-01-05
USDCHF,win,27524.47833072903,718095.2337954098,0.02,2026-01-05 02:00:00+00:00,2026-01,2026-01-05
USDCAD,win,28723.80935181639,746819.0431472262,0.02,2026-01-05 03:00:00+00:00,2026-01,2026-01-05
USDJPY,loss,-14936.380862944525,731882.6622842817,0.02,2026-01-05 03:00:00+00:00,2026-01,2026-01-05
USDCAD,loss,-14637.653245685637,717245.0090385961,0.02,2026-01-05 06:00:00+00:00,2026-01,2026-01-05
EURUSD,win,28689.800361543843,745934.80940014,0.02,2026-01-05 06:00:00+00:00,2026-01,2026-01-05
GBPUSD,win,7459.3480940014,753394.1574941414,0.02,2026-01-05 06:00:00+00:00,2026-01,2026-01-05
USDCHF,win,7533.941574941413,760928.0990690828,0.02,2026-01-05 06:00:00+00:00,2026-01,2026-01-05
USDCAD,win,30437.12396276332,791365.2230318461,0.02,2026-01-05 07:00:00+00:00,2026-01,2026-01-05
USDCHF,win,7913.652230318461,799278.8752621645,0.02,2026-01-05 07:00:00+00:00,2026-01,2026-01-05
NZDUSD,loss,-18718.571980269477,780560.303281895,0.02,2026-01-05 07:00:00+00:00,2026-01,2026-01-05
USDCAD,loss,-15611.206065637902,764949.0972162571,0.02,2026-01-05 08:00:00+00:00,2026-01,2026-01-05
USDCHF,win,7649.490972162572,772598.5881884197,0.02,2026-01-05 08:00:00+00:00,2026-01,2026-01-05
NZDUSD,loss,-15994.775401300554,756603.8127871192,0.02,2026-01-05 08:00:00+00:00,2026-01,2026-01-05
XAUUSD,loss,-15167.210345838886,741436.6024412803,0.02,2026-01-05 09:00:00+00:00,2026-01,2026-01-05
USDCHF,win,7414.366024412803,748850.9684656931,0.02,2026-01-05 09:00:00+00:00,2026-01,2026-01-05
NZDUSD,loss,-15688.879057552193,733162.0894081409,0.02,2026-01-05 09:00:00+00:00,2026-01,2026-01-05
USDCAD,win,7331.620894081409,740493.7103022223,0.02,2026-01-05 13:00:00+00:00,2026-01,2026-01-05
XAUUSD,loss,-14871.833825869919,725621.8764763523,0.02,2026-01-05 17:00:00+00:00,2026-01,2026-01-05
USDCAD,win,7256.218764763524,732878.0952411159,0.02,2026-01-05 19:00:00+00:00,2026-01,2026-01-05
AUDUSD,loss,-14657.561904822318,718220.5333362935,0.02,2026-01-05 19:00:00+00:00,2026-01,2026-01-05
GBPUSD,win,7182.205333362936,725402.7386696564,0.02,2026-01-05 19:00:00+00:00,2026-01,2026-01-05
USDCHF,loss,-14596.787115118548,710805.9515545379,0.02,2026-01-05 19:00:00+00:00,2026-01,2026-01-05
USDCAD,win,28432.23806218151,739238.1896167194,0.02,2026-01-05 20:00:00+00:00,2026-01,2026-01-05
AUDUSD,loss,-14784.763792334388,724453.425824385,0.02,2026-01-05 20:00:00+00:00,2026-01,2026-01-05
USDCAD,win,7244.534258243849,731697.9600826289,0.02,2026-01-05 21:00:00+00:00,2026-01,2026-01-05
AUDUSD,loss,-14633.95920165258,717064.0008809763,0.02,2026-01-05 21:00:00+00:00,2026-01,2026-01-05
USDCHF,loss,-14585.416593793845,702478.5842871824,0.02,2026-01-05 21:00:00+00:00,2026-01,2026-01-05
EURUSD,loss,-14049.57168574365,688429.0126014388,0.02,2026-01-05 23:00:00+00:00,2026-01,2026-01-05
USDCHF,loss,-14450.675522826441,673978.3370786123,0.02,2026-01-06 00:00:00+00:00,2026-01,2026-01-06
EURUSD,win,26959.13348314449,700937.4705617568,0.02,2026-01-06 01:00:00+00:00,2026-01,2026-01-06
EURUSD,win,7009.374705617568,707946.8452673743,0.02,2026-01-06 02:00:00+00:00,2026-01,2026-01-06
USDCHF,loss,-14254.554635642196,693692.2906317321,0.02,2026-01-06 02:00:00+00:00,2026-01,2026-01-06
NZDUSD,win,6936.922906317322,700629.2135380494,0.02,2026-01-06 05:00:00+00:00,2026-01,2026-01-06
EURUSD,loss,-14012.584270760988,686616.6292672884,0.02,2026-01-06 07:00:00+00:00,2026-01,2026-01-06
