sym,result,pnl,equity,entry_time,exit_time,month,date,entry_hour,h4_bucket,h4_key
USDCAD,win,40000.0,1040000.0,2025-01-06 04:00:00+00:00,2025-01-06 05:52:00+00:00,2025-01,2025-01-06,4,4,2025-01-06_04
USDCAD,win,41600.0,1081600.0,2025-01-06 05:00:00+00:00,2025-01-06 07:28:00+00:00,2025-01,2025-01-06,5,4,2025-01-06_04
USDCAD,win,43264.0,1124864.0,2025-01-06 06:00:00+00:00,2025-01-06 11:15:00+00:00,2025-01,2025-01-06,6,4,2025-01-06_04
USDCAD,win,44994.56,1169858.5599999998,2025-01-06 08:00:00+00:00,2025-01-06 11:10:00+00:00,2025-01,2025-01-06,8,8,2025-01-06_08
USDCAD,win,11698.585599999999,1181557.1456,2025-01-06 09:00:00+00:00,2025-01-06 15:37:00+00:00,2025-01,2025-01-06,9,8,2025-01-06_08
USDCAD,win,47262.285824000006,1228819.4314239998,2025-01-06 11:00:00+00:00,2025-01-06 11:22:00+00:00,2025-01,2025-01-06,11,8,2025-01-06_08
USDCAD,win,49152.77725696,1277972.20868096,2025-01-06 19:00:00+00:00,2025-01-06 19:59:00+00:00,2025-01,2025-01-06,19,16,2025-01-06_16
USDCAD,loss,-25559.444173619202,1252412.7645073407,2025-01-06 20:00:00+00:00,2025-01-08 11:14:00+00:00,2025-01,2025-01-06,20,20,2025-01-06_20
USDCAD,win,12524.127645073408,1264936.8921524142,2025-01-07 04:00:00+00:00,2025-01-07 12:46:00+00:00,2025-01,2025-01-07,4,4,2025-01-07_04
USDCAD,win,12649.368921524145,1277586.2610739383,2025-01-07 06:00:00+00:00,2025-01-07 11:31:00+00:00,2025-01,2025-01-07,6,4,2025-01-07_04
USDCAD,win,51103.45044295753,1328689.7115168958,2025-01-07 07:00:00+00:00,2025-01-07 10:10:00+00:00,2025-01,2025-01-07,7,4,2025-01-07_04
USDCAD,loss,-26573.794230337917,1302115.9172865578,2025-01-07 08:00:00+00:00,2025-01-07 12:46:00+00:00,2025-01,2025-01-07,8,8,2025-01-07_08
USDCAD,loss,-26042.318345731157,1276073.5989408267,2025-01-07 09:00:00+00:00,2025-01-07 12:46:00+00:00,2025-01,2025-01-07,9,8,2025-01-07_08
USDCAD,win,12760.735989408267,1288834.334930235,2025-01-07 20:00:00+00:00,2025-01-08 02:06:00+00:00,2025-01,2025-01-07,20,20,2025-01-07_20
USDCAD,win,51553.373397209405,1340387.7083274445,2025-01-07 21:00:00+00:00,2025-01-10 13:30:00+00:00,2025-01,2025-01-07,21,20,2025-01-07_20
USDCAD,win,53615.50833309778,1394003.2166605424,2025-01-07 23:00:00+00:00,2025-01-08 01:01:00+00:00,2025-01,2025-01-07,23,20,2025-01-07_20
USDCAD,win,55760.1286664217,1449763.345326964,2025-01-08 00:00:00+00:00,2025-01-08 02:07:00+00:00,2025-01,2025-01-08,0,0,2025-01-08_00
USDCAD,loss,-28995.266906539277,1420768.0784204248,2025-01-08 01:00:00+00:00,2025-01-08 10:12:00+00:00,2025-01,2025-01-08,1,0,2025-01-08_00
USDCAD,win,14207.680784204247,1434975.759204629,2025-01-08 04:00:00+00:00,2025-01-08 06:56:00+00:00,2025-01,2025-01-08,4,4,2025-01-08_04
USDCAD,win,57399.030368185166,1492374.7895728145,2025-01-08 05:00:00+00:00,2025-01-08 06:13:00+00:00,2025-01,2025-01-08,5,4,2025-01-08_04
USDCAD,loss,-29847.49579145629,1462527.2937813583,2025-01-08 06:00:00+00:00,2025-01-08 07:26:00+00:00,2025-01,2025-01-08,6,4,2025-01-08_04
USDCAD,win,58501.09175125433,1521028.3855326127,2025-01-08 07:00:00+00:00,2025-01-08 11:30:00+00:00,2025-01,2025-01-08,7,4,2025-01-08_04
USDCAD,win,15210.283855326126,1536238.669387939,2025-01-08 09:00:00+00:00,2025-01-09 03:31:00+00:00,2025-01,2025-01-08,9,8,2025-01-08_08
USDCAD,win,15362.386693879389,1551601.0560818184,2025-01-08 11:00:00+00:00,2025-01-09 03:02:00+00:00,2025-01,2025-01-08,11,8,2025-01-08_08
USDCAD,loss,-31032.021121636364,1520569.0349601822,2025-01-08 14:00:00+00:00,2025-01-08 16:50:00+00:00,2025-01,2025-01-08,14,12,2025-01-08_12
USDCAD,win,60822.76139840729,1581391.7963585895,2025-01-09 07:00:00+00:00,2025-01-09 08:02:00+00:00,2025-01,2025-01-09,7,4,2025-01-09_04
USDCAD,win,63255.67185434359,1644647.468212933,2025-01-09 09:00:00+00:00,2025-01-10 04:52:00+00:00,2025-01,2025-01-09,9,8,2025-01-09_08
USDCAD,win,65785.89872851734,1710433.3669414502,2025-01-09 10:00:00+00:00,2025-01-10 03:45:00+00:00,2025-01,2025-01-09,10,8,2025-01-09_08
USDCAD,win,68417.33467765801,1778850.7016191082,2025-01-09 11:00:00+00:00,2025-01-10 05:49:00+00:00,2025-01,2025-01-09,11,8,2025-01-09_08
USDCAD,win,17788.50701619108,1796639.2086352992,2025-01-10 00:00:00+00:00,2025-01-10 08:09:00+00:00,2025-01,2025-01-10,0,0,2025-01-10_00
USDCAD,win,71865.56834541197,1868504.7769807111,2025-01-10 01:00:00+00:00,2025-01-10 05:49:00+00:00,2025-01,2025-01-10,1,0,2025-01-10_00
USDCAD,win,74740.19107922845,1943244.9680599396,2025-01-10 02:00:00+00:00,2025-01-10 06:05:00+00:00,2025-01,2025-01-10,2,0,2025-01-10_00
USDCAD,loss,-38864.89936119879,1904380.0686987408,2025-01-10 06:00:00+00:00,2025-01-10 07:20:00+00:00,2025-01,2025-01-10,6,4,2025-01-10_04
USDCAD,win,19043.800686987408,1923423.8693857281,2025-01-10 19:00:00+00:00,2025-01-13 08:06:00+00:00,2025-01,2025-01-10,19,16,2025-01-10_16
USDCAD,loss,-38468.47738771457,1884955.3919980135,2025-01-10 21:00:00+00:00,2025-01-12 23:01:00+00:00,2025-01,2025-01-10,21,20,2025-01-10_20
USDCAD,win,18849.553919980135,1903804.9459179936,2025-01-13 03:00:00+00:00,2025-01-13 08:03:00+00:00,2025-01,2025-01-13,3,0,2025-01-13_00
USDCAD,win,76152.19783671974,1979957.1437547132,2025-01-13 19:00:00+00:00,2025-01-13 22:53:00+00:00,2025-01,2025-01-13,19,16,2025-01-13_16
USDCAD,win,79198.28575018853,2059155.4295049019,2025-01-13 21:00:00+00:00,2025-01-13 23:33:00+00:00,2025-01,2025-01-13,21,20,2025-01-13_20
USDCAD,win,20591.55429504902,2079746.983799951,2025-01-14 12:00:00+00:00,2025-01-14 12:37:00+00:00,2025-01,2025-01-14,12,12,2025-01-14_12
USDCAD,loss,-41594.93967599902,2038152.0441239518,2025-01-14 13:00:00+00:00,2025-01-14 13:30:00+00:00,2025-01,2025-01-14,13,12,2025-01-14_12
USDCAD,win,81526.08176495806,2119678.1258889097,2025-01-14 20:00:00+00:00,2025-01-15 07:46:00+00:00,2025-01,2025-01-14,20,20,2025-01-14_20
USDCAD,win,21196.781258889092,2140874.9071477987,2025-01-14 21:00:00+00:00,2025-01-15 12:47:00+00:00,2025-01,2025-01-14,21,20,2025-01-14_20
USDCAD,win,85634.99628591196,2226509.9034337103,2025-01-15 07:00:00+00:00,2025-01-15 07:49:00+00:00,2025-01,2025-01-15,7,4,2025-01-15_04
USDCAD,loss,-44530.19806867421,2181979.705365036,2025-01-15 08:00:00+00:00,2025-01-15 12:49:00+00:00,2025-01,2025-01-15,8,8,2025-01-15_08
USDCAD,loss,-43639.59410730073,2138340.1112577356,2025-01-15 10:00:00+00:00,2025-01-15 12:45:00+00:00,2025-01,2025-01-15,10,8,2025-01-15_08
USDCAD,win,21383.40111257736,2159723.512370313,2025-01-16 05:00:00+00:00,2025-01-16 07:14:00+00:00,2025-01,2025-01-16,5,4,2025-01-16_04
USDCAD,win,86388.94049481253,2246112.4528651256,2025-01-16 12:00:00+00:00,2025-01-16 12:44:00+00:00,2025-01,2025-01-16,12,12,2025-01-16_12
USDCAD,win,22461.124528651257,2268573.5773937767,2025-01-16 13:00:00+00:00,2025-01-16 15:05:00+00:00,2025-01,2025-01-16,13,12,2025-01-16_12
USDCAD,win,22685.735773937766,2291259.3131677145,2025-01-16 14:00:00+00:00,2025-01-16 15:05:00+00:00,2025-01,2025-01-16,14,12,2025-01-16_12
USDCAD,win,91650.37252670858,2382909.685694423,2025-01-16 20:00:00+00:00,2025-01-17 14:07:00+00:00,2025-01,2025-01-16,20,20,2025-01-16_20
USDCAD,win,95316.38742777692,2478226.0731222,2025-01-16 23:00:00+00:00,2025-01-17 12:34:00+00:00,2025-01,2025-01-16,23,20,2025-01-16_20
