sym,logic,bias_pct,base_pf,base_sharpe,base_eq,base_mdd,bias_pf,bias_sharpe,bias_eq,bias_mdd,pf_diff,eq_diff_pct,long_n,long_wr,short_n,short_wr
USDJPY,C,0.1,1.7891635271714075,6.6159241776496485,3079048564.408973,20.406182711579145,1.797921315809116,6.620242590109331,3046545397.527898,20.406182711579138,0.008757788637708597,-1.0556237162603637,664,0.6310240963855421,505,0.689108910891089
USDJPY,C,0.15,1.7891635271714075,6.6159241776496485,3079048564.408973,20.406182711579145,1.8022435452277068,6.600811806147684,3025467806.4574146,20.406182711579156,0.013080018056299325,-1.7401725510569683,664,0.6310240963855421,505,0.689108910891089
USDJPY,C,0.2,1.7891635271714075,6.6159241776496485,3079048564.408973,20.406182711579145,1.8065336656219244,6.567610770769617,3001256945.279808,20.40618271157914,0.017370138450516937,-2.526482369533439,664,0.6310240963855421,505,0.689108910891089
EURUSD,C,0.1,2.012004553989113,5.387072843682466,2277279191.983368,22.67108203114871,2.026454488071695,5.3262400135433605,2407513686.9468346,21.68235942199327,0.014449934082581883,5.718863783673381,704,0.6349431818181818,591,0.6311336717428088
EURUSD,C,0.15,2.012004553989113,5.387072843682466,2277279191.983368,22.67108203114871,2.0330705073333344,5.280111273084166,2471448461.9439483,21.773316209277233,0.021065953344221455,8.526370883469543,704,0.6349431818181818,591,0.6311336717428088
EURUSD,C,0.2,2.012004553989113,5.387072843682466,2277279191.983368,22.67108203114871,2.039297239645558,5.2248551589304695,2534382119.111934,21.945061701980457,0.027292685656445048,11.289916846104656,704,0.6349431818181818,591,0.6311336717428088
GBPUSD,A,0.1,1.8077561544020637,6.01236364170316,154384298.6507608,19.149872218364685,1.8009738244799305,6.1166779181521,130883715.04688056,19.99278454954626,-0.0067823299221332345,-15.222133215141195,481,0.6507276507276507,247,0.680161943319838
GBPUSD,A,0.15,1.8077561544020637,6.01236364170316,154384298.6507608,19.149872218364685,1.7972875801964212,6.120216119480696,120416831.0582328,20.81710997806124,-0.010468574205642511,-22.001892607853364,481,0.6507276507276507,247,0.680161943319838
GBPUSD,A,0.2,1.8077561544020637,6.01236364170316,154384298.6507608,19.149872218364685,1.7934054392799204,6.088349506895955,110729154.68681334,21.634438769005467,-0.014350715122143365,-28.276932528418314,481,0.6507276507276507,247,0.680161943319838
USDCAD,A,0.1,1.8612020431007268,3.818449921987674,138385102.3253507,25.210667320280155,1.8655479297870186,3.7493662585321603,135507700.13822576,25.21066732028015,0.004345886686291767,-2.0792716403533187,404,0.6633663366336634,449,0.6057906458797327
USDCAD,A,0.15,1.8612020431007268,3.818449921987674,138385102.3253507,25.210667320280155,1.8676211551192283,3.711637710738837,134005256.8812139,25.210667320280184,0.006419112018501538,-3.164968895162971,404,0.6633663366336634,449,0.6057906458797327
USDCAD,A,0.2,1.8612020431007268,3.818449921987674,138385102.3253507,25.210667320280155,1.8696285795249619,3.672213258025809,132462626.42805356,25.210667320280134,0.008426536424235076,-4.279706267350289,404,0.6633663366336634,449,0.6057906458797327
NZDUSD,A,0.1,1.9076310057044659,3.9332416101156946,32412659.183673892,16.400168310068338,1.9083041658588884,3.865956077417508,31228761.521399073,16.58981220055955,0.0006731601544225363,-3.6525780114676385,225,0.6755555555555556,220,0.6363636363636364
NZDUSD,A,0.15,1.9076310057044659,3.9332416101156946,32412659.183673892,16.400168310068338,1.9085530647402982,3.824231068645799,30641030.1213105,16.685266034178202,0.0009220590358323122,-5.465855338570169,225,0.6755555555555556,220,0.6363636363636364
NZDUSD,A,0.2,1.9076310057044659,3.9332416101156946,32412659.183673892,16.400168310068338,1.9087422471629931,3.77765157695803,30056445.05096151,16.781138771582523,0.0011112414585272568,-7.269425564130194,225,0.6755555555555556,220,0.6363636363636364
XAUUSD,A,0.1,3.0765645566020896,4.802431434675118,112115381.8910345,14.269182640829802,3.0814334589639123,4.786757238392842,128582167.07585314,14.269182640829802,0.004868902361822691,14.687355924830003,332,0.7409638554216867,59,0.6949152542372882
XAUUSD,A,0.15,3.0765645566020896,4.802431434675118,112115381.8910345,14.269182640829802,3.0819877561405824,4.772049505556922,137668969.86834735,14.269182640829802,0.005423199538492796,22.79222310650336,332,0.7409638554216867,59,0.6949152542372882
XAUUSD,A,0.2,3.0765645566020896,4.802431434675118,112115381.8910345,14.269182640829802,3.0814303100968297,4.753315196763083,147374827.19862932,14.269182640829802,0.004865753494740055,31.44924872294834,332,0.7409638554216867,59,0.6949152542372882
AUDUSD,B,0.1,2.4461852792048573,4.344454132534287,31050880.033418078,9.848200268313551,2.480990080495825,4.0055270641148155,36111547.1544109,11.031379766554135,0.034804801290967635,16.29798290916827,281,0.6868327402135231,137,0.6423357664233577
AUDUSD,B,0.15,2.4461852792048573,4.344454132534287,31050880.033418078,9.848200268313551,2.4945497101396232,3.8574778105985366,38920192.342590295,11.61957500122023,0.048364430934765945,25.343282704718767,281,0.6868327402135231,137,0.6423357664233577
AUDUSD,B,0.2,2.4461852792048573,4.344454132534287,31050880.033418078,9.848200268313551,2.505649077709688,3.721981798495114,41930749.945941195,12.205499722369407,0.059463798504830745,35.03884560055563,281,0.6868327402135231,137,0.6423357664233577
