sym,variant,n,wr,pf,sharpe,kelly,mdd,plus_m,total_m,total_pnl,is_pf,oos_is_ratio
GBPUSD,現行 半利+2.5R,449,65.3,1.79,5.12,0.288,18.3,10,10,14443497,2.26,0.79
GBPUSD,半利+2.0R,450,65.3,1.84,5.77,0.299,18.0,10,10,15039208,2.11,0.87
GBPUSD,半利+3.0R,449,65.3,1.79,4.59,0.288,17.9,10,10,15218813,2.3,0.78
GBPUSD,全利 2.0R,450,43.8,1.45,2.78,0.135,32.5,9,10,11308187,2.02,0.71
GBPUSD,全利 2.5R,449,36.3,1.29,2.06,0.082,39.7,9,10,6924661,2.18,0.59
GBPUSD,全利 3.0R,448,31.9,1.23,1.79,0.06,44.0,6,10,6893604,2.07,0.59
GBPUSD,全利 1.5R,451,52.1,1.59,4.8,0.194,33.8,10,10,10909621,1.84,0.87
EURUSD,現行 半利+2.5R,824,66.1,2.02,5.93,0.333,22.7,10,10,327852255,1.47,1.37
EURUSD,半利+2.0R,824,66.1,2.01,5.99,0.333,21.1,10,10,315221490,1.45,1.38
EURUSD,半利+3.0R,824,66.1,2.04,5.47,0.338,25.6,10,10,361731426,1.48,1.38
EURUSD,全利 2.0R,824,48.9,1.9,5.25,0.232,31.4,10,10,1480199661,1.36,1.4
EURUSD,全利 2.5R,824,42.2,1.84,4.92,0.193,37.5,10,10,1574752867,1.33,1.38
EURUSD,全利 3.0R,824,37.3,1.75,4.85,0.16,45.2,10,10,1708156257,1.31,1.34
EURUSD,全利 1.5R,825,55.4,1.8,6.0,0.247,20.5,10,10,433317716,1.43,1.26
USDCAD,現行 半利+2.5R,557,65.0,1.87,3.67,0.302,24.4,9,10,34639032,1.62,1.15
USDCAD,半利+2.0R,557,65.0,1.86,3.93,0.301,18.5,8,10,35418158,1.59,1.17
USDCAD,半利+3.0R,557,65.0,1.93,3.95,0.314,25.5,9,10,34800449,1.7,1.14
USDCAD,全利 2.0R,557,48.8,1.65,3.27,0.192,21.1,8,10,112755550,1.32,1.25
USDCAD,全利 2.5R,557,41.7,1.54,2.87,0.146,43.8,8,10,96240689,1.43,1.08
USDCAD,全利 3.0R,557,36.1,1.58,3.4,0.132,44.6,9,10,75988584,1.35,1.17
USDCAD,全利 1.5R,557,57.5,1.77,4.01,0.249,16.6,8,10,88507532,1.47,1.2
NZDUSD,現行 半利+2.5R,274,62.8,1.84,3.3,0.287,16.4,9,10,5148137,2.73,0.67
NZDUSD,半利+2.0R,275,62.9,1.74,3.29,0.267,15.8,9,10,3740483,2.69,0.65
NZDUSD,半利+3.0R,274,62.8,1.94,3.12,0.305,16.0,9,10,5955210,2.8,0.69
NZDUSD,全利 2.0R,275,49.1,1.7,3.47,0.203,20.4,9,10,5706469,2.25,0.76
NZDUSD,全利 2.5R,274,45.6,1.82,3.66,0.206,19.6,9,10,11522444,2.39,0.76
NZDUSD,全利 3.0R,274,40.9,1.86,3.0,0.189,21.7,9,10,13776472,2.57,0.73
NZDUSD,全利 1.5R,276,59.1,1.84,4.15,0.269,14.9,9,10,6175352,2.36,0.78
XAUUSD,現行 半利+2.5R,213,75.1,3.12,3.83,0.511,8.7,9,10,14544124,2.61,1.2
XAUUSD,半利+2.0R,213,75.1,2.95,3.86,0.497,8.7,9,10,11706458,2.46,1.2
XAUUSD,半利+3.0R,213,75.1,3.04,3.46,0.504,8.7,8,10,14191547,2.68,1.14
XAUUSD,全利 2.0R,213,59.6,2.54,3.4,0.361,13.7,9,10,23695217,2.16,1.18
XAUUSD,全利 2.5R,213,55.4,2.72,3.1,0.351,15.6,9,10,43750735,2.47,1.1
XAUUSD,全利 3.0R,213,48.8,2.46,2.66,0.289,28.0,7,10,44644951,2.45,1.0
XAUUSD,全利 1.5R,213,65.3,2.45,3.43,0.386,13.2,9,10,12152164,1.99,1.23
AUDUSD,現行 半利+2.5R,404,62.6,2.02,3.56,0.316,23.2,8,10,8806322,1.98,1.02
AUDUSD,半利+2.0R,404,62.6,1.99,3.55,0.312,18.1,8,10,9069227,1.97,1.01
AUDUSD,半利+3.0R,404,62.6,2.05,3.32,0.321,26.5,8,10,9034729,2.1,0.98
AUDUSD,全利 2.0R,404,46.5,1.88,3.33,0.218,23.2,8,10,19281503,1.72,1.09
AUDUSD,全利 2.5R,404,40.1,1.94,3.04,0.194,33.0,7,10,19388101,1.51,1.28
AUDUSD,全利 3.0R,404,35.9,2.0,2.77,0.179,46.2,7,10,23940438,1.65,1.21
AUDUSD,全利 1.5R,406,53.4,1.77,3.73,0.233,15.8,9,10,12409299,1.94,0.92
USDJPY,現行 半利+2.5R,749,66.0,1.79,5.66,0.291,20.4,10,10,196153924,2.17,0.82
USDJPY,半利+2.0R,749,66.0,1.78,5.46,0.289,20.9,10,10,186535337,2.13,0.83
USDJPY,半利+3.0R,749,66.0,1.83,5.7,0.3,20.0,10,10,232003447,2.32,0.79
USDJPY,全利 2.0R,749,47.3,1.6,4.6,0.178,32.2,10,10,365523656,2.46,0.65
USDJPY,全利 2.5R,749,40.9,1.54,4.97,0.143,34.2,10,10,394436767,2.52,0.61
USDJPY,全利 3.0R,749,36.6,1.6,5.42,0.137,37.5,9,10,582704493,2.52,0.64
USDJPY,全利 1.5R,749,54.7,1.64,3.9,0.214,22.4,10,10,193492021,2.5,0.65
