sym,variant,period,n,wr,pf,sharpe,kelly,mdd,plus_m,total_m,total_pnl,is_pf,oos_is_ratio
GBPUSD,current,OOS,449,65.3,1.79,5.12,0.288,18.3,10,10,14443497,2.26,0.79
GBPUSD,staged_3.5R,OOS,449,65.3,1.56,5.08,0.234,19.4,10,10,6062331,1.9,0.82
GBPUSD,staged_4R,OOS,449,65.3,1.56,5.03,0.234,19.4,10,10,5993612,1.9,0.82
GBPUSD,staged_5R,OOS,449,65.3,1.56,4.97,0.233,19.4,10,10,5925089,1.91,0.81
EURUSD,current,OOS,824,66.1,2.02,5.93,0.333,22.7,10,10,327852255,1.47,1.37
EURUSD,staged_3.5R,OOS,824,66.1,1.68,5.74,0.267,24.9,10,10,61190143,1.27,1.32
EURUSD,staged_4R,OOS,824,66.1,1.68,5.76,0.267,24.9,10,10,61634245,1.27,1.32
EURUSD,staged_5R,OOS,824,66.1,1.68,5.82,0.267,24.9,10,10,62835665,1.28,1.31
USDCAD,current,OOS,557,65.0,1.87,3.67,0.302,24.4,9,10,34639032,1.62,1.15
USDCAD,staged_3.5R,OOS,557,65.0,1.61,3.4,0.247,25.2,8,10,10178404,1.37,1.18
USDCAD,staged_4R,OOS,557,65.0,1.61,3.41,0.247,25.0,8,10,10205277,1.36,1.18
USDCAD,staged_5R,OOS,557,65.0,1.61,3.38,0.246,26.1,8,10,10044036,1.35,1.19
NZDUSD,current,OOS,274,62.8,1.84,3.3,0.287,16.4,9,10,5148137,2.73,0.67
NZDUSD,staged_3.5R,OOS,274,62.8,1.53,2.86,0.218,16.3,9,10,2228312,2.22,0.69
NZDUSD,staged_4R,OOS,274,62.8,1.53,2.84,0.218,16.9,9,10,2204840,2.22,0.69
NZDUSD,staged_5R,OOS,274,62.8,1.52,2.75,0.216,16.9,9,10,2113228,2.22,0.69
XAUUSD,current,OOS,213,75.1,3.12,3.83,0.511,8.7,9,10,14544124,2.61,1.2
XAUUSD,staged_3.5R,OOS,213,75.1,2.7,4.0,0.473,8.7,9,10,7555719,2.24,1.21
XAUUSD,staged_4R,OOS,213,75.1,2.7,4.02,0.473,8.7,9,10,7659055,2.24,1.21
XAUUSD,staged_5R,OOS,213,75.1,2.7,4.04,0.473,8.7,9,10,7699385,2.24,1.21
AUDUSD,current,OOS,404,62.6,2.02,3.56,0.316,23.2,8,10,8806322,1.98,1.02
AUDUSD,staged_3.5R,OOS,404,62.6,1.62,3.04,0.239,24.8,8,10,3385595,1.73,0.94
AUDUSD,staged_4R,OOS,404,62.6,1.62,3.05,0.24,24.8,8,10,3406705,1.73,0.94
AUDUSD,staged_5R,OOS,404,62.6,1.61,2.99,0.238,24.8,8,10,3280806,1.73,0.93
USDJPY,current,OOS,749,66.0,1.79,5.66,0.291,20.4,10,10,196153924,2.17,0.82
USDJPY,staged_3.5R,OOS,749,66.0,1.6,5.24,0.247,21.3,9,10,43714777,1.8,0.89
USDJPY,staged_4R,OOS,749,66.0,1.6,5.23,0.247,21.3,9,10,45021817,1.8,0.89
USDJPY,staged_5R,OOS,749,66.0,1.6,5.21,0.247,21.3,9,10,43262748,1.81,0.88
