symbol,variant,n,wr,pf,mdd_pct,kelly,monthly_plus
EURUSD,baseline,254,62.2,1.84,21.3,0.417,10/12
EURUSD,-KMID,392,52.3,1.12,37.4,0.096,9/12
EURUSD,-KLOW,293,62.1,1.79,23.3,0.41,11/12
EURUSD,-KMID-KLOW,457,52.5,1.11,40.4,0.098,8/12
EURUSD,-ADX,358,61.2,1.88,26.9,0.405,10/12
EURUSD,-Streak,371,62.0,1.75,20.7,0.403,10/12
EURUSD,-ADX-Streak,584,61.3,1.93,23.6,0.413,11/12
EURUSD,-Session,473,62.2,1.68,21.8,0.396,11/12
EURUSD,-conf_candle,354,63.0,1.87,15.7,0.432,12/12
GBPUSD,baseline,236,62.7,1.82,17.8,0.422,10/12
GBPUSD,-KMID,381,50.9,1.06,41.1,0.046,7/12
GBPUSD,-KLOW,267,63.3,1.89,14.4,0.438,11/12
GBPUSD,-KMID-KLOW,433,52.0,1.1,35.1,0.082,5/12
GBPUSD,-ADX,327,63.9,1.97,17.9,0.456,10/12
GBPUSD,-Streak,338,63.0,1.72,13.9,0.415,12/12
GBPUSD,-ADX-Streak,548,64.1,2.09,17.9,0.469,12/12
GBPUSD,-Session,488,61.7,1.5,14.9,0.362,11/12
GBPUSD,-conf_candle,363,63.9,1.85,21.8,0.444,11/12
AUDUSD,baseline,241,59.3,1.76,20.2,0.362,7/12
AUDUSD,-KMID,361,48.5,0.89,62.5,-0.091,5/12
AUDUSD,-KLOW,288,58.7,1.7,25.1,0.344,8/12
AUDUSD,-KMID-KLOW,432,48.8,0.96,62.1,-0.047,5/12
AUDUSD,-ADX,336,59.5,1.85,22.1,0.377,8/12
AUDUSD,-Streak,349,60.2,1.75,17.2,0.375,9/12
AUDUSD,-ADX-Streak,595,60.3,1.91,21.7,0.396,12/12
AUDUSD,-Session,443,59.6,1.71,22.5,0.359,9/12
AUDUSD,-conf_candle,377,60.2,1.81,27.0,0.383,9/12
XAUUSD,baseline,455,67.9,2.34,13.4,0.542,12/12
XAUUSD,-KMID,610,59.5,1.61,22.5,0.344,12/12
XAUUSD,-KLOW,777,64.7,1.54,31.8,0.418,11/12
XAUUSD,-KMID-KLOW,1103,55.2,1.22,40.0,0.184,9/12
XAUUSD,-1D_EMA,632,69.8,2.27,11.5,0.565,12/12
XAUUSD,-Session,455,67.9,2.34,13.4,0.542,12/12
XAUUSD,-conf_candle,676,70.3,2.36,11.5,0.577,12/12
