symbol,variant,period,n_trades,win_rate,pf,mdd_jpy,monthly_positive_pct,body_ratio_min,ascending_only,wick_limit
EURUSD,v77,IS,163,22.7,1.364,163665,100.0,0.0,False,False
EURUSD,v77,OOS,1309,27.12,1.748,631558,100.0,0.0,False,False
EURUSD,v80A,IS,87,18.39,1.048,315774,50.0,0.5,False,False
EURUSD,v80A,OOS,660,24.09,1.381,322217,83.3,0.5,False,False
EURUSD,v80B,IS,104,26.92,1.521,134071,100.0,0.0,True,False
EURUSD,v80B,OOS,857,25.09,1.585,297007,91.7,0.0,True,False
EURUSD,v80C,IS,118,17.8,1.084,292976,50.0,0.0,False,True
EURUSD,v80C,OOS,929,25.08,1.475,350195,100.0,0.0,False,True
EURUSD,v80AB,IS,59,22.03,1.175,240348,50.0,0.5,True,False
EURUSD,v80AB,OOS,466,23.61,1.306,376086,75.0,0.5,True,False
EURUSD,v80BC,IS,76,22.37,1.285,199194,50.0,0.0,True,True
EURUSD,v80BC,OOS,606,22.94,1.315,356470,91.7,0.0,True,True
EURUSD,v80ABC,IS,59,22.03,1.175,240348,50.0,0.5,True,True
EURUSD,v80ABC,OOS,466,23.61,1.306,376086,75.0,0.5,True,True
GBPUSD,v77,IS,170,31.18,2.34,410110,100.0,0.0,False,False
GBPUSD,v77,OOS,1260,28.89,1.878,1188981,100.0,0.0,False,False
GBPUSD,v80A,IS,91,29.67,2.385,180694,100.0,0.5,False,False
GBPUSD,v80A,OOS,642,26.48,1.561,455699,83.3,0.5,False,False
GBPUSD,v80B,IS,114,34.21,2.653,281814,100.0,0.0,True,False
GBPUSD,v80B,OOS,830,27.71,1.784,316290,100.0,0.0,True,False
GBPUSD,v80C,IS,124,27.42,1.917,182692,100.0,0.0,False,True
GBPUSD,v80C,OOS,893,27.44,1.718,551206,83.3,0.0,False,True
GBPUSD,v80AB,IS,63,33.33,2.772,154938,100.0,0.5,True,False
GBPUSD,v80AB,OOS,451,27.27,1.663,206246,83.3,0.5,True,False
GBPUSD,v80BC,IS,80,31.25,2.185,184806,100.0,0.0,True,True
GBPUSD,v80BC,OOS,579,26.77,1.642,216537,75.0,0.0,True,True
GBPUSD,v80ABC,IS,63,33.33,2.772,154938,100.0,0.5,True,True
GBPUSD,v80ABC,OOS,451,27.27,1.663,206246,83.3,0.5,True,True
AUDUSD,v77,IS,183,27.32,2.405,229417,100.0,0.0,False,False
AUDUSD,v77,OOS,1213,27.54,1.777,319238,100.0,0.0,False,False
AUDUSD,v80A,IS,98,24.49,1.863,152934,100.0,0.5,False,False
AUDUSD,v80A,OOS,630,23.97,1.39,379007,83.3,0.5,False,False
AUDUSD,v80B,IS,122,25.41,2.323,114032,100.0,0.0,True,False
AUDUSD,v80B,OOS,800,27.12,1.707,236765,100.0,0.0,True,False
AUDUSD,v80C,IS,129,26.36,2.093,186212,100.0,0.0,False,True
AUDUSD,v80C,OOS,869,25.55,1.529,410951,91.7,0.0,False,True
AUDUSD,v80AB,IS,69,21.74,1.857,81179,100.0,0.5,True,False
AUDUSD,v80AB,OOS,443,23.02,1.291,296205,83.3,0.5,True,False
AUDUSD,v80BC,IS,86,24.42,1.851,74738,100.0,0.0,True,True
AUDUSD,v80BC,OOS,574,24.91,1.445,251081,100.0,0.0,True,True
AUDUSD,v80ABC,IS,69,21.74,1.857,81179,100.0,0.5,True,True
AUDUSD,v80ABC,OOS,443,23.02,1.291,296205,83.3,0.5,True,True
XAUUSD,v77,IS,85,35.29,3.113,87476,100.0,0.0,False,False
XAUUSD,v77,OOS,615,31.71,1.987,207821,100.0,0.0,False,False
XAUUSD,v80A,IS,52,30.77,2.75,62125,100.0,0.5,False,False
XAUUSD,v80A,OOS,343,29.15,1.734,169878,91.7,0.5,False,False
XAUUSD,v80B,IS,64,28.12,2.533,88055,100.0,0.0,True,False
XAUUSD,v80B,OOS,408,31.86,1.988,142504,91.7,0.0,True,False
XAUUSD,v80C,IS,65,30.77,2.508,62125,100.0,0.0,False,True
XAUUSD,v80C,OOS,449,30.07,1.895,200064,100.0,0.0,False,True
XAUUSD,v80AB,IS,41,21.95,2.16,58632,100.0,0.5,True,False
XAUUSD,v80AB,OOS,252,26.98,1.533,132891,83.3,0.5,True,False
XAUUSD,v80BC,IS,50,24.0,2.012,59302,100.0,0.0,True,True
XAUUSD,v80BC,OOS,304,28.62,1.691,127730,91.7,0.0,True,True
XAUUSD,v80ABC,IS,41,21.95,2.16,58632,100.0,0.5,True,True
XAUUSD,v80ABC,OOS,252,26.98,1.533,132891,83.3,0.5,True,True
