sym,variant,rr,n,wr,pf,sharpe,kelly,mdd,plus_m,total_m,total_pnl,is_pf,oos_is_ratio,judgment
AUDJPY,KMID+KLOW+Body 2.5R,2.5,1272,62.2,1.57,5.88,0.225,28.6,16,16,186586533,1.55,1.01,FAIL
AUDJPY,KMID+KLOW+Body 3.0R,3.0,1272,62.2,1.56,5.46,0.224,38.2,16,16,200419290,1.58,0.99,FAIL
CADJPY,KMID+KLOW+Body 2.5R,2.5,1272,60.1,1.48,3.79,0.196,36.7,15,16,110817753,1.45,1.02,FAIL
CADJPY,KMID+KLOW+Body 3.0R,3.0,1272,60.1,1.47,3.73,0.192,40.9,14,16,83554859,1.5,0.98,FAIL
EURGBP,KMID+KLOW+Body 2.5R,2.5,1368,62.4,1.57,4.9,0.227,26.9,16,16,779777247,1.52,1.04,FAIL
EURGBP,KMID+KLOW+Body 3.0R,3.0,1368,62.4,1.5,4.4,0.207,30.9,14,16,537657567,1.53,0.98,FAIL
EURJPY,KMID+KLOW+Body 2.5R,2.5,1364,62.0,1.53,4.8,0.214,26.0,15,16,308997197,1.56,0.98,FAIL
EURJPY,KMID+KLOW+Body 3.0R,3.0,1363,61.9,1.55,4.74,0.219,26.0,15,16,297002834,1.57,0.99,FAIL
GBPJPY,KMID+KLOW+Body 2.5R,2.5,1339,61.4,1.69,4.32,0.251,32.4,16,16,496932650,1.71,0.99,FAIL
GBPJPY,KMID+KLOW+Body 3.0R,3.0,1339,61.4,1.7,3.96,0.253,33.6,15,16,492220140,1.7,1.0,FAIL
USDCHF,KMID+KLOW+Body 2.5R,2.5,706,65.3,1.95,5.89,0.318,21.8,9,9,122289193,1.5,1.3,FAIL
USDCHF,KMID+KLOW+Body 3.0R,3.0,705,65.2,1.89,5.68,0.308,21.4,9,9,125207677,1.53,1.24,FAIL
XAGUSD,KMID+KLOW+Body 2.5R,2.5,622,65.8,2.66,3.95,0.41,21.4,16,16,61398720,1.75,1.52,PASS
XAGUSD,KMID+KLOW+Body 3.0R,3.0,622,65.8,2.76,3.83,0.419,21.1,16,16,67662433,1.72,1.61,PASS
NAS100,KMID+KLOW+Body 2.5R,2.5,612,58.7,1.29,2.65,0.131,35.7,8,9,4493462,2.21,0.58,FAIL
NAS100,KMID+KLOW+Body 3.0R,3.0,612,58.7,1.29,2.51,0.131,35.8,8,9,4445612,2.23,0.58,FAIL
SPX500,KMID+KLOW+Body 2.5R,2.5,649,63.2,1.56,6.13,0.228,20.0,9,9,36546710,2.65,0.59,FAIL
SPX500,KMID+KLOW+Body 3.0R,3.0,649,63.2,1.6,5.94,0.237,18.3,9,9,41625367,2.63,0.61,FAIL
US30,KMID+KLOW+Body 2.5R,2.5,696,62.5,1.45,3.7,0.194,27.4,8,9,31329863,1.79,0.81,FAIL
US30,KMID+KLOW+Body 3.0R,3.0,696,62.5,1.43,3.22,0.188,27.4,8,9,27415807,1.77,0.81,FAIL
