sym,variant,filter,rr,n,wr,pf,sharpe,kelly,mdd,plus_m,total_m,total_pnl,is_pf,oos_is_ratio
GBPUSD,①現行 2.5R,①現行,2.5,449,65.3,1.79,5.12,0.288,18.3,10,10,14443497,2.26,0.79
GBPUSD,①現行 3.0R,①現行,3.0,449,65.3,1.79,4.59,0.288,17.9,10,10,15218813,2.3,0.78
GBPUSD,②KMID-only 2.5R,②KMID-only,2.5,1304,66.4,1.68,5.5,0.268,23.2,10,10,8624055628,2.11,0.79
GBPUSD,②KMID-only 3.0R,②KMID-only,3.0,1304,66.4,1.67,5.03,0.267,25.0,10,10,10223139659,2.21,0.76
GBPUSD,③KMID+Body 2.5R,③KMID+Body,2.5,880,70.7,2.14,6.46,0.376,18.3,10,10,4019190717,2.38,0.9
GBPUSD,③KMID+Body 3.0R,③KMID+Body,3.0,880,70.7,2.18,6.08,0.383,20.2,10,10,5632346149,2.45,0.89
GBPUSD,④KMID+KLOW 2.5R,④KMID+KLOW,2.5,1231,66.6,1.73,5.31,0.282,22.4,10,10,5738179884,2.18,0.79
GBPUSD,④KMID+KLOW 3.0R,④KMID+KLOW,3.0,1231,66.6,1.75,4.95,0.285,24.2,10,10,6909600269,2.27,0.77
GBPUSD,⑤KMID+KLOW+Body 2.5R,⑤KMID+KLOW+Body,2.5,850,70.8,2.16,6.49,0.38,18.3,10,10,3166122136,2.51,0.86
GBPUSD,⑤KMID+KLOW+Body 3.0R,⑤KMID+KLOW+Body,3.0,850,70.8,2.21,6.24,0.388,20.2,10,10,4482696910,2.57,0.86
EURUSD,①現行 2.5R,①現行,2.5,824,66.1,2.02,5.93,0.333,22.7,10,10,327852255,1.47,1.37
EURUSD,①現行 3.0R,①現行,3.0,824,66.1,2.04,5.47,0.338,25.6,10,10,361731426,1.48,1.38
EURUSD,②KMID-only 2.5R,②KMID-only,2.5,1271,66.7,2.21,5.64,0.366,23.2,10,10,19278022765,1.82,1.22
EURUSD,②KMID-only 3.0R,②KMID-only,3.0,1270,66.7,2.26,5.38,0.372,23.2,10,10,24248524317,1.81,1.25
EURUSD,③KMID+Body 2.5R,③KMID+Body,2.5,833,70.1,2.57,6.0,0.428,21.6,10,10,2803426119,2.15,1.19
EURUSD,③KMID+Body 3.0R,③KMID+Body,3.0,832,70.1,2.62,5.84,0.433,23.5,10,10,3914164564,2.2,1.19
EURUSD,④KMID+KLOW 2.5R,④KMID+KLOW,2.5,1222,67.5,2.34,5.36,0.387,21.6,10,10,19335939526,1.84,1.27
EURUSD,④KMID+KLOW 3.0R,④KMID+KLOW,3.0,1221,67.5,2.43,5.16,0.397,22.4,10,10,25806024534,1.83,1.33
EURUSD,⑤KMID+KLOW+Body 2.5R,⑤KMID+KLOW+Body,2.5,816,70.3,2.53,5.82,0.425,21.6,10,10,2524421535,2.18,1.16
EURUSD,⑤KMID+KLOW+Body 3.0R,⑤KMID+KLOW+Body,3.0,815,70.3,2.61,5.7,0.434,23.5,10,10,3525906334,2.23,1.17
USDCAD,①現行 2.5R,①現行,2.5,557,65.0,1.87,3.67,0.302,24.4,9,10,34639032,1.62,1.15
USDCAD,①現行 3.0R,①現行,3.0,557,65.0,1.93,3.95,0.314,25.5,9,10,34800449,1.7,1.14
USDCAD,②KMID-only 2.5R,②KMID-only,2.5,1346,66.0,2.29,4.84,0.372,28.7,10,10,13228790747,1.71,1.34
USDCAD,②KMID-only 3.0R,②KMID-only,3.0,1346,66.0,2.38,5.02,0.383,25.2,10,10,18625096807,1.73,1.37
USDCAD,③KMID+Body 2.5R,③KMID+Body,2.5,935,72.2,3.21,5.57,0.497,12.2,10,10,11325189587,1.95,1.64
USDCAD,③KMID+Body 3.0R,③KMID+Body,3.0,935,72.2,3.34,5.71,0.506,12.8,10,10,19198393574,2.0,1.67
USDCAD,④KMID+KLOW 2.5R,④KMID+KLOW,2.5,1316,66.0,2.2,4.55,0.36,28.7,10,10,10273048258,1.75,1.26
USDCAD,④KMID+KLOW 3.0R,④KMID+KLOW,3.0,1316,66.0,2.27,4.72,0.37,25.2,10,10,13981356963,1.78,1.28
USDCAD,⑤KMID+KLOW+Body 2.5R,⑤KMID+KLOW+Body,2.5,929,72.1,3.19,5.38,0.495,12.2,10,10,10475693680,1.94,1.64
USDCAD,⑤KMID+KLOW+Body 3.0R,⑤KMID+KLOW+Body,3.0,929,72.1,3.31,5.52,0.504,12.8,10,10,17588014674,1.99,1.67
NZDUSD,①現行 2.5R,①現行,2.5,274,62.8,1.84,3.3,0.287,16.4,9,10,5148137,2.73,0.67
NZDUSD,①現行 3.0R,①現行,3.0,274,62.8,1.94,3.12,0.305,16.0,9,10,5955210,2.8,0.69
NZDUSD,②KMID-only 2.5R,②KMID-only,2.5,806,61.3,1.56,8.79,0.22,21.2,10,10,37925367,1.75,0.89
NZDUSD,②KMID-only 3.0R,②KMID-only,3.0,806,61.3,1.62,7.5,0.233,21.8,10,10,55475333,1.8,0.89
NZDUSD,③KMID+Body 2.5R,③KMID+Body,2.5,588,63.9,1.77,10.8,0.279,20.3,10,10,36342110,2.47,0.72
NZDUSD,③KMID+Body 3.0R,③KMID+Body,3.0,588,63.9,1.87,9.39,0.297,20.3,10,10,57556344,2.6,0.72
NZDUSD,④KMID+KLOW 2.5R,④KMID+KLOW,2.5,702,61.8,1.69,7.38,0.253,25.7,10,10,28628967,1.77,0.96
NZDUSD,④KMID+KLOW 3.0R,④KMID+KLOW,3.0,702,61.8,1.78,6.32,0.27,26.0,10,10,40903457,1.81,0.98
NZDUSD,⑤KMID+KLOW+Body 2.5R,⑤KMID+KLOW+Body,2.5,543,64.3,1.88,8.47,0.3,21.0,10,10,28892396,2.28,0.82
NZDUSD,⑤KMID+KLOW+Body 3.0R,⑤KMID+KLOW+Body,3.0,543,64.3,1.98,7.02,0.318,21.0,10,10,43651574,2.36,0.84
XAUUSD,①現行 2.5R,①現行,2.5,213,75.1,3.12,3.83,0.511,8.7,9,10,14544124,2.61,1.2
XAUUSD,①現行 3.0R,①現行,3.0,213,75.1,3.04,3.46,0.504,8.7,8,10,14191547,2.68,1.14
XAUUSD,②KMID-only 2.5R,②KMID-only,2.5,892,67.5,1.84,6.05,0.307,17.2,10,10,2949881354,1.8,1.02
XAUUSD,②KMID-only 3.0R,②KMID-only,3.0,892,67.5,1.81,5.42,0.302,19.2,10,10,3515755086,1.79,1.01
XAUUSD,③KMID+Body 2.5R,③KMID+Body,2.5,618,72.5,2.6,6.48,0.446,14.7,10,10,1367232625,2.05,1.27
XAUUSD,③KMID+Body 3.0R,③KMID+Body,3.0,618,72.5,2.53,5.63,0.438,16.7,10,10,1657592409,2.11,1.2
XAUUSD,④KMID+KLOW 2.5R,④KMID+KLOW,2.5,472,72.0,2.57,4.58,0.441,11.6,10,10,128335941,2.28,1.13
XAUUSD,④KMID+KLOW 3.0R,④KMID+KLOW,3.0,472,72.0,2.49,4.1,0.431,11.6,10,10,127467993,2.25,1.1
XAUUSD,⑤KMID+KLOW+Body 2.5R,⑤KMID+KLOW+Body,2.5,378,74.3,3.02,4.74,0.497,7.8,10,10,87259995,2.45,1.23
XAUUSD,⑤KMID+KLOW+Body 3.0R,⑤KMID+KLOW+Body,3.0,378,74.3,2.93,4.21,0.489,7.8,10,10,96107782,2.49,1.17
AUDUSD,①現行 2.5R,①現行,2.5,289,66.8,2.47,3.83,0.398,8.7,10,10,9559613,2.15,1.15
AUDUSD,①現行 3.0R,①現行,3.0,289,66.8,2.52,3.56,0.403,9.0,10,10,10138368,2.27,1.11
AUDUSD,②KMID-only 2.5R,②KMID-only,2.5,1283,64.1,2.29,6.55,0.361,17.2,10,10,9436587169,1.58,1.45
AUDUSD,②KMID-only 3.0R,②KMID-only,3.0,1282,64.1,2.34,5.56,0.368,19.2,10,10,14706225134,1.59,1.47
AUDUSD,③KMID+Body 2.5R,③KMID+Body,2.5,860,67.4,2.27,6.95,0.377,14.7,10,10,2727518934,1.86,1.22
AUDUSD,③KMID+Body 3.0R,③KMID+Body,3.0,859,67.4,2.33,6.05,0.385,16.7,10,10,4832096705,1.9,1.23
AUDUSD,④KMID+KLOW 2.5R,④KMID+KLOW,2.5,1153,63.9,2.24,5.8,0.354,18.6,10,10,3890566342,1.81,1.23
AUDUSD,④KMID+KLOW 3.0R,④KMID+KLOW,3.0,1152,63.9,2.26,5.02,0.356,19.8,10,10,5957848834,1.83,1.24
AUDUSD,⑤KMID+KLOW+Body 2.5R,⑤KMID+KLOW+Body,2.5,812,67.6,2.46,6.8,0.401,14.7,10,10,2076037972,1.93,1.27
AUDUSD,⑤KMID+KLOW+Body 3.0R,⑤KMID+KLOW+Body,3.0,811,67.6,2.52,5.9,0.408,16.7,10,10,3521702963,1.98,1.27
USDJPY,①現行 2.5R,①現行,2.5,749,66.0,1.79,5.66,0.291,20.4,10,10,196153924,2.17,0.82
USDJPY,①現行 3.0R,①現行,3.0,749,66.0,1.83,5.7,0.3,20.0,10,10,232003447,2.32,0.79
USDJPY,②KMID-only 2.5R,②KMID-only,2.5,1225,64.3,1.49,5.8,0.213,20.4,10,10,3741546551,2.42,0.62
USDJPY,②KMID-only 3.0R,②KMID-only,3.0,1225,64.3,1.51,5.64,0.217,21.2,10,10,4973784417,2.63,0.58
USDJPY,③KMID+Body 2.5R,③KMID+Body,2.5,873,69.6,1.93,6.24,0.336,15.0,10,10,4036138032,4.12,0.47
USDJPY,③KMID+Body 3.0R,③KMID+Body,3.0,873,69.6,1.97,6.15,0.344,15.0,10,10,5308465161,4.57,0.43
USDJPY,④KMID+KLOW 2.5R,④KMID+KLOW,2.5,1108,65.7,1.57,6.07,0.239,19.5,10,10,3484580522,2.66,0.59
USDJPY,④KMID+KLOW 3.0R,④KMID+KLOW,3.0,1108,65.7,1.59,5.8,0.244,20.3,10,10,4595018012,2.91,0.55
USDJPY,⑤KMID+KLOW+Body 2.5R,⑤KMID+KLOW+Body,2.5,827,69.6,1.95,6.34,0.34,15.0,10,10,2726155893,4.37,0.45
USDJPY,⑤KMID+KLOW+Body 3.0R,⑤KMID+KLOW+Body,3.0,827,69.6,1.98,6.21,0.346,15.0,10,10,3537226595,4.89,0.41
