symbol,category,variant,period,n_trades,win_rate,pf,mdd_jpy,monthly_positive_pct,total_profit_jpy
EURUSD,FX,v77,IS,118,23.73,1.421,152059,100.0,401680
EURUSD,FX,v77,OOS,821,25.94,1.563,255852,100.0,3690441
EURUSD,FX,v79,IS,57,19.3,1.16,174810,50.0,79542
EURUSD,FX,v79,OOS,488,26.23,1.534,250709,100.0,2116559
GBPUSD,FX,v77,IS,116,31.9,2.352,295782,100.0,665944
GBPUSD,FX,v77,OOS,775,28.39,1.739,572687,91.7,4371901
GBPUSD,FX,v79,IS,57,22.81,1.776,139273,100.0,170175
GBPUSD,FX,v79,OOS,463,28.08,1.619,377650,83.3,2304426
AUDUSD,FX,v77,IS,128,30.47,2.447,166201,100.0,1077963
AUDUSD,FX,v77,OOS,812,27.09,1.597,317576,100.0,3870581
AUDUSD,FX,v79,IS,62,20.97,1.797,111381,100.0,320025
AUDUSD,FX,v79,OOS,439,24.6,1.453,398897,58.3,1644512
XAUUSD,METALS,v77,IS,85,35.29,3.113,87476,100.0,909578
XAUUSD,METALS,v77,OOS,615,31.71,1.987,207821,100.0,4339670
XAUUSD,METALS,v79,IS,69,33.33,3.001,87476,100.0,703197
XAUUSD,METALS,v79,OOS,463,31.32,2.011,275357,100.0,3301966
US30,INDICES,v77,IS,224,25.89,1.762,805452,66.7,1266804
US30,INDICES,v77,OOS,836,21.77,0.995,1074035,63.6,-40406
US30,INDICES,v79,IS,224,25.89,1.762,805452,66.7,1266804
US30,INDICES,v79,OOS,836,21.77,0.995,1074035,63.6,-40406
SPX500,INDICES,v77,IS,211,25.59,2.06,791865,100.0,1374538
SPX500,INDICES,v77,OOS,889,18.56,0.911,1591376,45.5,-874432
SPX500,INDICES,v79,IS,211,25.59,2.06,791865,100.0,1374538
SPX500,INDICES,v79,OOS,889,18.56,0.911,1591376,45.5,-874432
NAS100,INDICES,v77,IS,274,22.63,1.037,502938,33.3,101173
NAS100,INDICES,v77,OOS,572,23.43,0.818,2010176,36.4,-1298144
NAS100,INDICES,v79,IS,274,22.63,1.037,502938,33.3,101173
NAS100,INDICES,v79,OOS,572,23.43,0.818,2010176,36.4,-1298144
