sym,logic,lname,cat,prev_oos_pf,period,split,oos_n,oos_wr,oos_pf,oos_sharpe,oos_kelly,oos_mdd,oos_plus_m,oos_total_m,oos_p_val,oos_final_eq,is_n,is_wr,is_pf,is_sharpe,is_kelly,is_mdd,is_plus_m,is_total_m,is_p_val,is_final_eq,overfitting,verdict
EURUSD,C,オーパーツ,FX_USD,1.81,2025-01-01~2026-02-27,2025-06-18,807,0.6592317224287485,1.809558992539257,5.842078269832409,0.29492653804584873,26.798579886751444,9,9,4.992290656417644e-20,1848057053.7598262,453.0,0.5805739514348786,1.4162439247917058,3.8244600182048134,0.17063471620019494,25.725161778518547,5.0,6.0,0.00035021104110216243,11203572.561384395,✅(1.28),✅採用
GBPUSD,A,GOLDYAGAMI,FX_USD,1.86,2025-01-01~2026-02-27,2025-06-18,446,0.6614349775784754,1.8459708171228368,6.297939559070751,0.3031221746656971,22.678530306627,9,9,4.239508082131682e-12,56113253.242880255,263.0,0.6653992395437263,1.9972299610536735,4.909134603979803,0.33223818522393067,24.45205393120575,6.0,6.0,4.387466598476629e-08,18243028.443135045,✅(0.92),✅採用
AUDUSD,B,ADX+Streak,FX_USD,2.05,2025-01-01~2026-02-27,2025-06-18,389,0.6272493573264781,2.2094464862857133,3.5063283772072102,0.34335501491090636,27.77997139352505,7,9,2.9477359208512977e-07,19206388.766812876,166.0,0.6626506024096386,2.052665170274004,9.62924020331693,0.3398261047731422,19.33863518386831,6.0,6.0,1.678769101646089e-05,5390472.8074476905,✅(1.08),⚠️要検討
NZDUSD,A,GOLDYAGAMI,FX_USD,1.98,2025-01-01~2026-02-27,2025-06-18,396,0.6717171717171717,2.077605023897799,4.995671553500564,0.3484039509698702,24.67618876459447,8,9,3.663040063261142e-12,141712480.00647572,183.0,0.6775956284153005,2.4344258206959304,5.074810955519948,0.39925663666832834,16.04696475470683,6.0,6.0,8.797304884717273e-07,7198426.338286075,✅(0.85),✅採用
USDCHF,A,GOLDYAGAMI,FX_USD,1.78,2025-01-01~2026-02-27,2025-06-18,360,0.6638888888888889,1.7585754688417685,4.9864947044534285,0.28637373491819296,12.265514534207691,9,9,2.4633464586163473e-10,25283332.958307583,225.0,0.6,1.652487178922359,4.920958837567045,0.23691094995891004,24.932790193340516,5.0,6.0,0.0016320346575763886,6939643.458665993,✅(1.06),⚠️要検討
EURGBP,A,GOLDYAGAMI,FX_CROSS,1.56,2024-01-01~2026-02-27,2024-11-11,860,0.6372093023255814,1.5987652368797236,4.279506736536225,0.23864590625799526,36.209618955377756,15,16,3.6951467144481725e-16,757747394.5080152,252.0,0.6825396825396826,1.9661739571126107,3.2548797347584735,0.3353986373281928,31.925616977501726,5.0,5.0,3.397623469485955e-09,18240885.246146582,✅(0.81),⚠️要検討
AUDJPY,A,GOLDYAGAMI,FX_JPY,1.52,2024-01-01~2026-02-27,2024-11-11,754,0.6326259946949602,1.7280140221952265,3.5339422241203815,0.2665259592963539,44.48760403441938,13,16,1.5556107721531916e-13,109632990.3966018,573.0,0.6684118673647469,1.8290122865097131,2.6547925227619538,0.3029622351808805,29.367883226439375,10.0,11.0,2.794255947801092e-16,241491652.81570518,✅(0.94),⚠️要検討
XAGUSD,B,ADX+Streak,METALS,1.84,2024-01-01~2026-02-27,2024-11-08,244,0.6557377049180327,1.7707512906778236,2.097885559389866,0.285421608936522,28.378648133709873,9,13,6.529833646440279e-07,8777296.497442074,,,,,,,,,,,N/A,⚠️要検討
XAUUSD,A,GOLDYAGAMI,METALS,3.1,2025-01-01~2026-02-27,2025-06-19,312,0.7532051282051282,2.943279202317708,2.8900582304194087,0.4972983397455043,10.591424925301475,9,9,4.8157069982441866e-20,237676680.54773346,247.0,0.7044534412955465,2.4119390941193974,6.589513815790759,0.41238410877670706,16.45252251032354,6.0,6.0,5.479539643942968e-11,39074649.07532247,✅(1.22),✅採用
USDJPY,C,オーパーツ,FX_JPY,2.15,2025-01-01~2026-02-27,2025-06-18,707,0.6463932107496464,2.199904221846128,5.957924162886637,0.3525653230031506,25.128796060720028,9,9,3.0214496167008096e-15,680704377.1765836,383.0,0.6788511749347258,2.372083004953447,6.9797580401599575,0.3926676082057662,15.272545258571135,6.0,6.0,1.0760165504944007e-12,49883709.60587002,✅(0.93),✅採用
USDCAD,A,GOLDYAGAMI,FX_USD,2.02,2025-01-01~2026-02-27,2025-06-18,577,0.682842287694974,1.971487957750687,5.410077566054494,0.33648344486742593,29.545392730693077,8,9,4.67879248816242e-19,531284223.9375697,261.0,0.6245210727969349,1.834998462195298,5.91340782892099,0.2841823282893293,23.512583048144393,5.0,6.0,3.438503922586102e-05,6508813.503658501,✅(1.07),✅採用
