pair,variant,period,n,wr,pf,mdd,kelly,monthly_plus
EURUSD,v77,IS,145,24.1,1.2,18.4,-0.389,1/2
EURUSD,v77,OOS,1126,27.7,1.78,22.7,-0.129,12/12
EURUSD,v78A,IS,144,24.3,1.2,19.2,-0.389,1/2
EURUSD,v78A,OOS,1124,27.8,1.77,22.7,-0.13,12/12
EURUSD,v78B,IS,91,27.5,1.29,21.1,-0.287,1/2
EURUSD,v78B,OOS,606,27.1,1.82,15.5,-0.129,12/12
EURUSD,v78C,IS,71,25.4,1.24,18.6,-0.348,1/2
EURUSD,v78C,OOS,474,25.9,1.62,16.5,-0.197,12/12
EURUSD,v78D,IS,56,25.0,1.2,15.2,-0.376,1/2
EURUSD,v78D,OOS,339,27.7,1.6,23.5,-0.173,11/12
GBPUSD,v77,IS,151,32.5,2.18,9.7,0.014,2/2
GBPUSD,v77,OOS,1101,28.7,1.73,17.2,-0.125,12/12
GBPUSD,v78A,IS,150,32.7,2.17,9.7,0.016,2/2
GBPUSD,v78A,OOS,1095,28.7,1.73,17.2,-0.126,12/12
GBPUSD,v78B,IS,90,35.6,2.37,9.7,0.083,2/2
GBPUSD,v78B,OOS,564,29.3,2.01,15.0,-0.06,12/12
GBPUSD,v78C,IS,75,32.0,2.05,6.9,-0.012,2/2
GBPUSD,v78C,OOS,451,27.7,1.85,18.5,-0.113,10/12
GBPUSD,v78D,IS,56,35.7,2.33,6.9,0.081,2/2
GBPUSD,v78D,OOS,319,26.6,1.73,15.9,-0.156,9/12
AUDUSD,v77,IS,159,29.6,2.71,14.1,0.036,2/2
AUDUSD,v77,OOS,1058,28.4,1.95,21.7,-0.082,12/12
AUDUSD,v78A,IS,158,29.7,2.76,14.1,0.043,2/2
AUDUSD,v78A,OOS,1053,28.6,1.95,21.7,-0.081,12/12
AUDUSD,v78B,IS,98,34.7,2.75,8.7,0.11,2/2
AUDUSD,v78B,OOS,620,29.0,1.94,21.7,-0.075,12/12
AUDUSD,v78C,IS,73,34.2,2.56,10.6,0.086,2/2
AUDUSD,v78C,OOS,466,26.0,1.63,24.4,-0.196,10/12
AUDUSD,v78D,IS,53,35.8,2.61,7.8,0.113,2/2
AUDUSD,v78D,OOS,337,24.3,1.53,24.6,-0.251,10/12
XAUUSD,v77,IS,75,38.7,3.09,6.9,0.188,2/2
XAUUSD,v77,OOS,555,32.3,2.03,15.6,-0.012,12/12
XAUUSD,v78A,IS,74,37.8,2.96,6.9,0.169,2/2
XAUUSD,v78A,OOS,512,32.0,2.0,15.6,-0.02,12/12
XAUUSD,v78B,IS,38,31.6,2.07,5.9,-0.014,2/2
XAUUSD,v78B,OOS,291,32.3,1.86,14.9,-0.042,10/12
XAUUSD,v78C,IS,31,29.0,1.89,4.0,-0.085,2/2
XAUUSD,v78C,OOS,224,29.0,1.86,10.6,-0.091,10/12
XAUUSD,v78D,IS,24,33.3,2.21,4.0,0.032,1/2
XAUUSD,v78D,OOS,155,29.0,1.98,9.9,-0.068,9/12
US30,v77,IS,160,25.0,1.45,19.9,-0.269,1/2
US30,v77,OOS,720,20.4,0.93,71.6,-0.648,5/10
US30,v78A,IS,154,25.3,1.46,19.1,-0.258,1/2
US30,v78A,OOS,709,20.6,0.95,71.2,-0.627,5/10
US30,v78B,IS,33,39.4,3.29,5.0,0.21,2/2
US30,v78B,OOS,115,22.6,1.1,17.3,-0.479,6/10
US30,v78C,IS,30,40.0,3.01,5.9,0.2,2/2
US30,v78C,OOS,94,17.0,0.89,18.0,-0.764,3/10
US30,v78D,IS,21,52.4,4.2,4.0,0.41,2/2
US30,v78D,OOS,75,12.0,0.75,25.5,-1.058,3/10
SPX500,v77,IS,137,27.7,1.8,15.7,-0.123,2/2
SPX500,v77,OOS,746,18.4,0.92,79.5,-0.708,5/11
SPX500,v78A,IS,134,26.1,1.75,15.7,-0.161,2/2
SPX500,v78A,OOS,733,18.4,0.92,79.8,-0.704,6/11
SPX500,v78B,IS,30,40.0,2.58,5.9,0.167,2/2
SPX500,v78B,OOS,136,18.4,1.02,18.4,-0.614,7/11
SPX500,v78C,IS,25,40.0,2.41,4.0,0.151,2/2
SPX500,v78C,OOS,114,17.5,1.08,15.9,-0.591,5/11
SPX500,v78D,IS,18,33.3,1.78,4.0,-0.041,2/2
SPX500,v78D,OOS,85,17.6,1.12,9.7,-0.557,6/11
NAS100,v77,IS,124,20.2,0.79,41.3,-0.809,0/2
NAS100,v77,OOS,547,24.5,0.89,86.4,-0.601,4/11
NAS100,v78A,IS,109,19.3,0.7,43.7,-0.969,0/2
NAS100,v78A,OOS,506,24.1,0.86,87.4,-0.641,4/11
NAS100,v78B,IS,23,26.1,1.03,9.9,-0.459,1/2
NAS100,v78B,OOS,132,31.1,1.26,14.9,-0.238,8/11
NAS100,v78C,IS,20,25.0,0.95,9.6,-0.54,1/2
NAS100,v78C,OOS,117,33.3,1.32,10.0,-0.17,7/11
NAS100,v78D,IS,14,21.4,0.56,14.3,-1.177,1/2
NAS100,v78D,OOS,90,30.0,1.11,14.9,-0.333,6/11
