date,action,selected_pair,direction,return_pct,xagusd_return_pct,reason
2021-05-25,TRADE,XAGUSD,long,-0.6563,-0.6563,diff too small (0.00 < 1.5)
2021-05-26,TRADE,XAGUSD,long,0.237,0.237,diff too small (0.02 < 1.5)
2021-05-27,TRADE,XAGUSD,long,0.2651,0.2651,diff too small (0.00 < 1.5)
2021-05-28,TRADE,XAGUSD,long,0.0,0.0,diff too small (0.49 < 1.5)
2021-06-01,TRADE,XAGUSD,long,0.3668,0.3668,diff too small (0.00 < 1.5)
2021-06-02,TRADE,XAGUSD,long,-2.5758,-2.5758,diff too small (0.00 < 1.5)
2021-06-03,TRADE,XAGUSD,long,1.5259,1.5259,diff too small (0.00 < 1.5)
2021-06-04,TRADE,XAGNZD,long,-0.4136,0.4376,"NZD weakening (diff=1.83, accel=-2.557)"
2021-06-07,TRADE,XAGUSD,long,-1.0214,-1.0214,diff too small (0.34 < 1.5)
2021-06-08,TRADE,XAGUSD,long,0.9742,0.9742,diff too small (0.30 < 1.5)
2021-06-09,TRADE,XAGUSD,long,0.1072,0.1072,diff too small (0.70 < 1.5)
2021-06-10,TRADE,XAGUSD,long,0.4141,0.4141,diff too small (0.50 < 1.5)
2021-06-11,TRADE,XAGUSD,long,-0.3804,-0.3804,diff too small (0.00 < 1.5)
2021-06-14,TRADE,XAGUSD,long,-1.2311,-1.2311,diff too small (1.02 < 1.5)
2021-06-15,TRADE,XAGUSD,long,0.4371,0.4371,diff too small (1.07 < 1.5)
2021-06-16,TRADE,XAGUSD,long,-7.036,-7.036,diff too small (1.07 < 1.5)
2021-06-17,TRADE,XAGUSD,short,-0.4411,-0.4411,diff too small (0.00 < 1.5)
2021-06-18,TRADE,XAGUSD,short,-0.2196,-0.2196,diff too small (0.00 < 1.5)
2021-06-21,TRADE,XAGUSD,short,0.6419,0.6419,diff too small (0.00 < 1.5)
2021-06-22,TRADE,XAGUSD,short,-1.0059,-1.0059,diff too small (0.00 < 1.5)
2021-06-23,TRADE,XAGUSD,short,0.2336,0.2336,diff too small (0.00 < 1.5)
2021-06-24,TRADE,XAGUSD,short,-0.1344,-0.1344,diff too small (0.00 < 1.5)
2021-06-25,TRADE,XAGUSD,short,-0.5214,-0.5214,diff too small (0.00 < 1.5)
2021-06-28,TRADE,XAGUSD,short,1.3197,1.3197,diff too small (0.59 < 1.5)
2021-06-29,TRADE,XAGUSD,short,-1.1325,-1.1325,diff too small (0.00 < 1.5)
2021-06-30,TRADE,XAGUSD,short,0.344,0.344,diff too small (0.00 < 1.5)
2021-07-01,TRADE,XAGUSD,short,-1.557,-1.557,diff too small (0.00 < 1.5)
2021-07-02,TRADE,XAGUSD,short,0.0,0.0,diff too small (0.00 < 1.5)
2021-07-06,TRADE,XAGUSD,short,0.1682,0.1682,diff too small (0.00 < 1.5)
2021-07-07,TRADE,XAGUSD,short,0.5477,0.5477,diff too small (0.00 < 1.5)
2021-07-08,TRADE,XAGUSD,short,-0.9397,-0.9397,diff too small (0.00 < 1.5)
2021-07-09,TRADE,XAGUSD,short,-0.0229,-0.0229,diff too small (0.00 < 1.5)
2021-07-12,TRADE,XAGUSD,short,0.3891,0.3891,diff too small (0.00 < 1.5)
2021-07-13,TRADE,XAGUSD,short,-0.5016,-0.5016,diff too small (0.00 < 1.5)
2021-07-14,TRADE,XAGUSD,short,-0.4915,-0.4915,diff too small (0.00 < 1.5)
2021-07-15,TRADE,XAGUSD,short,2.2673,2.2673,diff too small (0.05 < 1.5)
2021-07-16,TRADE,XAGUSD,short,2.5255,2.5255,diff too small (0.00 < 1.5)
2021-07-19,TRADE,XAGUSD,short,0.593,0.593,diff too small (0.00 < 1.5)
2021-07-20,TRADE,XAGUSD,short,-1.045,-1.045,diff too small (0.00 < 1.5)
2021-07-21,TRADE,XAGUSD,short,-0.5032,-0.5032,diff too small (0.00 < 1.5)
2021-07-22,TRADE,XAGUSD,short,0.5795,0.5795,diff too small (0.00 < 1.5)
2021-07-23,TRADE,XAGUSD,short,-0.3053,-0.3053,diff too small (0.00 < 1.5)
2021-07-26,TRADE,XAGUSD,short,2.6211,2.6211,diff too small (0.00 < 1.5)
2021-07-27,TRADE,XAGUSD,short,-0.9094,-0.9094,diff too small (0.04 < 1.5)
2021-07-28,TRADE,XAGUSD,short,-3.653,-3.653,diff too small (0.86 < 1.5)
2021-07-29,TRADE,XAGUSD,short,0.916,0.916,diff too small (0.95 < 1.5)
2021-07-30,TRADE,XAGCHF,short,-0.1346,-0.1136,"CHF strengthening (diff=1.77, accel=1.751)"
2021-08-02,TRADE,XAGUSD,short,-0.0352,-0.0352,diff too small (0.87 < 1.5)
2021-08-03,TRADE,XAGUSD,short,0.4694,0.4694,diff too small (0.63 < 1.5)
2021-08-04,TRADE,XAGUSD,short,0.6641,0.6641,diff too small (1.26 < 1.5)
2021-08-05,TRADE,XAGUSD,short,3.8177,3.8177,diff too small (0.70 < 1.5)
2021-08-06,TRADE,XAGUSD,short,4.3477,4.3477,diff too small (0.05 < 1.5)
2021-08-09,TRADE,XAGUSD,short,-0.5246,-0.5246,diff too small (0.00 < 1.5)
2021-08-10,TRADE,XAGUSD,short,-0.4149,-0.4149,diff too small (0.00 < 1.5)
2021-08-11,TRADE,XAGUSD,short,1.572,1.572,diff too small (0.00 < 1.5)
2021-08-12,TRADE,XAGUSD,short,-2.8695,-2.8695,diff too small (0.00 < 1.5)
2021-08-13,TRADE,XAGUSD,short,-0.0505,-0.0505,diff too small (0.00 < 1.5)
2021-08-16,TRADE,XAGUSD,short,0.5551,0.5551,diff too small (0.00 < 1.5)
