sym,cat,period,n,wr,pf,mdd,final_eq
EURJPY,JPY_CROSS,IS,186,0.6344,1.623,16.84,3028254.0
EURJPY,JPY_CROSS,OOS,539,0.616,1.267,45.63,7956641.0
GBPJPY,JPY_CROSS,IS,185,0.6973,2.542,16.01,6861192.0
GBPJPY,JPY_CROSS,OOS,411,0.5718,1.365,34.95,3293406.0
NZDUSD,FX,IS,171,0.6433,1.819,11.28,3068595.0
NZDUSD,FX,OOS,456,0.6864,2.491,17.7,84788477.0
USDCAD,FX_INV,IS,230,0.5696,1.398,23.76,2266640.0
USDCAD,FX_INV,OOS,644,0.6832,2.132,20.55,343866347.0
USDCHF,FX_INV,IS,211,0.5735,1.396,29.29,2714276.0
USDCHF,FX_INV,OOS,401,0.6534,1.7,11.53,16542363.0
XAGUSD,METALS,IS,81,0.5926,1.522,9.95,1417815.0
XAGUSD,METALS,OOS,219,0.621,1.705,15.5,4831269.0
