symbol,variant,n,wr,pf,mdd_pct,monthly_plus
EURUSD,new_baseline,674,63.6,1.91,17.7,11/12
EURUSD,+ATR_expand,272,60.7,1.73,11.5,11/12
EURUSD,+1H_slope,627,62.8,1.88,20.5,11/12
EURUSD,+Streak5,633,63.5,1.89,15.7,11/12
EURUSD,+Streak6,583,63.1,1.78,13.2,12/12
EURUSD,+ATR+slope,248,59.7,1.65,18.5,10/12
GBPUSD,new_baseline,688,64.8,1.81,21.7,11/12
GBPUSD,+ATR_expand,294,65.3,2.02,13.4,11/12
GBPUSD,+1H_slope,629,63.9,1.62,21.9,10/12
GBPUSD,+Streak5,646,64.6,1.8,20.0,11/12
GBPUSD,+Streak6,603,64.0,1.73,19.7,12/12
GBPUSD,+ATR+slope,260,64.2,1.74,11.6,11/12
AUDUSD,new_baseline,620,64.5,2.18,22.1,12/12
AUDUSD,+ATR_expand,277,66.4,2.2,9.6,11/12
AUDUSD,+1H_slope,572,63.6,1.97,18.3,12/12
AUDUSD,+Streak5,585,64.6,2.16,23.6,12/12
AUDUSD,+Streak6,529,64.3,2.13,18.0,12/12
AUDUSD,+ATR+slope,252,65.9,2.12,9.9,10/12
