sym,cat,period,raw_spread_pips,n,wr,pf,mdd,multiplier,commission_jpy
EURUSD,FX,IS,0.1,212,61.8,1.91,19.8,2.716,680966.0
EURUSD,FX,OOS,0.1,480,61.3,1.63,25.7,2.491,2441556.0
GBPUSD,FX,IS,0.2,263,62.0,1.76,26.3,3.089,1045103.0
GBPUSD,FX,OOS,0.2,491,63.7,1.81,23.5,6.935,3835116.0
AUDUSD,FX,IS,0.2,186,62.4,1.75,20.0,1.845,943503.0
AUDUSD,FX,OOS,0.2,502,63.7,1.83,90.9,0.32,6099350.0
NZDUSD,FX,IS,0.3,171,64.9,1.96,15.4,1.988,772112.0
NZDUSD,FX,OOS,0.3,456,70.0,2.66,20.2,18.643,12034714.0
USDCAD,FX_INV,IS,0.2,230,57.0,1.38,36.7,1.137,723964.0
USDCAD,FX_INV,OOS,0.2,644,67.9,2.24,34.5,17.137,15993606.0
USDCHF,FX_INV,IS,0.3,211,56.9,1.41,31.7,1.624,649105.0
USDCHF,FX_INV,OOS,0.3,401,65.3,1.76,18.3,4.633,3630059.0
