銘柄,件数,勝率%,PF,リターン%,最終資産(万円),MDD%,月次+,ケリー%,判定
EURUSD,2046,27.6,1.87,+1217.5,1318,21.8,20/20,-39.5,◎採用
GBPUSD,2156,31.4,2.29,+1705.3,1805,22.3,20/20,-30.9,◎採用
AUDUSD,2058,31.0,2.20,+1552.1,1652,16.0,20/20,-32.6,◎採用
USDCAD,2819,30.2,2.32,+2155.6,2256,32.2,20/20,-35.3,○検討
USDCHF,2310,30.0,2.16,+1625.8,1726,10.2,20/20,-34.5,◎採用
NZDUSD,1747,33.3,2.47,+1493.0,1593,27.5,20/20,-28.0,○検討
USDJPY,1976,23.4,1.21,+396.1,496,32.8,15/20,-51.0,△保留
EURJPY,2206,29.9,2.11,+1638.1,1738,34.2,20/20,-37.1,○検討
GBPJPY,2146,29.6,2.15,+1616.0,1716,35.6,20/20,-38.4,○検討
EURGBP,2500,25.8,1.61,+1136.2,1236,19.5,20/20,-50.9,◎採用
