entry_time,exit_time,result,pnl,equity,tf,dir,pair
2025-01-02 06:00:00+00:00,2025-01-02 14:35:00+00:00,SL,10000.0,1010000.0,4h,1,US30
2025-01-02 12:00:00+00:00,2025-01-02 14:30:00+00:00,SL,-19556.14186173222,980443.8581382678,1h,1,US500
2025-01-02 12:00:00+00:00,2025-01-02 14:39:00+00:00,SL,-19542.296105381953,990457.7038946181,1h,1,US30
2025-01-03 11:00:00+00:00,2025-01-03 14:20:00+00:00,SL,-19566.975531561115,960876.8826067067,1h,-1,US500
2025-01-03 11:00:00+00:00,2025-01-03 14:19:00+00:00,SL,-19538.19225304602,970919.5116415721,1h,-1,US30
2025-01-03 15:00:00+00:00,2025-01-06 08:11:00+00:00,TP,34504.16770011318,995381.0503068198,1h,1,US500
2025-01-06 05:00:00+00:00,2025-01-06 07:34:00+00:00,TP,34465.33150628541,1029846.3818131052,1h,1,US500
2025-01-06 05:00:00+00:00,2025-01-06 06:45:00+00:00,TP,34517.87507500413,1005437.3867165763,1h,1,US30
2025-01-06 06:00:00+00:00,2025-01-06 11:26:00+00:00,TP,34493.4342724906,1064339.8160855959,4h,1,US500
2025-01-06 06:00:00+00:00,2025-01-06 11:02:00+00:00,SL,10000.000000000002,1015437.3867165763,4h,1,US30
2025-01-06 07:00:00+00:00,2025-01-06 11:43:00+00:00,SL,-19622.47050404131,980377.5294959587,1h,-1,XAUUSD
2025-01-06 08:00:00+00:00,2025-01-06 11:34:00+00:00,SL,-19620.548935345436,960756.9805606132,1h,-1,XAUUSD
2025-01-06 08:00:00+00:00,2025-01-06 10:47:00+00:00,SL,10000.0,1025437.3867165763,1h,1,US30
2025-01-06 09:00:00+00:00,2025-01-06 11:02:00+00:00,SL,-19612.49685215872,1005824.8898644176,1h,1,US30
2025-01-06 10:00:00+00:00,2025-01-06 19:57:00+00:00,SL,9997.366053843096,1074337.182139439,4h,1,US500
2025-01-06 10:00:00+00:00,2025-01-06 14:37:00+00:00,SL,10000.000000000002,1015824.8898644176,4h,1,US30
2025-01-06 12:00:00+00:00,2025-01-06 13:30:00+00:00,SL,-19614.523140590078,941142.4574200232,1h,1,XAUUSD
2025-01-06 12:00:00+00:00,2025-01-06 12:15:00+00:00,SL,-19730.463261001758,980269.5367389983,1h,1,XAGUSD
2025-01-06 14:00:00+00:00,2025-01-06 14:15:00+00:00,SL,-40537.36761256556,959462.6323874345,1h,1,NAS100
2025-01-07 05:00:00+00:00,2025-01-07 05:52:00+00:00,SL,10000.0,1025824.8898644176,1h,-1,US30
2025-01-07 06:00:00+00:00,2025-01-07 08:43:00+00:00,SL,-19620.766736411428,1006204.1231280062,4h,-1,US30
2025-01-07 08:00:00+00:00,2025-01-07 15:01:00+00:00,SL,9994.915042620689,1084332.0971820597,4h,1,US500
2025-01-07 09:00:00+00:00,2025-01-07 15:00:00+00:00,SL,9994.224124594019,1094326.3213066538,1h,1,US500
2025-01-07 10:00:00+00:00,2025-01-07 14:29:00+00:00,TP,34527.74608346414,1040731.8692114704,4h,1,US30
2025-01-07 10:00:00+00:00,2025-01-07 15:00:00+00:00,SL,9994.18506548305,1104320.5063721368,4h,1,US500
2025-01-07 11:00:00+00:00,2025-01-07 15:00:00+00:00,SL,9992.844364937557,1114313.3507370744,1h,1,US500
2025-01-07 11:00:00+00:00,2025-01-07 14:29:00+00:00,TP,34527.74608346298,1075259.6152949333,1h,1,US30
2025-01-07 12:00:00+00:00,2025-01-07 15:00:00+00:00,SL,9995.671623044846,1124309.0223601193,4h,1,US500
2025-01-07 12:00:00+00:00,2025-01-07 15:01:00+00:00,SL,10000.0,1085259.6152949333,4h,1,US30
2025-01-07 13:00:00+00:00,2025-01-07 14:31:00+00:00,TP,34493.992291237475,1158803.0146513567,1h,1,US500
2025-01-07 13:00:00+00:00,2025-01-07 14:30:00+00:00,TP,34531.943205170144,1119791.5585001034,1h,1,US30
2025-01-07 13:00:00+00:00,2025-01-07 15:01:00+00:00,SL,9994.030962784473,951136.4883828076,4h,1,XAUUSD
2025-01-08 07:00:00+00:00,2025-01-08 10:50:00+00:00,SL,-19720.441858428774,1139082.572792928,1h,-1,US500
2025-01-08 08:00:00+00:00,2025-01-08 12:31:00+00:00,TP,34589.45597279862,1173672.0287657266,4h,-1,US500
2025-01-08 10:00:00+00:00,2025-01-08 11:31:00+00:00,TP,34543.530883594925,1208215.5596493215,4h,-1,US500
2025-01-08 12:00:00+00:00,2025-01-08 13:23:00+00:00,SL,9996.846269728489,1218212.4059190499,4h,-1,US500
2025-01-08 12:00:00+00:00,2025-01-08 16:10:00+00:00,SL,10000.0,1129791.5585001034,4h,-1,US30
