entry_time,exit_time,result,pnl,equity,tf,dir,pair
2025-04-03 05:00:00+00:00,2025-04-04 14:15:00+00:00,TP,34109.7439869005,1034109.7439869005,1h,-1,XAUUSD
2025-04-03 05:00:00+00:00,2025-04-04 07:15:00+00:00,TP,34238.35901402032,1034238.3590140203,1h,-1,XAGUSD
2025-04-03 06:00:00+00:00,2025-04-03 14:46:00+00:00,SL,9995.467558421862,1044105.2115453224,1h,-1,XAUUSD
2025-04-03 07:00:00+00:00,2025-04-03 12:30:00+00:00,TP,34368.98618021668,1068607.345194237,1h,-1,XAGUSD
2025-04-03 07:00:00+00:00,2025-04-03 14:38:00+00:00,SL,9994.85626607059,1054100.067811393,1h,-1,XAUUSD
2025-04-03 08:00:00+00:00,2025-04-03 19:50:00+00:00,TP,34325.3406114428,1034325.3406114428,1h,-1,US30
2025-04-03 09:00:00+00:00,2025-04-03 12:30:00+00:00,TP,34363.98315794236,1102971.3283521794,1h,-1,XAGUSD
2025-04-03 09:00:00+00:00,2025-04-03 12:48:00+00:00,TP,34426.913354830656,1034426.9133548307,1h,-1,US500
2025-04-03 09:00:00+00:00,2025-04-03 14:21:00+00:00,TP,34381.98508591011,1068707.3256973529,1h,-1,US30
2025-04-03 09:00:00+00:00,2025-04-03 14:45:00+00:00,SL,9993.590411514455,1064093.6582229075,1h,-1,XAUUSD
2025-04-03 10:00:00+00:00,2025-04-03 14:25:00+00:00,SL,9994.815778047103,1074088.4740009545,1h,-1,XAUUSD
2025-04-03 10:00:00+00:00,2025-04-03 16:30:00+00:00,SL,9999.06964767061,1044425.9830025013,1h,-1,US500
2025-04-03 10:00:00+00:00,2025-04-03 16:30:00+00:00,SL,9989.868379393018,1078697.194076746,1h,-1,US30
2025-04-03 11:00:00+00:00,2025-04-09 17:19:00+00:00,SL,9996.6169379657,1084085.0909389202,1h,-1,XAUUSD
2025-04-03 12:00:00+00:00,2025-04-04 06:45:00+00:00,TP,34201.76716859097,1137173.0955207704,1h,-1,XAGUSD
2025-04-03 12:00:00+00:00,2025-04-04 10:20:00+00:00,TP,34330.78074379893,1113027.974820545,4h,-1,US30
2025-04-03 12:00:00+00:00,2025-04-03 16:21:00+00:00,SL,9999.252411307298,1054425.2354138086,4h,-1,US500
2025-04-03 13:00:00+00:00,2025-04-04 09:27:00+00:00,TP,34316.678735119654,1147344.6535556647,1h,-1,US30
2025-04-03 13:00:00+00:00,2025-04-04 10:20:00+00:00,TP,34350.06152041186,1088775.2969342205,1h,-1,US500
2025-04-03 13:00:00+00:00,2025-04-09 13:36:00+00:00,SL,9997.805139369006,1094082.8960782893,4h,-1,XAUUSD
2025-04-04 05:00:00+00:00,2025-04-04 11:26:00+00:00,TP,34386.79790073895,1123162.0948349594,1h,-1,US500
2025-04-04 05:00:00+00:00,2025-04-04 10:45:00+00:00,TP,34349.70417763105,1181694.3577332958,1h,-1,US30
2025-04-04 08:00:00+00:00,2025-04-04 10:45:00+00:00,TP,34382.64104655247,1157544.7358815118,4h,-1,US500
2025-04-04 08:00:00+00:00,2025-04-04 10:29:00+00:00,TP,34314.78693916579,1216009.1446724616,4h,-1,US30
2025-04-04 12:00:00+00:00,2025-04-06 22:06:00+00:00,TP,34497.665816589484,1192042.4016981013,1h,-1,US500
2025-04-04 14:00:00+00:00,2025-04-06 22:06:00+00:00,TP,34497.484149412536,1226539.8858475138,1h,-1,US500
2025-04-04 14:00:00+00:00,2025-04-04 15:13:00+00:00,SL,9995.02656016697,1226004.1712326286,1h,-1,US30
2025-04-11 05:00:00+00:00,2025-04-16 17:47:00+00:00,SL,9999.64579660187,1236539.5316441157,1h,1,US500
2025-04-11 05:00:00+00:00,2025-04-16 18:43:00+00:00,SL,9995.3407190217,1235999.5119516503,1h,1,US30
2025-04-11 08:00:00+00:00,2025-04-16 18:53:00+00:00,SL,9995.767204765489,1245995.2791564157,4h,1,US30
2025-04-11 08:00:00+00:00,2025-04-16 17:45:00+00:00,SL,9999.695584342171,1246539.2272284578,4h,1,US500
2025-04-11 13:00:00+00:00,2025-04-14 11:25:00+00:00,TP,33814.01019748572,1279809.2893539015,1h,1,US30
2025-04-14 10:00:00+00:00,2025-04-14 11:53:00+00:00,SL,9984.449169089265,1289793.7385229908,1h,1,US30
2025-04-14 11:00:00+00:00,2025-04-14 15:46:00+00:00,SL,-19222.019478655842,1270571.719044335,1h,1,US30
2025-04-15 05:00:00+00:00,2025-04-15 09:44:00+00:00,SL,9971.581763484814,1280543.3008078197,1h,1,US30
2025-04-15 07:00:00+00:00,2025-04-15 09:41:00+00:00,SL,9965.136458082072,1290508.4372659018,1h,1,US30
2025-04-15 08:00:00+00:00,2025-04-15 22:00:00+00:00,SL,-19135.100164629242,1271373.3371012725,4h,1,US30
2025-04-15 10:00:00+00:00,2025-04-15 11:46:00+00:00,SL,-19220.62018881279,1252152.7169124598,1h,1,US30
2025-04-15 11:00:00+00:00,2025-04-15 11:36:00+00:00,SL,-22520.8406694095,977479.1593305905,1h,1,NAS100
2025-04-15 12:00:00+00:00,2025-04-15 12:06:00+00:00,SL,9866.202756581743,1262018.9196690416,4h,1,US30
2025-04-15 14:00:00+00:00,2025-04-15 22:00:00+00:00,SL,-19746.70509387926,957732.4542367113,4h,1,NAS100
2025-04-17 09:00:00+00:00,2025-04-17 09:02:00+00:00,SL,-20430.063799816315,1073652.8322784728,1h,1,XAUUSD
2025-04-17 11:00:00+00:00,2025-04-17 12:03:00+00:00,SL,-20743.978221843023,936988.4760148682,1h,-1,NAS100
2025-04-21 06:00:00+00:00,2025-04-21 11:03:00+00:00,SL,9969.17471845271,1271988.0943874943,1h,-1,US30
2025-04-21 06:00:00+00:00,2025-04-21 13:56:00+00:00,TP,33497.0341435148,1280036.2613719725,1h,-1,US500
2025-04-21 08:00:00+00:00,2025-04-21 17:47:00+00:00,TP,33459.21565818793,1305447.3100456821,4h,-1,US30
2025-04-21 09:00:00+00:00,2025-04-21 22:20:00+00:00,TP,33420.189925865576,1107073.0222043383,4h,1,XAUUSD
2025-04-21 14:00:00+00:00,2025-04-21 23:52:00+00:00,SL,9816.579290586482,946805.0553054548,1h,-1,NAS100
2025-04-22 05:00:00+00:00,2025-04-22 13:40:00+00:00,SL,-18728.206357475432,1088344.815846863,4h,1,XAUUSD
2025-04-22 10:00:00+00:00,2025-04-22 16:30:00+00:00,SL,9968.805743288014,1147141.9012640584,1h,1,XAGUSD
2025-04-22 12:00:00+00:00,2025-04-22 13:00:00+00:00,SL,-18974.49704040143,1128167.404223657,1h,1,XAGUSD
2025-04-22 13:00:00+00:00,2025-04-22 16:30:00+00:00,SL,9976.583298986316,1138143.9875226433,4h,1,XAGUSD
2025-04-23 05:00:00+00:00,2025-04-23 11:04:00+00:00,TP,32301.213087981916,979106.2683934367,1h,1,NAS100
2025-04-23 06:00:00+00:00,2025-04-23 11:04:00+00:00,TP,32236.95607598892,1011343.2244694256,1h,1,NAS100
2025-04-23 06:00:00+00:00,2025-04-24 00:11:00+00:00,SL,9995.389231726029,1098340.205078589,1h,-1,XAUUSD
2025-04-23 08:00:00+00:00,2025-04-23 13:33:00+00:00,TP,32331.12336046584,1043674.3478298915,1h,1,NAS100
2025-04-23 10:00:00+00:00,2025-05-12 01:13:00+00:00,TP,34163.01316287147,1077837.360992763,4h,1,NAS100
2025-04-23 13:00:00+00:00,2025-04-23 22:07:00+00:00,SL,9995.368656877547,1108335.5737354667,1h,-1,XAUUSD
2025-04-23 13:00:00+00:00,2025-04-23 15:48:00+00:00,SL,-18922.30823904508,1261113.9531329274,1h,1,US500
2025-04-23 14:00:00+00:00,2025-04-23 15:47:00+00:00,SL,-18948.279177587294,1286499.0308680949,1h,1,US30
2025-04-23 14:00:00+00:00,2025-04-23 15:48:00+00:00,SL,-18921.05625353482,1242192.8968793927,1h,1,US500
2025-04-24 08:00:00+00:00,2025-04-24 14:19:00+00:00,SL,-19037.525398795133,1267461.5054692999,4h,-1,US30
2025-04-24 09:00:00+00:00,2025-04-24 10:53:00+00:00,SL,-19081.06306750722,1248380.4424017926,1h,-1,US30
2025-04-24 13:00:00+00:00,2025-04-24 17:17:00+00:00,SL,9991.14932150365,1118326.7230569704,1h,-1,XAUUSD
2025-04-25 06:00:00+00:00,2025-04-28 18:23:00+00:00,SL,-19051.944381359262,1099274.7786756111,1h,-1,XAUUSD
2025-04-25 13:00:00+00:00,2025-04-25 17:38:00+00:00,SL,9991.194472253837,1109265.973147865,1h,-1,XAUUSD
2025-04-25 13:00:00+00:00,2025-04-29 02:15:00+00:00,SL,9964.944523872513,1148108.9320465159,4h,-1,XAGUSD
2025-04-25 15:00:00+00:00,2025-04-25 19:40:00+00:00,SL,-19208.278140886367,1090057.6950069785,1h,-1,XAUUSD
2025-04-28 05:00:00+00:00,2025-04-28 06:39:00+00:00,TP,29946.30532050259,1107783.6663132655,1h,1,NAS100
2025-04-28 05:00:00+00:00,2025-04-28 05:43:00+00:00,SL,-19564.364391203806,1228816.078010589,1h,1,US30
2025-04-28 06:00:00+00:00,2025-04-28 06:38:00+00:00,TP,29355.84996215743,1137139.5162754229,1h,1,NAS100
2025-04-28 06:00:00+00:00,2025-04-28 11:46:00+00:00,SL,9988.905341849613,1100046.6003488281,1h,-1,XAUUSD
2025-04-28 07:00:00+00:00,2025-04-28 14:24:00+00:00,SL,-19170.393846849664,1080876.2065019784,1h,-1,XAUUSD
2025-04-28 07:00:00+00:00,2025-04-28 13:56:00+00:00,SL,9696.62158634017,1146836.1378617631,1h,1,NAS100
2025-04-28 08:00:00+00:00,2025-04-28 10:56:00+00:00,SL,9997.661307162303,1252190.558186555,1h,1,US500
2025-04-28 08:00:00+00:00,2025-04-28 13:22:00+00:00,TP,33787.12489623115,1262603.20290682,1h,1,US30
2025-04-28 10:00:00+00:00,2025-04-28 15:23:00+00:00,SL,9985.450412048891,1272588.653318869,1h,1,US30
2025-04-28 10:00:00+00:00,2025-04-28 14:00:00+00:00,SL,9998.630421756761,1262189.1886083118,1h,1,US500
2025-04-28 12:00:00+00:00,2025-04-28 14:00:00+00:00,SL,9998.79178195982,1272187.9803902716,4h,1,US500
2025-04-28 12:00:00+00:00,2025-04-28 15:25:00+00:00,SL,9985.138620512364,1282573.7919393813,4h,1,US30
2025-04-29 05:00:00+00:00,2025-04-29 07:15:00+00:00,TP,33352.3242730109,1181461.2563195268,1h,1,XAGUSD
2025-04-29 07:00:00+00:00,2025-04-29 15:15:00+00:00,SL,9962.971008283035,1191424.22732781,1h,1,XAGUSD
2025-04-29 07:00:00+00:00,2025-04-29 07:03:00+00:00,SL,9811.804242806282,1292385.5961821876,1h,1,US30
2025-04-29 07:00:00+00:00,2025-04-29 07:52:00+00:00,TP,29701.70891602737,1176537.8467777905,1h,1,NAS100
