symbol,entry_time,exit_time,dir,ep,sl,tp,exit_price,result,lot,eff_risk,half_pnl,equity_after,pnl_delta,month
EURGBP,2025-03-05 04:00:00+00:00,2025-03-05 07:09:00+00:00,1,0.83047,0.8300313214285714,0.8313916964285717,0.83047,BE,413070.5093880561,0.02,10000.0,1010000.0,10000.0,2025-03
AUDUSD,2025-03-05 06:00:00+00:00,2025-03-05 07:36:00+00:00,1,0.625461,0.6244939642857144,0.6278750892857141,0.6278750892857141,TP,138021.12216102384,0.02,10000.0,1034989.6484158371,34989.64841583709,2025-03
EURJPY,2025-03-05 13:00:00+00:00,2025-03-05 15:15:00+00:00,1,159.92010000000002,159.39839642857143,161.21700892857143,159.92010000000002,BE,38490.882472214085,0.02,10000.0,1010000.0,10000.0,2025-03
US30,2025-03-05 13:00:00+00:00,2025-03-05 16:29:00+00:00,-1,42756.5,42880.31017857143,42457.47455357142,42457.47455357142,TP,1.1036597653441689,0.02,10000.0,1034751.6765527979,34751.6765527979,2025-03
AUDUSD,2025-03-05 17:00:00+00:00,2025-03-05 19:55:00+00:00,1,0.630981,0.6298384285714286,0.6338339285714285,0.6338339285714285,TP,120884.78770134714,0.02,10349.896484158371,1071205.2197513136,36215.571335476474,2025-03
EURGBP,2025-03-05 20:00:00+00:00,2025-03-06 07:55:00+00:00,1,0.83671,0.8355293214285714,0.8394866964285714,0.83671,BE,148715.6002243624,0.02,10551.930272292038,1065744.9575014962,10551.930272292113,2025-03
EURJPY,2025-03-05 21:00:00+00:00,2025-03-06 07:00:00+00:00,1,160.6781,160.36621428571428,161.45046428571425,160.6781,BE,65858.42748443727,0.02,10201.0,1030301.0,10201.0,2025-03
US30,2025-03-06 02:00:00+00:00,2025-03-06 10:12:00+00:00,-1,42996.8,43074.13589285714,42813.960267857154,42813.960267857154,TP,1.8559929114215044,0.02,10347.516765527978,1070550.386827076,35798.710274278186,2025-03
USDJPY,2025-03-06 07:00:00+00:00,2025-03-06 13:24:00+00:00,-1,148.7798,149.35055714285716,147.36760714285708,147.36760714285708,TP,36526.91286627238,0.02,10347.291695453929,1070867.9839624625,36138.81441706966,2025-03
EURGBP,2025-03-06 09:00:00+00:00,2025-03-06 13:16:00+00:00,1,0.83765,0.8363107857142856,0.840823035714286,0.840823035714286,TP,131584.37469999245,0.02,10657.449575014962,1102632.6998210456,36887.742319549434,2025-03
EURGBP,2025-03-06 14:00:00+00:00,2025-03-06 18:07:00+00:00,1,0.83943,0.8373726071428571,0.8443984821428573,0.8373726071428571,SL,91158.6643115951,0.02,0.0,1128447.4356836362,-23615.161832189653,2025-03
USDJPY,2025-03-06 14:00:00+00:00,2025-03-06 15:21:00+00:00,-1,147.4178,148.1227267857143,145.67018303571427,148.1227267857143,SL,29948.87480725196,0.02,0.0,1028187.1749186387,-21111.76405363588,2025-03
EURJPY,2025-03-06 20:00:00+00:00,2025-03-07 15:41:00+00:00,1,159.53910000000002,159.03580357142857,160.78999107142857,159.53910000000002,BE,40689.30607752165,0.02,10196.667443551873,1029863.411798739,10196.667443551822,2025-03
EURGBP,2025-03-07 01:00:00+00:00,2025-03-07 04:37:00+00:00,1,0.83747,0.8368280714285714,0.8388998214285717,0.8388998214285717,TP,303515.9432053435,0.02,11284.474356836361,1166989.900318978,38542.46463534166,2025-03
US30,2025-03-07 05:00:00+00:00,2025-03-07 11:03:00+00:00,-1,42664.0,42733.99589285714,42499.51026785714,42664.0,BE,2.255163222862184,0.02,11331.500524068346,1144481.5529309027,11331.500524068251,2025-03
USDJPY,2025-03-07 05:00:00+00:00,2025-03-07 14:53:00+00:00,-1,147.6718,148.17878571428574,146.4190357142856,147.6718,BE,41308.6138751201,0.02,10384.69046667825,1048853.7371345034,10384.690466678352,2025-03
