entry_time,exit_time,dir,ep,exit_price,result,equity,tf
2025-03-05 06:00:00+00:00,2025-03-05 07:26:00+00:00,1,0.56507,0.5668923214285715,win,1034863.5610564279,1h
2025-03-05 17:00:00+00:00,2025-03-05 19:40:00+00:00,1,0.57044,0.5722248214285715,win,1070939.6399382064,1h
2025-03-06 00:00:00+00:00,2025-03-06 00:25:00+00:00,1,0.5727899999999999,0.5723006428571429,loss,1049074.0238654423,1h
2025-03-06 12:00:00+00:00,2025-03-06 13:35:00+00:00,1,0.57372,0.57372,loss,1059564.7641040967,1h
2025-03-06 14:00:00+00:00,2025-03-06 16:19:00+00:00,1,0.57375,0.5755129464285715,win,1096500.1235183612,1h
2025-03-06 15:00:00+00:00,2025-03-06 15:26:00+00:00,1,0.57416,0.57416,loss,1107465.1247535448,1h
2025-03-07 19:00:00+00:00,2025-03-10 07:18:00+00:00,1,0.5701499999999999,0.5728574107142858,win,1146124.5180561994,1h
2025-03-10 06:00:00+00:00,2025-03-10 09:46:00+00:00,1,0.5719099999999999,0.5740685714285713,win,1186106.7472088125,1h
2025-03-10 10:00:00+00:00,2025-03-10 15:44:00+00:00,1,0.57404,0.5723385000000001,loss,1162244.3690784462,1h
2025-03-10 23:00:00+00:00,2025-03-11 07:43:00+00:00,-1,0.56881,0.5703721428571428,loss,1138849.7217229516,1h
2025-03-11 12:00:00+00:00,2025-03-11 14:01:00+00:00,1,0.5704699999999999,0.5704699999999999,loss,1150238.2189401812,1h
2025-03-12 01:00:00+00:00,2025-03-12 07:42:00+00:00,-1,0.5708500000000001,0.5708500000000001,loss,1161740.601129583,1h
2025-03-12 03:00:00+00:00,2025-03-12 08:39:00+00:00,-1,0.5704100000000001,0.5714459642857143,loss,1138279.3210676452,1h
2025-03-12 05:00:00+00:00,2025-03-12 12:01:00+00:00,1,0.57048,0.57048,loss,1149662.1142783216,1h
2025-03-12 08:00:00+00:00,2025-03-12 10:01:00+00:00,1,0.5707899999999999,0.5707899999999999,loss,1161158.7354211048,1h
2025-03-12 15:00:00+00:00,2025-03-13 06:37:00+00:00,1,0.57131,0.57131,loss,1172770.322775316,1h
2025-03-12 19:00:00+00:00,2025-03-13 00:22:00+00:00,1,0.5727899999999999,0.5741245535714284,win,1213599.2246459457,1h
2025-03-12 20:00:00+00:00,2025-03-13 04:42:00+00:00,1,0.57287,0.57287,loss,1225735.2168924052,1h
2025-03-13 00:00:00+00:00,2025-03-13 04:43:00+00:00,1,0.5737599999999999,0.5728189642857143,loss,1200957.2068192174,1h
2025-03-13 09:00:00+00:00,2025-03-13 12:30:00+00:00,-1,0.5705300000000001,0.5705300000000001,loss,1212966.7788874095,1h
2025-03-13 12:00:00+00:00,2025-03-13 12:30:00+00:00,-1,0.56971,0.5704227142857143,loss,1188362.2199938584,1h
2025-03-13 20:00:00+00:00,2025-03-13 22:52:00+00:00,-1,0.5701900000000001,0.5701900000000001,loss,1200245.842193797,1h
2025-03-14 06:00:00+00:00,2025-03-14 12:06:00+00:00,1,0.5713699999999999,0.573313839285714,win,1242100.871367461,1h
2025-03-14 08:00:00+00:00,2025-03-14 20:24:00+00:00,1,0.57229,0.5753771428571428,win,1285474.140032994,1h
2025-03-14 15:00:00+00:00,2025-03-17 07:07:00+00:00,1,0.5742299999999999,0.5767696428571427,win,1330339.6904043793,1h
2025-03-14 17:00:00+00:00,2025-03-14 20:58:00+00:00,1,0.5746199999999999,0.5746199999999999,loss,1343643.0873084231,1h
2025-03-14 19:00:00+00:00,2025-03-14 20:26:00+00:00,1,0.5746699999999999,0.5754656249999999,win,1390253.638626498,1h
2025-03-14 20:00:00+00:00,2025-03-17 00:01:00+00:00,1,0.5750099999999999,0.5750099999999999,loss,1404156.175012763,1h
2025-03-16 22:00:00+00:00,2025-03-16 22:09:00+00:00,1,0.57468,0.5754201785714287,win,1452833.7004943134,1h
2025-03-16 23:00:00+00:00,2025-03-17 09:58:00+00:00,1,0.57539,0.5778933928571428,win,1503538.3707980674,1h
2025-03-17 04:00:00+00:00,2025-03-17 05:35:00+00:00,1,0.5759599999999999,0.5754290000000001,loss,1472890.4293434145,1h
