strategy,engine,timeframe,total_return_pct,total_pnl,end_value,max_drawdown_pct,win_rate_pct,profit_factor,rr_ratio,total_trades,wins,losses,avg_win,avg_loss,avg_duration_hours,exit_reasons,passed
YagamiA_1h_dynSL,yagami_v3,1h,-35.17,-1758311.41,3241689.0,40.42,15.91,0.2616,1.38,44,7,37,88978.99,-64355.79,8.5,"{'take_profit': 4, 'stop_loss': 26, 'signal': 13, 'end_of_data': 1}",False
YagamiA_1h_fixSL,yagami_v3,1h,-21.99,-1099557.08,3900443.0,26.17,21.88,0.2308,0.82,32,7,25,47123.06,-57176.74,18.0,"{'signal': 17, 'stop_loss': 13, 'take_profit': 1, 'end_of_data': 1}",False
YagamiB_1h_dynSL,yagami_v3,1h,-71.58,-3579019.32,1420981.0,72.56,19.59,0.2705,1.11,148,29,119,45761.03,-41227.64,3.8,"{'stop_loss': 61, 'signal': 79, 'take_profit': 7, 'end_of_data': 1}",False
YagamiB_1h_fixSL,yagami_v3,1h,-56.62,-2831199.87,2168800.0,56.92,24.19,0.1669,0.52,124,30,94,18905.87,-36152.94,5.2,"{'signal': 100, 'stop_loss': 23, 'end_of_data': 1}",False
Yagami_DblBottom_1h_dynSL,yagami_v3,1h,-19.67,-983487.95,4016512.0,20.88,20.0,0.0979,0.39,15,3,12,35593.83,-90855.79,19.9,"{'stop_loss': 12, 'signal': 2, 'end_of_data': 1}",False
Yagami_DblBottom_1h_fixSL,yagami_v3,1h,-8.81,-440473.88,4559526.0,9.6,36.36,0.1708,0.3,11,4,7,22686.84,-75888.75,45.3,"{'signal': 5, 'stop_loss': 5, 'end_of_data': 1}",False
Yagami_PatternBrk_1h_dynSL,yagami_v3,1h,-22.84,-1141979.1,3858021.0,22.84,0.0,0.0,0.0,17,0,17,0.0,-67175.24,17.9,"{'stop_loss': 11, 'signal': 6}",False
Yagami_PatternBrk_1h_fixSL,yagami_v3,1h,-24.69,-1234285.88,3765714.0,24.69,0.0,0.0,0.0,18,0,18,0.0,-68571.44,18.8,"{'stop_loss': 12, 'signal': 6}",False
Yagami_LonNY_1h_dynSL,yagami_v3,1h,-62.75,-3137320.91,1862679.0,64.29,16.67,0.2106,1.05,96,16,80,52314.93,-49679.5,5.0,"{'signal': 44, 'stop_loss': 47, 'take_profit': 4, 'end_of_data': 1}",False
Yagami_LonNY_1h_fixSL,yagami_v3,1h,-52.66,-2632979.89,2367020.0,53.55,20.24,0.0966,0.38,84,17,67,16565.49,-43501.39,6.7,"{'signal': 57, 'stop_loss': 26, 'end_of_data': 1}",False
YagamiA_4h_1h_dynSL,yagami_v3,1h,-23.08,-1154064.75,3845935.0,23.08,14.29,0.2211,1.33,21,3,18,109217.62,-82317.65,12.4,"{'stop_loss': 16, 'take_profit': 1, 'signal': 4}",False
YagamiA_4h_1h_fixSL,yagami_v3,1h,-13.52,-675901.9,4324098.0,14.05,29.41,0.327,0.78,17,5,12,65682.62,-83692.91,30.3,"{'signal': 6, 'stop_loss': 10, 'take_profit': 1}",False
YagamiB_4h_1h_dynSL,yagami_v3,1h,-68.88,-3443797.06,1556203.0,69.52,18.52,0.2604,1.15,135,25,110,48491.69,-42328.08,4.2,"{'stop_loss': 58, 'take_profit': 7, 'signal': 69, 'end_of_data': 1}",False
YagamiB_4h_1h_fixSL,yagami_v3,1h,-52.24,-2612229.52,2387770.0,52.06,24.55,0.1707,0.52,110,27,83,19917.22,-37951.74,5.9,"{'stop_loss': 22, 'signal': 87, 'end_of_data': 1}",False
Yagami_LonNY_4h_1h_dynSL,yagami_v3,1h,-58.66,-2933037.79,2066962.0,59.58,17.72,0.1762,0.82,79,14,65,44821.58,-54777.54,6.0,"{'stop_loss': 42, 'take_profit': 3, 'signal': 33, 'end_of_data': 1}",False
