timestamp,strategy_name,parameters,timeframe,sharpe_ratio,profit_factor,max_drawdown,win_rate,trades
2026-03-01T05:11:01Z,Union_4H_test,4h,4h,-0.946,0.599,44.45,34.69,49
2026-03-01T05:11:39Z,YagamiA_4H,4h,4h,0.668,1.1076,49.9,40.24,164
2026-03-01T05:11:43Z,YagamiB_4H,4h,4h,0.458,1.0138,65.17,43.48,529
2026-03-01T05:12:00Z,YagamiFull_1H,1h,1h,0.748,1.1958,30.8,35.66,129
2026-03-01T05:12:16Z,YagamiFull_1H_S,1h,1h,0.666,1.1627,30.52,35.54,121
2026-03-01T05:12:16Z,DC30_EMA200,4h,4h,1.414,2.4948,10.52,57.89,19
2026-03-01T05:12:17Z,DC30_EMA200+USD,4h,4h,1.414,2.4948,10.52,57.89,19
2026-03-01T05:12:17Z,Union_4H,4h,4h,2.817,3.6245,9.82,66.67,21
2026-03-01T05:12:21Z,YagamiB_4H+USD,4h,4h,0.154,0.9687,66.16,40.43,423
2026-03-01T05:42:09Z,Union_全期間,4h,4h,2.817,3.6245,9.82,66.67,21
2026-03-01T06:08:47Z,Union_4H_Base,4h,4h,2.817,3.6245,9.82,66.67,21
2026-03-01T06:08:47Z,Union_4H+VolSizer,4h,4h,2.656,3.5468,11.89,66.67,21
2026-03-01T06:08:47Z,Union_4H+Kelly,4h,4h,2.798,3.5657,22.83,66.67,21
2026-03-01T06:08:49Z,MetaStrategy_4H,4h,4h,0.581,1.2636,25.97,43.48,23
2026-03-01T06:10:13Z,Union_4H_Base,4h,4h,2.817,3.624,9.8,66.7,21
2026-03-01T06:10:13Z,Union_4H+VolSizer,4h,4h,2.656,3.547,11.9,66.7,21
2026-03-01T06:10:13Z,Union_4H+Kelly,4h,4h,2.798,3.566,22.8,66.7,21
2026-03-01T06:10:13Z,MetaStrategy_4H,4h,4h,0.581,1.264,26.0,43.5,23
