filter,trades,wr,pf,total_pnl,avg_pnl,p_value,plus_months,mdd
v76_baseline,373,56.56836461126006,2.1695986841595243,8227.419553571981,22.057425076600484,4.289160938744776e-07,12/12,460.9266964285607
A_KMID_align,354,68.64406779661016,3.5414564030020697,11835.454910714805,33.43348844834691,9.262382364496753e-16,12/12,315.8260714285607
B_KSFT_align,356,66.29213483146067,3.3750750146413715,11256.082321429081,31.618208768059215,7.081218864967119e-15,12/12,307.07142857142753
C_RSV5_dir,346,58.95953757225434,2.213552551484698,8142.883660714802,23.53434584021619,4.3003384000564013e-07,12/12,455.32526785713117
D_RSV5_extreme,365,57.26027397260274,2.2178199694754364,8363.96580357197,22.914974804306766,2.6045465068142293e-07,12/12,460.9266964285607
E_KLOW_small,385,59.74025974025974,2.4037934960918985,8738.636071429135,22.697756029686065,4.225880783763929e-09,11/12,320.710357142832
F_ADX_min,371,58.760107816711596,2.2542840089594214,8042.57276785766,21.67809371390205,6.887060749298404e-08,11/12,516.0625892856928
G_RSQR20_low,268,59.32835820895522,2.6854563727488654,7834.225446428996,29.23218450160073,1.7497624410367146e-07,12/12,383.7429464285624
H_SUMP14_align,360,58.05555555555556,2.3483715825996914,8789.700625000529,24.41583506944591,4.7239445477312896e-08,12/12,479.41678571427246
I_BB_POS_align,373,56.56836461126006,2.1695986841595243,8227.419553571981,22.057425076600484,4.289160938744776e-07,12/12,460.9266964285607
J_KMID_RSV5,354,68.64406779661016,3.5414564030020697,11835.454910714805,33.43348844834691,9.262382364496753e-16,12/12,315.8260714285607
K_KMID_KSFT,346,69.94219653179191,3.8833463623279147,11960.86214285766,34.56896573080249,1.0845370069139686e-17,12/12,307.07142857142844
L_KMID_KLOW,327,76.14678899082568,4.961867362395961,12550.527946429062,38.38081940803994,3.848475143470135e-22,12/12,222.5508928571344
M_KMID_loose,349,62.46418338108882,2.856940819256718,10160.685089286271,29.113710857553787,7.804209515750715e-11,12/12,315.82607142856114
