factor,win_mean,loss_mean,t_stat,p_value,corr,ic,n_valid,abs_ic
KLOW,0.0008871489432374055,0.0011876994044320638,-2.9757763741184933,0.0031471152279904306,-0.035265810621625614,-0.14884844260920643,373,0.14884844260920643
KSFT,-0.00020333102389591545,0.0004131900177676303,-2.2993051407516183,0.022079326450947446,-0.05775580617570068,-0.12326891248417637,373,0.12326891248417637
RSQR20,0.40102786314683597,0.46048137490531077,-1.9085659786785982,0.057167352483813605,-0.1361827836938342,-0.12176124378049893,373,0.12176124378049893
KLEN,0.003695029937996234,0.0034730764478747445,0.9708870167246672,0.3323697211901917,0.09230741841361706,0.11956864950929197,373,0.11956864950929197
STD5,0.0023516982750940857,0.00230478257640891,0.2761467412559442,0.7826217191180566,0.11118947796076893,0.10056531795455036,373,0.10056531795455036
RSQR5,0.5630122550909368,0.5141572999686301,1.4361508105163214,0.15185482327679284,0.09955669735361272,0.0947154708892694,373,0.0947154708892694
ADX14,34.6561264276734,36.86937569300444,-1.4702932628547305,0.14244029442971823,-0.08774256565578507,-0.09054001478768914,373,0.09054001478768914
IMXD20,-0.054265402843601894,-0.07993827160493827,0.40884854565157003,0.6829063895040415,0.09137478097936332,0.07474517159165149,373,0.07474517159165149
KMID,-0.00013769093338085727,0.00019407094281834503,-1.3887370111611363,0.16577042200041353,-0.04253643123577155,-0.0677786108752534,373,0.0677786108752534
BETA20,-3.390594925365721e-05,-8.000699272583665e-05,0.7399605918319346,0.45984559044097184,0.04106860559438472,0.06695586773910552,373,0.06695586773910552
IMIN20,0.4943127962085308,0.5175925925925926,-0.6646335641211548,0.5067371204605721,-0.05890913764950314,-0.06665707275163815,373,0.06665707275163815
RSQR10,0.3894561100861012,0.43301213422232926,-1.3982495740926841,0.16292088445087005,-0.04308492611074439,-0.0659231609245927,373,0.0659231609245927
PLUS_DI14,20.741813961879906,20.32828675770234,0.402494274143095,0.6875735486967941,0.08268606853328024,0.06438427515419802,373,0.06438427515419802
IMAX20,0.4400473933649289,0.4376543209876543,0.0649647569912426,0.9482392339999403,0.09937939129229524,0.06365975126703045,373,0.06365975126703045
IMIN5,0.3914691943127962,0.35185185185185186,1.1701994574240735,0.2427279850454544,0.024181559067690393,0.060912769571082895,373,0.060912769571082895
VMA10,1.0845809324145324,61.50219825055673,-1.000410994929576,0.31861285421406443,-0.028054945773065932,-0.060825992023494285,373,0.060825992023494285
VRATIO10,1.0433200930106519,1.0176541636825922,0.654611466774821,0.5131618515769762,0.04683119279085318,0.060825992023494285,373,0.060825992023494285
CNTN5,0.4777251184834123,0.4703703703703704,0.3088124914706016,0.757640585411743,0.03359311078315327,0.05564050048806272,373,0.05564050048806272
STD20,0.00397470493815829,0.004304369139339246,-1.5092005592285136,0.13215403239938842,0.0038365548746572466,-0.05519859546326514,373,0.05519859546326514
BB_WIDTH20,0.007947709410643836,0.008605278679180426,-1.5080207307202476,0.13245445528214278,0.003748010306358814,-0.0538104765632382,373,0.0538104765632382
CNTD5,0.044549763033175364,0.05679012345679012,-0.25739658123378345,0.7970177552990538,-0.03198053179661728,-0.053339923525459666,373,0.053339923525459666
IMXD10,0.04123222748815166,-0.02345679012345679,1.0539015420452196,0.2926509458784623,0.06563706055759515,0.052959908580701535,373,0.052959908580701535
IMAX10,0.4720379146919431,0.4253086419753086,1.3020075197904708,0.1937855423348287,0.056923455855619656,0.0524103882436469,373,0.0524103882436469
CNTP5,0.5222748815165877,0.5271604938271605,-0.20553628578861402,0.8372677689670801,-0.030333600602836255,-0.050772675021363234,373,0.050772675021363234
RSV5,0.5115577345564215,0.5450274133467082,-1.0930387192748743,0.2750892653192237,-0.01925513041998691,-0.04545216475907798,373,0.04545216475907798
ROC3,-0.0001633247107972904,0.0004477057213099588,-1.2013160686146478,0.23042061284098111,-0.06624545715012553,-0.042530478551874855,373,0.042530478551874855
STD10,0.0028990234313509885,0.003109758073930256,-1.1199544686675424,0.26351054144097164,0.028864605601637068,-0.041955159574152544,373,0.041955159574152544
ROC5,-7.5077244956683706e-06,0.0005815566218316605,-0.9209554119747247,0.3577151796707826,-0.0057723577555944955,-0.041691317551008994,373,0.041691317551008994
IMAX5,0.4227488151658768,0.39876543209876547,0.7262980267507786,0.4681469280314752,0.029746329644993515,0.039428159597073686,373,0.039428159597073686
VMA20,1.083231605999898,60.85208966714247,-1.0000629842819526,0.318780709533692,-0.02804590712916933,-0.03820124949202073,373,0.03820124949202073
VRATIO20,1.0429263261823374,1.0310758424444373,0.3028054765810886,0.762221327930086,0.04794088458664676,0.03820124949202073,373,0.03820124949202073
CNTN20,0.4822274881516588,0.4787037037037037,0.3127641970465002,0.7546510439470695,0.0469192516915984,0.03657062130043322,373,0.03657062130043322
IMIN10,0.4308056872037915,0.44876543209876546,-0.529867519381202,0.5965335029074836,-0.058749073418986386,-0.036013072958381735,373,0.036013072958381735
KUP,0.0009527890337524639,0.0009685803294827782,-0.1735427500547877,0.8623203863673748,0.018977440166460538,-0.03572645046720469,373,0.03572645046720469
BETA10,3.264581112898269e-05,-5.341733794554904e-06,0.4164851314144795,0.6773170376269058,0.043283627271945645,0.03566041149876802,373,0.03566041149876802
EMA_DEV10,-7.473505659629855e-05,0.00015114509663921184,-0.5923046967981919,0.5540170147594256,-0.005112739726607343,-0.03439924200339122,373,0.03439924200339122
CNTD20,0.03483412322274881,0.040123456790123455,-0.2354829549574356,0.813974961113253,-0.04642214522385266,-0.033375629130601714,373,0.033375629130601714
ROC10,0.00028970641709653915,-9.216300409524853e-05,0.4797260246504662,0.6317163464348289,0.03526826098753014,0.0333098819937249,373,0.0333098819937249
SUMP10,0.5160017576235942,0.5041158971924359,0.5847109425563161,0.5591143480561083,0.052649437044147866,0.031965584453780414,373,0.031965584453780414
CNTP20,0.5170616113744075,0.5188271604938272,-0.15742848112219857,0.8750000107765916,-0.045850540743601995,-0.029202507263237094,373,0.029202507263237094
SUMP5,0.5029851164818745,0.5236717605071446,-0.7041589149471765,0.4817896867863398,-0.0044080433476144576,-0.02853671618707677,373,0.02853671618707677
BETA5,-3.226085299838834e-05,0.00013792503730789297,-1.1086466911006807,0.26835752293357057,-0.02454232917046733,-0.026072840978541977,373,0.026072840978541977
ROC20,-0.000857116595415654,-0.0008738422057900029,0.01474760397499604,0.9882424132066102,0.020619688439772393,0.020434807491875838,373,0.020434807491875838
VRATIO5,1.0265749182056463,1.016573227790954,0.26486913899759884,0.7912795493251822,0.025965948931455856,0.0201758214568883,373,0.0201758214568883
VMA5,1.097489572034437,48.55892194598197,-1.0003307347934611,0.31865156031313013,-0.028049002159294786,-0.0201758214568883,373,0.0201758214568883
CNTP10,0.5284360189573459,0.5135802469135803,0.9067341436674542,0.3651783536957541,0.011209635598979122,0.018967739258703233,373,0.018967739258703233
IMXD5,0.03127962085308056,0.046913580246913576,-0.2598671152067222,0.7951207433400718,0.002715135007638354,-0.018301964330879116,373,0.018301964330879116
SUMP20,0.49061689935278446,0.4991591113381062,-0.5683848007605812,0.5701615012778067,0.02323088230205061,0.016550016967062813,373,0.016550016967062813
RSV10,0.5331640727476761,0.5441495363484223,-0.3608741829567373,0.7184003372399325,0.001660933972548877,-0.01633727843832305,373,0.01633727843832305
CNTD10,0.057819905213270135,0.029629629629629624,0.860683945326689,0.39000788334473707,0.008291871728206855,0.01544388379680055,373,0.01544388379680055
SUMP14,0.5004349325816775,0.5028423329355824,-0.13855349713890827,0.8898854832496538,0.04909471085285684,0.01539614168618085,373,0.01539614168618085
EMA_DEV20,-0.00015090876890542343,-2.2045925095873135e-05,-0.2427240765549134,0.8083610981321838,0.002130579832958011,-0.0140674508316823,373,0.0140674508316823
CNTN10,0.47061611374407586,0.48395061728395067,-0.8131211158620113,0.4167077671589717,-0.005362745495447683,-0.011920382247569625,373,0.011920382247569625
MINUS_DI14,23.1838426664528,22.644756189445914,0.5208906971768289,0.6027898473350625,-0.014012075308008694,0.00998564593025376,373,0.00998564593025376
RSV20,0.5124038928535879,0.5127498740703704,-0.011702541739700676,0.990669461467918,0.03565858468453568,0.008211591590589146,373,0.008211591590589146
EMA_DEV50,-3.697907717486988e-05,-4.88443605559478e-05,0.015034793720843383,0.9880132834372175,-0.013623209000149551,0.0059669688748534315,373,0.0059669688748534315
BB_POS20,0.4928172739339598,0.49425291106731906,-0.043886782154157755,0.9650187002792409,0.044212688243912085,-0.0014899790325376616,373,0.0014899790325376616
