name,total_trades,pf,wr,mdd,net_pnl
v1_Yagami_B,230,0.8354,33.04,35.58,0
v2_mc1_at0.08_st0.12,340,1.0199,35.59,34.72,0
v2_mc1_at0.08_st0.18,343,0.9949,35.28,35.8,0
v2_mc1_at0.12_st0.12,411,1.2128,41.12,28.27,0
v2_mc1_at0.12_st0.18,414,1.181,40.82,28.01,0
v2_mc1_at0.15_st0.12,472,1.2509,41.1,18.76,0
v2_mc1_at0.15_st0.18,474,1.2469,41.14,20.44,0
v2_mc2_at0.08_st0.12,34,2.5088,47.06,6.87,0
v2_mc2_at0.08_st0.18,35,2.2724,45.71,6.87,0
v2_mc2_at0.12_st0.12,53,1.9333,45.28,6.11,0
v2_mc2_at0.12_st0.18,54,1.8285,44.44,6.11,0
v2_mc2_at0.15_st0.12,66,1.7012,42.42,10.32,0
v2_mc2_at0.15_st0.18,67,1.6299,41.79,10.32,0
