pair,strategy,year,n,pf,wr,mdd
USDJPY,PA_v2_4H,2024,18,0.2324,22.22,1.41
USDJPY,PA_v2_4H,2025,26,0.7621,34.62,1.0
USDJPY,PA_v2_4H,2026,6,0.8171,33.33,0.3
USDJPY,MTF_v3_H1,2023,0,0.0,0.0,0.0
USDJPY,MTF_v3_H1,2024,60,1.0123,18.33,3.01
USDJPY,MTF_v3_H1,2025,56,1.3555,26.79,3.69
USDJPY,MTF_v3_H1,2026,8,0.4087,12.5,1.56
USDJPY,DC50_EMA200,2021,3,0.0,0.0,1.77
USDJPY,DC50_EMA200,2022,4,4.0784,50.0,1.4
USDJPY,DC50_EMA200,2023,4,0.0,0.0,2.79
USDJPY,DC50_EMA200,2024,3,2.4052,33.33,1.43
USDJPY,DC50_EMA200,2025,3,0.0,0.0,2.55
USDJPY,DC50_EMA200,2026,0,0.0,0.0,0.0
EURUSD,PA_v2_4H,2024,20,0.6166,50.0,1.08
EURUSD,PA_v2_4H,2025,24,0.5633,16.67,0.34
EURUSD,PA_v2_4H,2026,2,1.612,50.0,0.0
EURUSD,MTF_v3_H1,2023,0,0.0,0.0,0.0
EURUSD,MTF_v3_H1,2024,52,0.466,9.62,4.67
EURUSD,MTF_v3_H1,2025,57,0.5822,21.05,9.56
EURUSD,MTF_v3_H1,2026,3,0.0,0.0,0.47
EURUSD,DC50_EMA200,2021,5,0.8059,20.0,1.6
EURUSD,DC50_EMA200,2022,3,0.0,0.0,2.63
EURUSD,DC50_EMA200,2023,4,0.0,0.0,2.66
EURUSD,DC50_EMA200,2024,3,0.0,0.0,1.23
EURUSD,DC50_EMA200,2025,3,0.0,0.0,1.79
EURUSD,DC50_EMA200,2026,0,0.0,0.0,0.0
GBPUSD,PA_v2_4H,2024,21,0.0031,33.33,1.72
GBPUSD,PA_v2_4H,2025,20,0.5883,25.0,0.0
GBPUSD,PA_v2_4H,2026,3,99.9,100.0,0.0
GBPUSD,MTF_v3_H1,2023,0,0.0,0.0,0.0
GBPUSD,MTF_v3_H1,2024,59,1.3022,27.12,3.59
GBPUSD,MTF_v3_H1,2025,55,2.1492,25.45,2.92
GBPUSD,MTF_v3_H1,2026,6,0.0,0.0,0.01
GBPUSD,DC50_EMA200,2021,3,0.0,0.0,3.09
GBPUSD,DC50_EMA200,2022,5,0.7613,20.0,1.73
GBPUSD,DC50_EMA200,2023,2,1.4989,50.0,1.42
GBPUSD,DC50_EMA200,2024,4,0.0,0.0,0.56
GBPUSD,DC50_EMA200,2025,5,0.0,0.0,2.19
GBPUSD,DC50_EMA200,2026,0,0.0,0.0,0.0
AUDUSD,PA_v2_4H,2024,20,60.0601,45.0,0.02
AUDUSD,PA_v2_4H,2025,41,134.4795,34.15,0.0
AUDUSD,PA_v2_4H,2026,4,99.9,100.0,0.0
AUDUSD,MTF_v3_H1,2023,0,0.0,0.0,0.0
AUDUSD,MTF_v3_H1,2024,53,0.6343,16.98,2.4
AUDUSD,MTF_v3_H1,2025,51,1.1171,21.57,2.33
AUDUSD,MTF_v3_H1,2026,8,0.4948,12.5,1.06
AUDUSD,DC50_EMA200,2021,2,2.7237,50.0,1.45
AUDUSD,DC50_EMA200,2022,3,0.0,0.0,1.98
AUDUSD,DC50_EMA200,2023,4,0.0,0.0,0.66
AUDUSD,DC50_EMA200,2024,6,2.3191,16.67,1.33
AUDUSD,DC50_EMA200,2025,3,0.0,0.0,1.14
AUDUSD,DC50_EMA200,2026,0,0.0,0.0,0.0
GBPJPY,DC50_EMA200,2021,1,0.0,0.0,0.77
GBPJPY,DC50_EMA200,2022,4,0.0,0.0,6.46
GBPJPY,DC50_EMA200,2023,3,3.8366,33.33,2.2
GBPJPY,DC50_EMA200,2024,3,0.6765,33.33,1.0
GBPJPY,DC50_EMA200,2025,4,0.0,0.0,3.82
GBPJPY,DC50_EMA200,2026,0,0.0,0.0,0.0
