pair,strategy,n,pf,wr,mdd,net_pnl
USDJPY,PA_v2_4H,50,0.5193,30.0,1.87,0
USDJPY,MTF_v3_H1,125,1.1157,21.6,3.69,0
USDJPY,DC50_EMA200,20,1.2107,20.0,5.0,0
EURUSD,PA_v2_4H,46,0.6039,32.61,1.09,0
EURUSD,MTF_v3_H1,112,0.5125,15.18,14.06,0
EURUSD,DC50_EMA200,23,0.1039,4.35,11.09,0
GBPUSD,PA_v2_4H,44,0.1969,34.09,1.72,0
GBPUSD,MTF_v3_H1,120,1.637,25.0,3.59,0
GBPUSD,DC50_EMA200,24,0.3256,8.33,6.93,0
AUDUSD,PA_v2_4H,67,2.2969,40.3,0.56,0
AUDUSD,MTF_v3_H1,112,0.8494,18.75,3.35,0
AUDUSD,DC50_EMA200,24,0.7608,8.33,6.22,0
GBPJPY,DC50_EMA200,19,0.5498,10.53,8.65,0
