pair,strategy,period,n,pf,wr,mdd
USDJPY,PA_v2_4H,full,50,0.5193,30.0,1.87
USDJPY,PA_v2_4H,1st_half,20,0.5594,30.0,1.41
USDJPY,PA_v2_4H,2nd_half,29,0.6191,31.03,0.85
USDJPY,MTF_v3_H1,full,125,1.1157,21.6,3.69
USDJPY,MTF_v3_H1,1st_half,45,0.9855,17.78,3.01
USDJPY,MTF_v3_H1,2nd_half,80,1.1994,23.75,3.69
EURUSD,PA_v2_4H,full,46,0.6039,32.61,1.09
EURUSD,PA_v2_4H,1st_half,22,0.6169,50.0,1.08
EURUSD,PA_v2_4H,2nd_half,23,0.564,17.39,0.34
EURUSD,MTF_v3_H1,full,112,0.5125,15.18,14.06
EURUSD,MTF_v3_H1,1st_half,40,0.5483,10.0,3.6
EURUSD,MTF_v3_H1,2nd_half,72,0.4931,18.06,11.23
GBPUSD,PA_v2_4H,full,44,0.1969,34.09,1.72
GBPUSD,PA_v2_4H,1st_half,23,0.0031,30.43,1.72
GBPUSD,PA_v2_4H,2nd_half,21,56.8582,38.1,0.0
GBPUSD,MTF_v3_H1,full,120,1.637,25.0,3.59
GBPUSD,MTF_v3_H1,1st_half,45,1.1885,28.89,3.59
GBPUSD,MTF_v3_H1,2nd_half,75,2.1588,22.67,2.93
AUDUSD,PA_v2_4H,full,67,2.2969,40.3,0.56
AUDUSD,PA_v2_4H,1st_half,26,2.0107,42.31,0.56
AUDUSD,PA_v2_4H,2nd_half,41,2.6008,39.02,0.51
AUDUSD,MTF_v3_H1,full,112,0.8494,18.75,3.35
AUDUSD,MTF_v3_H1,1st_half,39,0.9089,17.95,2.18
AUDUSD,MTF_v3_H1,2nd_half,73,0.826,19.18,2.85
