pair,strategy,spread_pips,n,pf,wr,mdd
USDJPY,PA_v2_4H,0.0,50,0.5343,30.0,1.79
USDJPY,PA_v2_4H,0.3,50,0.5193,30.0,1.87
USDJPY,PA_v2_4H,0.5,50,0.5096,30.0,1.93
USDJPY,PA_v2_4H,1.0,50,0.4863,30.0,2.07
USDJPY,PA_v2_4H,2.0,50,0.4434,30.0,2.36
USDJPY,PA_v2_4H,3.0,50,0.4048,30.0,2.66
USDJPY,MTF_v3_H1,0.0,125,1.159,21.6,3.57
USDJPY,MTF_v3_H1,0.3,125,1.1157,21.6,3.69
USDJPY,MTF_v3_H1,0.5,125,1.0881,21.6,3.78
USDJPY,MTF_v3_H1,1.0,125,1.0229,21.6,4.07
USDJPY,MTF_v3_H1,2.0,125,0.9068,21.6,4.79
USDJPY,MTF_v3_H1,3.0,125,0.8067,21.6,6.59
USDJPY,DC50_EMA200,0.0,20,1.2217,20.0,4.97
USDJPY,DC50_EMA200,0.5,20,1.2035,20.0,5.02
USDJPY,DC50_EMA200,1.0,20,1.1857,20.0,5.07
USDJPY,DC50_EMA200,2.0,20,1.1512,20.0,5.18
EURUSD,PA_v2_4H,0.0,46,0.6364,32.61,1.07
EURUSD,PA_v2_4H,0.3,46,0.5879,32.61,1.11
EURUSD,PA_v2_4H,0.5,46,0.5565,32.61,1.14
EURUSD,PA_v2_4H,1.0,46,0.4812,32.61,1.22
EURUSD,PA_v2_4H,2.0,46,0.3434,32.61,1.37
EURUSD,PA_v2_4H,3.0,46,0.2201,32.61,1.53
EURUSD,MTF_v3_H1,0.0,112,0.5443,15.18,13.27
EURUSD,MTF_v3_H1,0.3,112,0.4974,15.18,14.45
EURUSD,MTF_v3_H1,0.5,112,0.4688,15.18,15.23
EURUSD,MTF_v3_H1,1.0,112,0.4054,15.18,17.15
EURUSD,MTF_v3_H1,2.0,112,0.3074,13.39,20.86
EURUSD,MTF_v3_H1,3.0,112,0.2354,12.5,24.41
EURUSD,DC50_EMA200,0.0,23,0.1047,4.35,11.04
EURUSD,DC50_EMA200,0.5,23,0.1027,4.35,11.18
EURUSD,DC50_EMA200,1.0,23,0.1008,4.35,11.32
EURUSD,DC50_EMA200,2.0,23,0.0972,4.35,11.59
GBPUSD,PA_v2_4H,0.0,44,0.2066,34.09,1.68
GBPUSD,PA_v2_4H,0.3,44,0.1993,34.09,1.71
GBPUSD,PA_v2_4H,0.5,44,0.1946,34.09,1.73
GBPUSD,PA_v2_4H,1.0,44,0.1832,34.09,1.79
GBPUSD,PA_v2_4H,2.0,44,0.1624,34.09,1.89
GBPUSD,PA_v2_4H,3.0,44,0.1438,34.09,2.0
GBPUSD,MTF_v3_H1,0.0,120,1.7931,25.0,3.22
GBPUSD,MTF_v3_H1,0.3,120,1.6745,25.0,3.49
GBPUSD,MTF_v3_H1,0.5,120,1.6004,25.0,3.68
GBPUSD,MTF_v3_H1,1.0,120,1.4304,25.0,4.13
GBPUSD,MTF_v3_H1,2.0,120,1.1436,24.17,5.03
GBPUSD,MTF_v3_H1,3.0,120,0.9139,22.5,6.08
GBPUSD,DC50_EMA200,0.0,24,0.3296,8.33,6.85
GBPUSD,DC50_EMA200,0.5,24,0.3246,8.33,6.95
GBPUSD,DC50_EMA200,1.0,24,0.3196,8.33,7.06
GBPUSD,DC50_EMA200,2.0,24,0.3099,8.33,7.27
AUDUSD,PA_v2_4H,0.0,67,2.4746,40.3,0.53
AUDUSD,PA_v2_4H,0.3,67,2.2969,40.3,0.56
AUDUSD,PA_v2_4H,0.5,67,2.1859,40.3,0.57
AUDUSD,PA_v2_4H,1.0,67,1.9311,40.3,0.62
AUDUSD,PA_v2_4H,2.0,67,1.502,40.3,0.71
AUDUSD,PA_v2_4H,3.0,67,1.1544,38.81,0.79
AUDUSD,MTF_v3_H1,0.0,112,0.9413,18.75,2.85
AUDUSD,MTF_v3_H1,0.3,112,0.8494,18.75,3.35
AUDUSD,MTF_v3_H1,0.5,112,0.7938,18.75,3.74
AUDUSD,MTF_v3_H1,1.0,112,0.6722,17.86,4.89
AUDUSD,MTF_v3_H1,2.0,112,0.4852,16.96,8.64
AUDUSD,MTF_v3_H1,3.0,112,0.3525,15.18,12.37
AUDUSD,DC50_EMA200,0.0,24,0.7712,8.33,6.17
AUDUSD,DC50_EMA200,0.5,24,0.754,8.33,6.25
AUDUSD,DC50_EMA200,1.0,24,0.7373,8.33,6.35
AUDUSD,DC50_EMA200,2.0,24,0.7053,8.33,6.66
GBPJPY,DC50_EMA200,0.0,19,0.5559,10.53,8.54
GBPJPY,DC50_EMA200,0.5,19,0.5521,10.53,8.61
GBPJPY,DC50_EMA200,1.0,19,0.5483,10.53,8.68
GBPJPY,DC50_EMA200,2.0,19,0.5408,10.53,8.82
