pair,strategy,fold,oos_start,oos_end,n_is,pf_is,n_oos,pf_oos,wr_oos,mdd_oos,passed
USDJPY,PA_v2_4H,0,2024-09-01,2024-12-01,9,0.3389,7,0.1692,14.29,0.66,False
USDJPY,PA_v2_4H,1,2024-12-01,2025-03-01,16,0.2577,5,0.9374,40.0,0.46,False
USDJPY,PA_v2_4H,2,2025-03-01,2025-06-01,21,0.4478,8,0.9046,37.5,0.18,False
USDJPY,PA_v2_4H,3,2025-06-01,2025-09-01,29,0.5051,4,2.2152,50.0,0.05,True
USDJPY,PA_v2_4H,4,2025-09-01,2025-12-01,33,0.5614,8,0.2728,12.5,0.33,False
USDJPY,PA_v2_4H,5,2025-12-01,2026-02-27,42,0.5638,8,0.3446,25.0,0.52,False
USDJPY,MTF_v3_H1,0,2023-11-15,2024-02-15,0,0.0,0,0.0,0.0,0.0,False
USDJPY,MTF_v3_H1,1,2024-02-15,2024-05-15,0,0.0,16,1.9086,25.0,1.25,True
USDJPY,MTF_v3_H1,2,2024-05-15,2024-08-15,16,1.9086,16,0.5981,12.5,2.03,False
USDJPY,MTF_v3_H1,3,2024-08-15,2024-11-15,33,1.0798,18,0.9972,22.22,0.94,False
USDJPY,MTF_v3_H1,4,2024-11-15,2025-02-15,51,1.0051,19,2.7629,31.58,1.21,True
USDJPY,MTF_v3_H1,5,2025-02-15,2025-05-15,71,1.3841,16,0.8931,31.25,2.08,False
USDJPY,MTF_v3_H1,6,2025-05-15,2025-08-15,87,1.2947,7,0.1445,14.29,1.5,False
USDJPY,MTF_v3_H1,7,2025-08-15,2025-11-15,95,1.212,16,1.5362,25.0,2.14,True
USDJPY,MTF_v3_H1,8,2025-11-15,2026-02-15,112,1.2331,9,0.356,11.11,1.16,False
USDJPY,DC50_EMA200,0,2023-03-01,2023-09-01,9,1.2684,2,0.0,0.0,1.43,False
USDJPY,DC50_EMA200,1,2023-09-01,2024-03-01,12,0.9094,1,0.0,0.0,0.48,False
USDJPY,DC50_EMA200,2,2024-03-01,2024-09-01,14,0.7508,0,0.0,0.0,0.0,False
USDJPY,DC50_EMA200,3,2024-09-01,2025-03-01,15,1.1963,1,0.0,0.0,0.82,False
USDJPY,DC50_EMA200,4,2025-03-01,2025-09-01,17,1.0117,0,0.0,0.0,0.0,False
USDJPY,DC50_EMA200,5,2025-09-01,2026-02-27,18,0.9332,1,0.0,0.0,1.09,False
EURUSD,PA_v2_4H,0,2024-09-01,2024-12-01,10,102.1797,4,0.0022,50.0,0.62,False
EURUSD,PA_v2_4H,1,2024-12-01,2025-03-01,15,0.8468,6,121.4496,50.0,0.0,True
EURUSD,PA_v2_4H,2,2025-03-01,2025-06-01,23,0.6167,5,0.4954,20.0,0.0,False
EURUSD,PA_v2_4H,3,2025-06-01,2025-09-01,29,0.6162,7,0.0,0.0,0.0,False
EURUSD,PA_v2_4H,4,2025-09-01,2025-12-01,36,0.6137,8,0.5716,25.0,0.34,False
EURUSD,PA_v2_4H,5,2025-12-01,2026-02-27,44,0.6036,2,1.612,50.0,0.0,False
EURUSD,MTF_v3_H1,0,2023-11-15,2024-02-15,0,0.0,0,0.0,0.0,0.0,False
EURUSD,MTF_v3_H1,1,2024-02-15,2024-05-15,0,0.0,13,0.3875,7.69,3.08,False
EURUSD,MTF_v3_H1,2,2024-05-15,2024-08-15,13,0.3875,20,0.8666,15.0,1.55,False
EURUSD,MTF_v3_H1,3,2024-08-15,2024-11-15,33,0.6159,12,0.1168,8.33,0.82,False
EURUSD,MTF_v3_H1,4,2024-11-15,2025-02-15,45,0.561,19,0.0007,5.26,3.49,False
EURUSD,MTF_v3_H1,5,2025-02-15,2025-05-15,64,0.3832,13,0.0105,23.08,3.41,False
EURUSD,MTF_v3_H1,6,2025-05-15,2025-08-15,77,0.2967,12,0.4455,33.33,3.83,False
EURUSD,MTF_v3_H1,7,2025-08-15,2025-11-15,90,0.3309,10,1.0635,20.0,2.29,False
EURUSD,MTF_v3_H1,8,2025-11-15,2026-02-15,100,0.4047,10,3.6394,20.0,0.76,True
EURUSD,DC50_EMA200,0,2023-03-01,2023-09-01,10,0.2261,2,0.0,0.0,0.58,False
EURUSD,DC50_EMA200,1,2023-09-01,2024-03-01,12,0.206,2,0.0,0.0,0.68,False
EURUSD,DC50_EMA200,2,2024-03-01,2024-09-01,15,0.1562,2,0.0,0.0,0.84,False
EURUSD,DC50_EMA200,3,2024-09-01,2025-03-01,17,0.1427,0,0.0,0.0,0.0,False
EURUSD,DC50_EMA200,4,2025-03-01,2025-09-01,18,0.1371,1,0.0,0.0,0.77,False
EURUSD,DC50_EMA200,5,2025-09-01,2026-02-27,21,0.1114,1,0.0,0.0,0.92,False
GBPUSD,PA_v2_4H,0,2024-09-01,2024-12-01,13,0.001,3,1.3554,33.33,0.0,True
GBPUSD,PA_v2_4H,1,2024-12-01,2025-03-01,17,0.0017,6,0.016,50.0,0.17,False
GBPUSD,PA_v2_4H,2,2025-03-01,2025-06-01,23,0.0031,2,2.9636,50.0,0.0,False
GBPUSD,PA_v2_4H,3,2025-06-01,2025-09-01,25,0.0039,12,0.541,25.0,0.0,False
GBPUSD,PA_v2_4H,4,2025-09-01,2025-12-01,38,0.0056,2,0.0,0.0,0.0,False
GBPUSD,PA_v2_4H,5,2025-12-01,2026-02-27,40,0.0056,4,1087.9328,75.0,0.0,True
GBPUSD,MTF_v3_H1,0,2023-11-15,2024-02-15,0,0.0,0,0.0,0.0,0.0,False
