entry_time,exit_time,direction,entry,exit,sl,tp,layers,pnl,exit_reason
2014-02-14 12:00:00,2014-03-19 12:00:00,long,1340.96,1341.0392857142856,1341.0392857142856,1558.6500000000003,3,296.6792142851409,stop_loss
2014-05-28 12:00:00,2014-06-19 12:00:00,short,1257.95,1303.6299999999999,1303.6299999999999,1122.0300000000004,1,-100623.90399999965,stop_loss
2016-02-04 12:00:00,2016-02-10 12:00:00,long,1181.04333,1190.05,1190.05,1296.5699999999997,3,56252.93799999996,stop_loss
2016-12-15 12:00:00,2017-01-10 12:00:00,short,1127.68,1187.96,1187.96,947.96,1,-99582.55999999995,stop_loss
2017-02-24 12:00:00,2017-03-03 00:00:00,long,1257.26,1226.01,1226.01,1349.89,1,-98006.25,stop_loss
2017-08-11 12:00:00,2017-08-29 12:00:00,long,1308.26,1309.6399999999999,1309.6399999999999,1407.41,3,10102.427999999134,stop_loss
2018-01-02 12:00:00,2018-01-24 12:00:00,long,1340.71,1348.54,1348.54,1562.26,4,36660.059999999925,stop_loss
2018-06-28 12:00:00,2018-07-19 00:00:00,short,1231.18667,1227.25,1227.25,1174.7900000000006,3,46420.38600000068,stop_loss
2019-01-30 00:00:00,2019-02-21 12:00:00,long,1328.92333,1329.09,1329.09,1424.79,3,1310.1499999994048,stop_loss
2019-06-03 12:00:00,2019-06-11 00:00:00,long,1332.515,1324.76,1324.76,1473.1599999999999,2,-30374.78399999998,stop_loss
2019-12-26 00:00:00,2020-01-03 12:00:00,long,1531.56,1546.78,1546.78,1605.1499999999994,4,174238.55999999965,stop_loss
2020-01-03 12:00:00,2020-01-09 00:00:00,long,1564.46,1551.72,1551.72,1794.7099999999998,2,-31401.55200000002,stop_loss
2020-02-21 12:00:00,2020-02-25 00:00:00,long,1663.33,1644.01,1644.01,1932.8699999999997,2,-39814.65599999987,stop_loss
2020-07-08 12:00:00,2020-07-28 00:00:00,long,1854.2275,1961.6,1884.545,1961.6,4,828786.852999999,take_profit
2021-01-05 00:00:00,2021-01-08 12:00:00,long,1945.89,1854.96,1854.96,2217.5599999999995,1,-115444.72799999978,stop_loss
2021-05-07 12:00:00,2021-06-03 12:00:00,long,1868.12667,1870.5764285714286,1870.5764285714286,2054.919999999999,3,11096.68650000009,stop_loss
